Partner,Value
American Samoa,2456.88224
Andorra,491.23756
Argentina,810.97011
Aruba,2180.84957
Australia,35846.14363
Austria,7326.42464
Azerbaijan,193479.81251
Bahrain,1122.55873
Bangladesh,33775.49592
Belarus,201688.97564
Belgium,28797.070780000002
Bosnia and Herzegovina,0.34406
Brazil,14576.35712
Bulgaria,487.25943
Cambodia,16.78432
Canada,55793.38459
Central African Republic,544.88052
Chad,17.54875
China,5430885.9723
Costa Rica,27.4876
Croatia,2452.9674
Curaçao,73.53944
Cyprus,826.06805
Czech Republic,6622.931559999999
Denmark,71969.18671
Ecuador,41.06624
"Egypt, Arab Rep.",5837.901319999999
Estonia,3412.74642
Finland,5439.86067
France,48582.401490000004
Georgia,19450.76391
Germany,341860.87856
Greece,23742.304669999998
Guatemala,1720.06816
"Hong Kong, China",6617.95751
Hungary,4852.24633
Iceland,69.60492
India,3564301.23831
Indonesia,156330.08406
"Iran, Islamic Rep.",4794726.48563
Iraq,57497.56364
Ireland,46997.84178
Israel,2.50688
Italy,64553.29867
Japan,1042244.0829800001
Jordan,10111.85068
Kazakhstan,1998730.00986
Kenya,230230.53996
"Korea, Rep.",264813.59009
Kuwait,1455.71146
Kyrgyz Republic,1686.54456
Lao PDR,50.08695
Latvia,608.8277800000001
Lebanon,19449.09923
Liberia,457.17605
Lithuania,22464.93384
Luxembourg,815.30001
"Macedonia, FYR",11.80437
Madagascar,16.17528
Malaysia,1285809.90883
Malta,0.73392
Mauritius,2710.86526
Mexico,24122.60345
Morocco,280.56437999999997
Mozambique,45.08352
Myanmar,1377.03472
Namibia,80.8283
Nepal,138.97182
Netherlands,58336.86011
New Zealand,6719.68344
Niger,25.952
Norway,620.55314
Oman,10992.887299999999
"Other Asia, nes",14467.19972
Pakistan,5496558.59703
Philippines,1033.77295
Poland,21733.94472
Portugal,1780.81751
Qatar,227.94276
Romania,1405.95512
Russian Federation,947779.02049
Sao Tome and Principe,0.36424999999999996
Saudi Arabia,57320.6272
Sierra Leone,3.74906
Singapore,9924.97076
Slovak Republic,1258.06072
Slovenia,12.10724
Somalia,327.30298999999997
South Africa,668.25616
Spain,15415.97818
Sri Lanka,3065.80694
Sudan,1708.35208
Swaziland,22345.86949
Sweden,24672.434149999997
Switzerland,1257.59626
Tajikistan,492439.29452000005
Tanzania,20.809
Thailand,56949.118630000004
Tokelau,83.98936
Tunisia,0.30196
Turkey,1135648.68077
Turkmenistan,2633794.33456
Ukraine,16947.22946
United Arab Emirates,726702.04363
United Kingdom,76456.04129
United States,2668892.33536
Unspecified,521803.36525
Uzbekistan,1564921.60078
Vietnam,306416.29687
Yemen,757.74158
Zambia,10.47832
Zimbabwe,161.99536
