Partner,Value
Afghanistan,12.153350000000001
Albania,507.40675
Algeria,1713.39915
Andorra,1401.68384
Antarctica,0.19064
Antigua and Barbuda,4506.98222
Argentina,225063.55176
Armenia,3.01514
Aruba,50.197950000000006
Australia,28418.59962
Austria,11545.02196
Azerbaijan,3599.10359
"Bahamas, The",243.98559
Bahrain,13283.92481
Bangladesh,6536.0109999999995
Belarus,119077.69659
Belgium,4570568.60889
Belize,150.73288
Benin,652.21687
Bermuda,118.58723
Bhutan,388.5798
Bolivia,825.03867
Bosnia and Herzegovina,591.14723
Botswana,28216.175750000002
Brazil,2990274.186319999
British Indian Ocean Ter.,12.74043
British Virgin Islands,1751.3885400000001
Brunei,116.6517
Bulgaria,51503.17428000001
Burkina Faso,121.65462
Burundi,50.85
Cambodia,516.20201
Cameroon,7047.65517
Canada,533063.48237
Cape Verde,1107.98965
Cayman Islands,3466.3755699999997
Central African Republic,1337.48319
Chad,214.05404
Chile,761404.40465
China,94815202.77208
Cocos (Keeling) Islands,0.12
Colombia,9862.40365
"Congo, Dem. Rep.",521373.34644
"Congo, Rep.",93590.08525999999
Cook Islands,14.10164
Costa Rica,381.75994000000003
Cote d'Ivoire,22898.92705
Croatia,2564.4231
Cuba,11874.087190000002
Curaçao,570.71771
Cyprus,24933.777860000002
Czech Republic,14979.66818
Denmark,229247.70948
Djibouti,1763.89644
Dominica,73.64741000000001
Dominican Republic,1136.10779
East Timor,227.2474
Ecuador,710.87055
"Egypt, Arab Rep.",177592.72705
El Salvador,129.04919999999998
Equatorial Guinea,11747.57234
Eritrea,62.01035
Estonia,4717.02133
Ethiopia(excludes Eritrea),14973.65544
Finland,16449.76419
France,12018767.67492
Gabon,22628.531860000003
"Gambia, The",212.13155
Georgia,1702.212
Germany,734920.3058799998
Ghana,112511.78856999999
Gibraltar,1034.78792
Greece,75370.01162
Greenland,57.57684
Guatemala,277.82555
Guinea,8953.45333
Guinea-Bissau,389.8746
Guyana,64.22585
Haiti,48.5463
Holy See,100.79243
Honduras,1350.35105
"Hong Kong, China",231027.13651999997
Hungary,11674.74453
Iceland,3415.52411
India,15987174.51706
Indonesia,599111.0479899999
"Iran, Islamic Rep.",1110.25882
Iraq,201.95549
Ireland,66232.31719
Israel,813039.1784900001
Italy,4505931.4783
Jamaica,15.444590000000002
Japan,610652.1341
Jordan,24108.17167
Kazakhstan,487.27216000000004
Kenya,38227.95076
"Korea, Dem. Rep.",77725.63392000001
"Korea, Rep.",3379822.02849
Kuwait,237817.94522000002
Kyrgyz Republic,3.4550799999999997
Lao PDR,559.68249
Latvia,26367.82431
Lebanon,167179.45327
Lesotho,2.40915
Liberia,39834.215950000005
Libya,74.41385
Lithuania,40356.58228
Luxembourg,9691.45398
Macao,2799.07505
Madagascar,5.558450000000001
Malawi,8113.921340000001
Malaysia,1986469.79441
Mali,185.53842
Malta,132734.19592
Marshall Islands,269745.25265999994
Mauritania,105428.08580999999
Mauritius,8575.924500000001
Mexico,105076.07016999999
Moldova,0.21964
Mongolia,0.29244
Morocco,152718.14759
Mozambique,39804.92258
Myanmar,246.58974
Namibia,129034.89478000002
Nauru,2088.03122
Netherlands,1252837.52244
New Caledonia,960.59893
New Zealand,39834.29519
Nicaragua,2520.86074
Niger,937.40086
Nigeria,53762.3539
Norway,1026373.64717
Occ.Pal.Terr,0.5767
Oman,29733.02374
"Other Asia, nes",779025.03302
Pakistan,123534.58488000001
Panama,103426.42768000001
Papua New Guinea,1182.01536
Paraguay,24119.67522
Peru,263990.17534
Philippines,2091.3372000000004
Pitcairn,0.18084
Poland,1010057.29071
Portugal,12515273.98331
Qatar,38796.551660000005
Romania,9658.850220000002
Russian Federation,298814.50129000004
Rwanda,20.76689
Saint Helena,557.65744
San Marino,3.94116
Sao Tome and Principe,41479.17992999999
Saudi Arabia,188713.38575999998
Senegal,9104.469939999999
"Serbia, FR(Serbia/Montenegro)",7550.80273
Seychelles,12144.23602
Sierra Leone,164.63114000000002
Singapore,2173632.95214
Slovak Republic,4197.15073
Slovenia,5953.27814
Somalia,224.92
South Africa,3763190.98961
Spain,5651178.46988
Sri Lanka,16550.94993
St. Lucia,451.08792
St. Vincent and the Grenadines,8.51192
Sudan,1965.5076600000002
Suriname,282.83684
Swaziland,83409.30363
Sweden,234630.29147
Switzerland,194705.17501
Tanzania,9888.717069999999
Thailand,3401331.07925
Togo,1885805.35904
Tokelau,115.0969
Tonga,4.0001999999999995
Trinidad and Tobago,746.27458
Tunisia,58442.87873
Turkey,1248814.07975
Turkmenistan,31.13295
Turks and Caicos Isl.,480.93672000000004
Uganda,181.14767999999998
Ukraine,158379.6223
United Arab Emirates,6371885.22076
United Kingdom,2120625.53974
United States,6743462.139869999
United States Minor Outlying I,21.24344
Unspecified,1142275.92776
Uruguay,1402064.51678
Uzbekistan,9.2623
Vanuatu,38.06416
Venezuela,18139.98125
Vietnam,172413.27693
Zambia,15417.48525
Zimbabwe,22305.03167
