Partner,Value
Afghanistan,10470917.590975579
Albania,113217.1896906018
Algeria,4840681.858225014
American Samoa,1617.673584381075
Andorra,1516.3270900003981
Angola,6597370.962143594
Anguila,299.6250756993
Antarctica,26.749355501700002
Antigua and Barbuda,6476.836257702718
Argentina,1354409.4324866193
Armenia,1074875.4250701708
Aruba,46668.8041434782
Australia,16098229.140991427
Austria,5093215.3027208755
Azerbaijan,1604036.2001715857
"Bahamas, The",26146.476573964796
Bahrain,32179417.202912033
Bangladesh,7065972.024223118
Barbados,11621.391948371313
Belarus,598813.2863742404
Belgium,23647115.69683897
Belize,43502.12874619138
Benin,2189809.6971628885
Bermuda,12296.489370814359
Bhutan,51803.424797250664
Bolivia,2864447.781561328
Bosnia and Herzegovina,115884.57361591663
Botswana,5522669.932485985
Brazil,11238869.82673053
British Virgin Islands,1443.871489759101
Brunei,116222.76088675494
Bulgaria,922004.2879029198
Burkina Faso,383757.07266680745
Burundi,546379.9673441044
Cambodia,1519461.3393065245
Cameroon,1925757.541802667
Canada,9504794.039735217
Cape Verde,15141.922438071086
Cayman Islands,1563.91588084446
Central African Republic,86376.57353333582
Chad,1464454.8789864625
Chile,1380378.5492420483
China,238322914.1597764
Christmas Island,0.9353302335
Cocos (Keeling) Islands,2790.864284007384
Colombia,1211461.2509755583
Comoros,254560.47672248512
"Congo, Dem. Rep.",4831961.539236834
"Congo, Rep.",6919945.227763142
Cook Islands,274.20560458200003
Costa Rica,145454.41452046589
Cote d'Ivoire,1123780.7767631598
Croatia,433874.21811773744
Cuba,121151.85605323485
Curaçao,36427.70557752638
Cyprus,669913.0893794482
Czech Republic,5803265.425424733
Denmark,2838296.0906179743
Djibouti,3456534.405307422
Dominica,11251.406507456693
Dominican Republic,119754.0828545377
East Timor,11938.368336593747
Ecuador,435951.9866344475
"Egypt, Arab Rep.",25922237.05876687
El Salvador,60175.32918631627
Equatorial Guinea,664217.6588279504
Eritrea,906318.2851723108
Estonia,446724.57424071035
Ethiopia(excludes Eritrea),3538367.4627747443
Faeroe Islands,921.374855905608
Falkland Island,148.532750133768
Fiji,31898.022416668617
Finland,1327401.1022978593
France,34093338.38051177
French Polynesia,4504.182761211003
Gabon,660163.6424808931
"Gambia, The",181178.915389371
Georgia,949050.1729102891
Germany,58466798.704588845
Ghana,5944532.209406072
Gibraltar,148854.02154753092
Greece,1956558.5427839733
Greenland,95.807692019052
Grenada,2435.544034224093
Guam,3900.617154045612
Guatemala,532490.1269341378
Guinea,8229472.242559526
Guinea-Bissau,38787.30615281523
Guyana,1023942.3315602983
Haiti,61931.192598264955
Honduras,61915.84520149545
"Hong Kong, China",32631705.604101874
Hungary,1960949.9121444821
Iceland,24991.431822733644
India,170271274.92809236
Indonesia,11524186.513691353
"Iran, Islamic Rep.",37942245.36442538
Iraq,67073674.952417165
Ireland,3206389.2681883937
Italy,34131738.94334348
Jamaica,22785.726211770496
Japan,70178219.1216313
Jordan,12667884.199237682
Kazakhstan,2162603.1187672163
Kenya,11375958.858022444
Kiribati,616.2148907109
"Korea, Dem. Rep.",27828.89429437225
"Korea, Rep.",22880934.148083296
Kuwait,46944569.7644962
Kyrgyz Republic,4558890.358669177
Lao PDR,70031.08038497079
Latvia,334014.9326081925
Lebanon,10009338.341331994
Lesotho,165869.54756244228
Liberia,199450.11457495426
Libya,11612086.722996026
Lithuania,648390.4649488996
Luxembourg,558934.9517722598
Macao,8872.98953851674
"Macedonia, FYR",420705.48300601816
Madagascar,1033734.4719000796
Malawi,475132.279294739
Malaysia,16890344.911662325
Maldives,2143914.928778104
Mali,10143894.957466673
Malta,1013101.0988946101
Marshall Islands,1794.9523736389049
Mauritania,669314.565406463
Mauritius,540677.5620146326
Mexico,6747607.459494405
"Micronesia, Fed. Sts.",783.348440196231
Moldova,50703.698310610285
Mongolia,106393.67343161421
Montenegro,185557.48486591384
Montserrat,32.81282774991
Morocco,3498289.7159221885
Mozambique,2020897.8872263255
Myanmar,1066360.2041247294
Namibia,1065945.1158455247
Nepal,1024252.7994496878
Netherlands,14921809.06068833
New Caledonia,9107.891463895969
New Zealand,2715904.869272878
Nicaragua,62980.06906846966
Niger,1885934.6358124614
Nigeria,6255476.951476855
Niue,19.215522342899998
Norfolk Island,506.692714241844
Northern Mariana Islands,730.999109818341
Norway,2042000.6046570549
Occ.Pal.Terr,217692.80626193708
Oman,57431375.31188808
"Other Asia, nes",9860209.417254029
Pakistan,18964793.744189072
Palau,926.4458924016661
Panama,205255.34640709762
Papua New Guinea,43792.00264613971
Paraguay,194251.54603573147
Peru,3430218.079701107
Philippines,3757646.562937067
Poland,6914269.495399771
Portugal,1671016.0916466436
Qatar,5663.805402539584
Romania,2328966.91551122
Russian Federation,15071105.558468312
Rwanda,1914446.5888995705
Saint Helena,350.630185408425
Samoa,690.547754551122
San Marino,25122.866888683748
Sao Tome and Principe,8831.547133474338
Saudi Arabia,137659985.27794462
Senegal,2669992.9710813765
"Serbia, FR(Serbia/Montenegro)",324133.324669494
Seychelles,552574.3071810232
Sierra Leone,327927.4841674045
Singapore,19734407.991601497
Slovak Republic,1621142.82533354
Slovenia,700347.3593299096
Solomon Islands,4885.630408650422
Somalia,5553502.003808853
South Africa,15342019.461883716
South Sudan,1484685.6182705895
Spain,11509575.205774799
Sri Lanka,4666954.102125155
St. Kitts and Nevis,511.701673128984
St. Lucia,845.999437861188
St. Vincent and the Grenadines,220.213518452928
Sudan,7617742.718398621
Suriname,3175391.8448546473
Swaziland,303498.2117809695
Sweden,4961233.016287388
