Partner,Value
Afghanistan,122.18951
Albania,28900.80295
Algeria,6351075.9405499995
Andorra,14.1018
Angola,135061.06457000002
Antigua and Barbuda,733.243
Armenia,3263.15793
Aruba,14255.8213
Australia,2787580.24407
Austria,984629.80772
Azerbaijan,11956.93486
"Bahamas, The",293397.54486
Bahrain,36004.92231
Bangladesh,2542248.59119
Barbados,2226.4220600000003
Belarus,124279.88276000001
Belgium,2370219.2056400003
Belize,4104.94311
Benin,4707.28216
Bhutan,2.6176
Bolivia,7984961.9394499995
Bonaire,21264.29164
Bosnia and Herzegovina,57712.06754999999
Botswana,0.65085
Brazil,88368746.85341999
Brunei,32878.44859
Bulgaria,231502.57072
Burkina Faso,1892.53576
Burundi,1.29708
Cambodia,150741.99018
Cameroon,262371.08736
Canada,3641997.45105
Cape Verde,21969.613279999998
Central African Republic,1671.73268
Chile,14753114.714189999
China,71074546.61960998
Colombia,4463138.60616
Comoros,3928.59472
"Congo, Dem. Rep.",49176.526340000004
"Congo, Rep.",83786.93463999999
Costa Rica,380061.66186
Cote d'Ivoire,208879.11504
Croatia,213151.28530000002
Cuba,1046431.90321
Curaçao,17650.20521
Cyprus,164477.7885
Czech Republic,741736.3999300001
Denmark,1764797.5674100001
Djibouti,11229.788919999999
Dominica,385.83335
Dominican Republic,569215.2247400001
East Timor,0.91795
Ecuador,1925416.58382
"Egypt, Arab Rep.",4443154.51935
El Salvador,100869.69004
Equatorial Guinea,9973.51594
Estonia,47518.73028
Ethiopia(excludes Eritrea),60825.37171
Fiji,477.54843999999997
Finland,596267.39913
France,5437571.95281
Free Zones,367146.28257000004
Gabon,32058.387029999998
"Gambia, The",9120.449419999999
Georgia,44388.38215
Germany,16926682.713519998
Ghana,321426.33944
Gibraltar,2.31484
Greece,632276.1939300001
Greenland,60.4066
Grenada,3359.94672
Guatemala,366496.61543999997
Guinea,4513.36273
Guinea-Bissau,106.23414
Guyana,12988.68248
Haiti,22008.85479
Honduras,146814.66419
"Hong Kong, China",952853.5036599999
Hungary,1026022.61746
Iceland,16824.50632
India,11898995.20127
Indonesia,7784826.68238
"Iran, Islamic Rep.",2157876.97645
Iraq,663254.7660000001
Ireland,2437928.17569
Israel,1557772.94558
Italy,9219371.58941
Jamaica,59594.85419
Japan,5771852.58846
Jordan,685225.05678
Kazakhstan,46325.799660000004
Kenya,543205.55791
"Korea, Rep.",5569858.87152
Kuwait,203577.00936999999
Kyrgyz Republic,17.5009
Lao PDR,4061.16698
Latvia,119948.39055
Lebanon,392747.2641
Lesotho,40.834500000000006
Liberia,2414.8448900000003
Libya,293220.70346
Lithuania,123665.54452
Luxembourg,841197.39578
Macao,1488.39094
"Macedonia, FYR",34047.11908
Madagascar,90642.43819
Malawi,2783.8008
Malaysia,4726500.04321
Maldives,1863.91234
Mali,13252.22249
Malta,470179.80710000003
Marshall Islands,707.6775
Mauritania,28845.22192
Mauritius,132553.75801
Mexico,7652017.666100001
Moldova,8516.9047
Mongolia,5953.224459999999
Montenegro,9484.87391
Morocco,3364101.54311
Mozambique,404842.21510000003
Myanmar,30424.66542
Namibia,8018.85463
Nepal,8042.49395
Netherlands,9480003.85139
New Zealand,570894.47204
Nicaragua,68623.78184
Niger,8039.488
Nigeria,399296.31032
Northern Mariana Islands,4.04699
Norway,285300.59927999997
Occ.Pal.Terr,5314.3644
Oman,584394.8941200001
"Other Asia, nes",1977079.63081
Pakistan,602106.33606
Panama,433307.86755
Papua New Guinea,647.6303600000001
Paraguay,10663298.91966
Peru,6937592.70264
Philippines,1711741.3603400001
Poland,3012203.67636
Portugal,715050.18772
Qatar,293299.75779
Romania,526698.91715
Russian Federation,3614214.6377
Rwanda,6348.0395
Samoa,7.09785
San Marino,1807.65414
Saudi Arabia,4279522.0579200005
Senegal,351040.51837
"Serbia, FR(Serbia/Montenegro)",65985.67120000001
Seychelles,189.78744
Sierra Leone,2430.55226
Singapore,986248.9721199999
Slovak Republic,276332.07767
Slovenia,78795.18796000001
Somalia,25.25158
South Africa,2684136.6999899996
Spain,9824582.47065
Sri Lanka,69318.28516999999
St. Kitts and Nevis,1803.3138000000001
St. Lucia,1316.39352
St. Vincent and the Grenadines,250.76668
Sudan,6527.80766
Suriname,10616.59972
Swaziland,21.711479999999998
Sweden,1581088.32952
Switzerland,6945330.63498
Syrian Arab Republic,260000.86668
Tanzania,96596.96254
Thailand,8060719.676449999
Togo,103024.95012000001
Tonga,37.26696
Trinidad and Tobago,678436.04518
Tunisia,490766.71357
Turkey,3109958.3589899996
Turkmenistan,40.1931
Uganda,173973.50844
Ukraine,211355.45971
United Arab Emirates,2382744.89824
United Kingdom,5436006.20148
United States,43585937.306590006
Unspecified,3201485.00174
Uruguay,6579671.716940001
Uzbekistan,6353.298
Venezuela,444409.5573
Vietnam,14328209.05202
Yemen,693809.93372
Zambia,1975.71018
Zimbabwe,18161.94184
