Partner,Value
Afghanistan,21.85288
Albania,8655.17663
Algeria,5.37632
Andorra,119.09998
Angola,1275.90156
Anguila,501.09223
Argentina,60225.359619999996
Australia,13351.21055
Austria,171603.95843
Azerbaijan,39516.292
"Bahamas, The",1.09752
Bahrain,398.80093
Bangladesh,74581.41527
Barbados,75.2686
Belarus,291995.05032000004
Belgium,381743.30179
Belize,2071.59776
Benin,7.30725
Bolivia,134.11264
Bosnia and Herzegovina,2101.1683900000003
Botswana,11734.36108
Brazil,273884.85969
Brunei,0.21685
Bulgaria,972709.3923899999
Burkina Faso,1.3492499999999998
Burundi,21.4778
Cambodia,12209.95666
Cameroon,513.19706
Canada,327180.48024
Cape Verde,0.19044
Chad,0.026949999999999998
Chile,9300.81776
China,4275653.103110001
Colombia,3213.6753300000005
Comoros,4.6254
"Congo, Dem. Rep.",7.81344
Costa Rica,9744.7202
Cote d'Ivoire,12652.20332
Croatia,4546.93417
Cuba,689.18976
Cyprus,4019.2153
Czech Republic,130275.90905
Denmark,42382.601870000006
Dominica,0.0042499999999999994
Dominican Republic,785.8744
Ecuador,61510.4512
"Egypt, Arab Rep.",25373.88121
El Salvador,682.67365
Estonia,6578.285609999999
Ethiopia(excludes Eritrea),1800.9543800000001
Faeroe Islands,1047.51677
Fiji,21.6314
Finland,87599.75582
France,412272.6376799999
Gabon,0.0113
"Gambia, The",6.4064
Georgia,606692.33071
Germany,1531594.40105
Ghana,1868.03772
Gibraltar,7.15515
Greece,76146.96653
Greenland,527.56564
Guam,0.76936
Guatemala,585.4916400000001
Guinea,2.92124
Guyana,0.11384
Haiti,45.48925
Honduras,556.8583
"Hong Kong, China",61338.11838
Hungary,77391.31951999999
Iceland,5804.51101
India,549105.9215299999
Indonesia,102741.914
"Iran, Islamic Rep.",1702907.6066200002
Iraq,726506.3065500001
Ireland,53471.37121
Israel,73388.3745
Italy,1199673.28459
Jamaica,2.72964
Japan,470394.51428999996
Jordan,3399.97652
Kazakhstan,34723.51064
Kenya,257.13077999999996
"Korea, Dem. Rep.",444.55165999999997
"Korea, Rep.",149865.5663
Kuwait,2972.47591
Kyrgyz Republic,22762.98197
Lao PDR,97.53435
Latvia,34276.974019999994
Lebanon,8291.81057
Lesotho,5.76025
Liberia,20.01735
Libya,3989.02005
Lithuania,37121.87771
Luxembourg,9215.33288
Macao,0.54205
"Macedonia, FYR",5527.40394
Madagascar,921.27369
Malawi,31765.01306
Malaysia,91084.70276999999
Mali,0.1068
Malta,371.372
Mauritania,8.68545
Mauritius,951.8146
Mexico,52104.73803
Moldova,25087.1724
Mongolia,4208.9388
Montenegro,145.67885
Montserrat,0.06488
Morocco,14928.73246
Mozambique,0.13944
Myanmar,9667.77584
Namibia,12.15612
Nauru,0.9773999999999999
Nepal,82.60924
Netherlands,797403.03189
New Caledonia,0.00736
New Zealand,37067.194469999995
Nicaragua,546.58147
Niger,1.94103
Nigeria,9785.408
Niue,1.74884
Norway,9595.239389999999
Occ.Pal.Terr,1250.45155
Oman,21940.57403
Pakistan,25699.90786
Panama,3.24716
Papua New Guinea,344.13816
Paraguay,0.02
Peru,5567.9887499999995
Philippines,15386.092429999999
Poland,254626.60419
Portugal,35150.70015
Qatar,10294.81074
Romania,68652.87887
Russian Federation,9111401.09607
Rwanda,68.47807
San Marino,201.63883
Saudi Arabia,20494.783620000002
Senegal,2.33948
"Serbia, FR(Serbia/Montenegro)",11373.841380000002
Seychelles,96.34816000000001
Sierra Leone,40.6255
Singapore,13881.653299999998
Slovak Republic,41335.00758
Slovenia,56623.74636999999
Solomon Islands,15.543050000000001
Somalia,1.48
South Africa,38913.10587
Spain,159322.85562000002
Sri Lanka,9459.21585
Sudan,1390.11452
Suriname,87.30998
Swaziland,30.82131
Sweden,88950.76822
Switzerland,1854279.6146500001
Syrian Arab Republic,228945.29537
Tajikistan,7310.912060000001
Tanzania,1032.4452
Thailand,106582.85426000001
Togo,1741.66936
Trinidad and Tobago,94.43636
Tunisia,8478.87018
Turkey,1219743.66489
Turkmenistan,33885.76207
Turks and Caicos Isl.,23.95845
Tuvalu,5.3843499999999995
Uganda,472.06076
Ukraine,699878.8664500001
United Arab Emirates,425004.07492
United Kingdom,365666.36050999997
United States,830254.6341200001
Unspecified,234758.28512000002
Uruguay,86.4674
Uzbekistan,28338.52809
Vanuatu,7.48452
Venezuela,129.03647
Vietnam,284602.2691499999
Yemen,1210.8834
Zambia,777.23188
Zimbabwe,68756.40604
