Partner,Value
Afghanistan,2.41911130464
Albania,295.212112505856
Algeria,2.6369446554
American Samoa,2.785185408
Andorra,5.57085229752
Angola,57.858474999048
Anguila,1284.8292583418881
Argentina,1269.4482719262242
Aruba,24.369561208824003
Australia,4421.35577963436
Austria,1005.982424923032
"Bahamas, The",185.676325965216
Bahrain,0.85185192
Bangladesh,119.873402182464
Barbados,35635.657636037555
Belgium,5862.503624555808
Belize,549.3584809857119
Bermuda,77.805998817072
Bhutan,9.92066746032
Bolivia,2.6397705815520003
Bonaire,12.385186176
Bosnia and Herzegovina,1.56672234756
Brazil,36658.59097713149
British Indian Ocean Ter.,2.865585414432
British Virgin Islands,2545.407340669608
Bulgaria,315.907051198488
Cambodia,33.467239714416
Cameroon,23.576087071272
Canada,62572.415687274304
Cayman Islands,881.21295938592
Chile,7544.628748014694
China,179177.52790457156
Cocos (Keeling) Islands,0.10185186
Colombia,24524.217365640943
Comoros,21.35737207896
Costa Rica,4199.7153137549785
Croatia,112.31693491128
Cuba,5.715200457216
Curaçao,56277.952261495164
Cyprus,3455.806894983048
Czech Republic,509.892777828456
Denmark,5028.427854126046
Dominica,8234.918110645256
Dominican Republic,39425.00666881509
Ecuador,144.295070802864
"Egypt, Arab Rep.",110.882645907648
El Salvador,550.288325504544
Estonia,623.330431347912
Faeroe Islands,40.921766236704
Fiji,90.751518371232
Finland,1067.524685401968
Fr. So. Ant. Tr,41.120403289632
France,56224.07733866659
French Polynesia,0.195822237888
Gabon,32.09918775312
Georgia,242.40341939227199
Germany,24643.287167759096
Ghana,1.8294075537599999
Gibraltar,459.49825898208
Greece,104.61218985045599
Grenada,7971.430745121816
Guam,3.738641039832
Guatemala,2154.670250151384
Guyana,11328.566939618613
Haiti,20.437042375704
Holy See,128.64017695788
Honduras,3924.991699184496
"Hong Kong, China",7785.023426505528
Hungary,4222.206500739456
Iceland,225.650921755776
India,12116.847117495832
Indonesia,14242.626702373007
"Iran, Islamic Rep.",32.110865531832
Ireland,1476.835347776448
Israel,897.777779229624
Italy,37092.06710069844
Jamaica,35905.2062835274
Japan,124670.56238475544
Jordan,4.080263289384
Kenya,8.95938960564
"Korea, Rep.",27402.767844073114
Kyrgyz Republic,0.39785188368
Lao PDR,31.13050249044
Latvia,113.494705375872
Lebanon,115.586624061744
Lesotho,4.4960559152399995
Liberia,19.687320093504002
Lithuania,489.20783172921597
Luxembourg,378.172552476024
Macao,13.12485290184
"Macedonia, FYR",22.12405732548
Malaysia,3927.3413067798724
Mali,118.135668710112
Malta,25.659276126816
Mauritius,70.86100566888
Mexico,25133.78586255454
Montserrat,6928.315157968874
Morocco,662.727634499688
Myanmar,14.917030822992
Namibia,64.710157028664
Nepal,0.63368523588
Netherlands,42134.37238926806
New Zealand,3418.32236605836
Nicaragua,173.94938058261602
Niger,5.143807818912
Nigeria,697.19794466472
Norway,2000.62086375336
"Other Asia, nes",1769.207911906992
Pakistan,336.31089727524
Panama,18611.701318565632
Paraguay,0.118725935424
Peru,4398.510959288254
Philippines,128.102958396384
Poland,2367.6575708940723
Portugal,956.8807209948959
Romania,454.679736374376
Russian Federation,0.1664814948
Saint Maarten (Dutch part),26453.744864447544
Sao Tome and Principe,0.19888890480000002
Saudi Arabia,22.05511287552
Senegal,2.238711290208
"Serbia, FR(Serbia/Montenegro)",376.64350050184805
Sierra Leone,36.837421465512
Singapore,1113.535359453192
Slovak Republic,6.516882002832
Slovenia,51.129104090328
Somalia,0.4751852232
South Africa,3953.71218666732
Spain,28960.753746489725
Sri Lanka,102.618393394656
St. Kitts and Nevis,5809.857694418208
St. Lucia,15018.200142196656
St. Vincent and the Grenadines,19844.092198638373
Sudan,2.24244462384
Suriname,2579.654413779744
Swaziland,269.88663270204
Sweden,4074.1710518595837
Switzerland,10695.169437094979
Syrian Arab Republic,33.414969339864
Thailand,33368.45486947618
Togo,164.92593912
Tokelau,227.78486637093602
Trinidad and Tobago,97862.872243844
Tunisia,183.82412581704
Turkey,8694.744973357336
Turks and Caicos Isl.,6.835089435696
Uganda,16.720882819152
Ukraine,266.569902807072
United Arab Emirates,62300.81733962058
United Kingdom,73297.5855415842
United States,1219505.6569974814
Unspecified,3107.0961596787843
Uruguay,273.717144119592
Vanuatu,5.89357454556
Venezuela,3330.176662710408
Vietnam,3654.004733061096
Yemen,2.046133497024
