Partner,Value
Afghanistan,11202.220969702732
Albania,34123.71062612903
Algeria,2635879.686436922
American Samoa,77156.26001348977
Angola,13653.134207807345
Anguila,2428.8186966520916
Antarctica,18351.01840814225
Antigua and Barbuda,4262.951424662893
Argentina,3050063.4709056867
Armenia,11933.419504669138
Austria,6169675.408615389
Azerbaijan,5114.550298138078
"Bahamas, The",18866.533332680283
Bahrain,2130408.102833441
Bangladesh,6572584.032565785
Barbados,15784.043639084251
Belarus,127190.22066507996
Belgium,10162087.66216424
Belize,11123.129447548696
Benin,2016.9309356998185
Bermuda,6205.358271552368
Bhutan,6815.440793381188
Bolivia,64160.93682755323
Bosnia and Herzegovina,64857.370325402866
Botswana,60629.79791421237
Brazil,5765743.238404216
British Virgin Islands,8183.755049443882
Brunei,3559344.8877204275
Bulgaria,428522.7362998223
Bunkers,4851314.399060951
Burkina Faso,44502.20618645923
Burundi,3563.5183768353713
Cambodia,1139322.5157767683
Cameroon,6265.008296440364
Canada,13972211.475476068
Cape Verde,2890.6797216574096
Cayman Islands,3666.9730130861435
Central African Republic,2707.868965844101
Chad,448.63818998022225
Chile,2624259.652315054
China,648228794.2278104
Christmas Island,93250.27094021984
Cocos (Keeling) Islands,24557.27240507049
Colombia,471252.9434249673
Comoros,34.12176520534
"Congo, Dem. Rep.",13165.849090036192
"Congo, Rep.",483805.03905416076
Cook Islands,32393.28062502019
Costa Rica,386072.9911966014
Cote d'Ivoire,285914.70806587656
Croatia,146731.8548378375
Cuba,37392.22024752727
Curaçao,1868.2427840216271
Cyprus,122662.56117864768
Czech Republic,3113285.456851396
Denmark,4731047.548705086
Djibouti,10896.118705552137
Dominica,2885.55099151536
Dominican Republic,213355.2024324843
East Timor,103762.22169262246
Ecuador,133717.66220100725
"Egypt, Arab Rep.",1528218.5477213208
El Salvador,64747.21656294671
Equatorial Guinea,1435.75947362096
Eritrea,17168.108747440292
Estonia,908244.8720728719
Ethiopia(excludes Eritrea),81095.49645751812
Falkland Island,1151.042806215849
Fiji,1829722.4147779644
Finland,4722151.162155496
Fr. So. Ant. Tr,6.6091411907972
France,24815555.837033864
French Polynesia,176660.5613063202
Gabon,734004.1516927991
"Gambia, The",466.6307673671078
Georgia,255426.82326971667
Germany,57588818.13118798
Ghana,393012.10771333054
Gibraltar,492.91840913350853
Greece,1061051.8340561658
Grenada,1522.6518517479713
Guam,31250.583803412075
Guatemala,96038.06214890882
Guinea,16708.274025505158
Guinea-Bissau,354.2954555523662
Guyana,19680.758028765646
Haiti,13268.751656321481
Honduras,229905.78236462906
"Hong Kong, China",20349153.27991014
Hungary,2880415.6168957474
Iceland,415602.10223413195
India,52763310.1221095
Indonesia,31339026.658795513
"Iran, Islamic Rep.",247853.07555783572
Iraq,76451.39061326026
Ireland,6583416.3958325675
Israel,3415243.0513482876
Italy,25523836.61385184
Jamaica,96978.1786573816
Japan,199580089.61412507
Jordan,632265.6917089162
Kazakhstan,99366.03765743574
Kenya,353626.8572051438
Kiribati,54873.491654132085
"Korea, Rep.",100982506.92928836
Kuwait,1327620.3754357488
Kyrgyz Republic,17328.879179271138
Lao PDR,171949.56780040532
Latvia,178325.15784941817
Lebanon,185156.351325658
Lesotho,4606.568355906802
Liberia,2128.3694700716756
Libya,2054646.888404414
Lithuania,381437.35516601254
Luxembourg,176599.2361045208
Macao,362576.629609874
"Macedonia, FYR",33365.81658379955
Madagascar,154380.4045368667
Malawi,1496.6130732783795
Malaysia,55114104.7204311
Maldives,153126.30372952257
Mali,30101.573831204867
Malta,82160.07647284235
Marshall Islands,16943.16573314541
Mauritania,298345.45506303
Mauritius,332982.59545252984
Mexico,11016999.899171557
"Micronesia, Fed. Sts.",14872.037689702738
Moldova,11425.235018413992
Mongolia,158582.19015652448
Montenegro,1224.238141346191
Montserrat,61.3621780538503
Morocco,257834.17981658364
Mozambique,1433159.582838575
Myanmar,584953.4134369807
Namibia,76864.52922221809
Nauru,146248.8722553652
Nepal,139055.6734106507
Netherlands,19508364.96711795
New Caledonia,1441913.1164529468
New Zealand,53718939.863388665
Nicaragua,66915.09295705678
Niger,3623.083652314069
Nigeria,1685837.5620686116
Niue,2805.5702143760805
Norfolk Island,28211.22083059474
Northern Mariana Islands,5417.195273605101
Norway,2209870.338376571
Oman,799614.3542953982
"Other Asia, nes",47663059.36484899
Pakistan,2211667.7180768927
Palau,4531.864012283416
Panama,321891.5253970154
Papua New Guinea,15879488.730986832
Paraguay,21022.042668928738
Peru,755042.6103823492
Philippines,10194619.19936711
Pitcairn,738.2306670442553
Poland,5574826.543702227
Portugal,963210.1730197639
Qatar,2756646.162575422
Romania,842375.9417749404
Russian Federation,2750015.975973479
Rwanda,5384.088865571924
Saint Helena,7054.985965101283
Saint Pierre and Miquelon,14.92026204195
Samoa,181855.4548289972
Sao Tome and Principe,174.3913973450735
Saudi Arabia,4023410.2299674293
Senegal,94675.71154308264
"Serbia, FR(Serbia/Montenegro)",120771.39052234714
Seychelles,42667.234363183336
Sierra Leone,12761.30357533611
Singapore,57898435.047873154
Slovak Republic,1640112.7261938513
Slovenia,805759.9468249334
Solomon Islands,316613.28923182364
Somalia,6314.285305709858
South Africa,8087798.770891428
South Sudan,640.0794784863075
Spain,8654946.222950082
Sri Lanka,1593615.9376905547
