Partner,Value
Afghanistan,47162.26158900238
Albania,436673.97643693036
Algeria,2071732.2704252603
American Samoa,52.7884691586
Andorra,35746.55165037102
Angola,25827.16234269174
Anguila,582.4440135029799
Antigua and Barbuda,1458.29704698886
Argentina,1021739.1563086757
Armenia,169507.26823236898
Aruba,4044.74314433498
Australia,8678031.478485718
Azerbaijan,2354595.774292918
BLM,131.2489014106
"Bahamas, The",33922.89402507084
Bahrain,286270.96990082855
Bangladesh,4916663.13929533
Barbados,4927.39923641124
Belarus,782822.2657742263
Belgium,25486196.13709359
Belize,17162.450238676658
Benin,53113.845478472096
Bermuda,4830.058804472241
Bhutan,5767.41170891804
Bolivia,132599.6372408634
Bonaire,408.82134717688
Bosnia and Herzegovina,5500825.559357889
Botswana,25948.28162386996
Brazil,5103131.191785778
British Virgin Islands,2645.54025467116
Brunei,30555.78297442904
Bulgaria,6811147.689573547
Bunkers,385722.979127106
Burkina Faso,35511.56241950416
Burundi,2522.1596440209
Cambodia,1578975.7654844227
Cameroon,44062.853022022
Canada,8589530.95817614
Cape Verde,2854.6661738288
Cayman Islands,2986.41618028536
Central African Republic,2499.4713819165
Chad,13685.92639632158
Chile,1401663.121642675
China,73349115.2092002
Christmas Island,476.56989039056
Cocos (Keeling) Islands,27.839675004799997
Colombia,850014.9821062586
Comoros,299.38276897202
"Congo, Dem. Rep.",38230.76230245188
"Congo, Rep.",9785.013649611701
Cook Islands,644.6991041132
Costa Rica,290622.8245872183
Cote d'Ivoire,363682.0886304078
Croatia,9710313.324077386
Cuba,55704.88865402996
Curaçao,5187.06575562308
Cyprus,439410.56301155995
Czech Republic,59899097.925200075
Denmark,7114011.0071561
Djibouti,16677.088150002
Dominica,1147.7581316312
Dominican Republic,228048.4944269664
East Timor,606.07790469312
Ecuador,427531.6575821185
"Egypt, Arab Rep.",1517563.9145592307
El Salvador,71092.85304748715
Equatorial Guinea,1511.7568121624001
Eritrea,2923.91521974766
Estonia,1083880.7948313355
Ethiopia(excludes Eritrea),106521.2258065714
Faeroe Islands,4684.95379326912
Falkland Island,1907.5908635218
Fiji,6663.024758204981
Finland,6141559.138403483
France,55727552.4614663
French Polynesia,8531.235069054559
Gabon,20607.78218602556
"Gambia, The",6182.34669857728
Georgia,387924.99806964205
Germany,502158709.1511402
Ghana,159734.06685469198
Gibraltar,78336.10656549662
Greece,3980038.7282454576
Greenland,12534.14903393226
Grenada,2694.7756929873603
Guam,244.26141961834
Guatemala,131298.4837310232
Guinea,28868.9629631317
Guinea-Bissau,163.14750168236
Guyana,5715.763412513619
Haiti,9959.47044620546
Holy See,1981.46693495712
Honduras,89823.29665591088
"Hong Kong, China",2969614.882064069
Hungary,48633296.20103459
Iceland,501784.0030657918
India,9767009.372700777
Indonesia,2578228.5804586574
"Iran, Islamic Rep.",739296.1750071826
Iraq,2812295.3584246086
Ireland,4871723.810499172
Israel,2871471.6776014497
Italy,98470274.80329064
Jamaica,24566.506236039342
Japan,19776516.372471575
Jordan,252780.41431473213
Kazakhstan,7532636.445007833
Kenya,224607.9291217453
Kiribati,41.28098678392
"Korea, Dem. Rep.",6671.03144768334
"Korea, Rep.",10072540.827475214
Kuwait,474193.88452857436
Kyrgyz Republic,49954.09210714786
Lao PDR,80966.69667179734
Latvia,1064188.252875552
Lebanon,252663.9810885098
Lesotho,1761.1206499957602
Liberia,7356.4499922945
Libya,4025553.8641150226
Lithuania,2336557.7097389954
Luxembourg,2499654.9228363675
Macao,25316.759723500098
"Macedonia, FYR",981346.6887236254
Madagascar,71375.49872530138
Malawi,11487.608328814858
Malaysia,4643158.170259309
Maldives,49709.01536729845
Mali,729615.9865898624
Malta,530947.8618260336
Marshall Islands,669.53345879956
Mauritania,85792.30783345396
Mauritius,132528.9412593559
Mexico,8678626.719779551
"Micronesia, Fed. Sts.",63.2114856708
Moldova,672963.1942272316
Mongolia,171391.14878195702
Montenegro,295702.4550088242
Montserrat,60.35846808212
Morocco,1713095.6926550479
Mozambique,129316.75171689311
Myanmar,1025809.5820350591
Namibia,89969.07036828043
Nauru,73.11397078812
Nepal,35443.0339002865
Netherlands,36274221.00149645
New Caledonia,15318.3026385787
New Zealand,1168865.9136691364
Nicaragua,46433.72091301462
Niger,13300.96627839184
Nigeria,1091490.064128955
Niue,30.89855987012
Norway,5294971.593739124
Occ.Pal.Terr,33296.10877639172
Oman,275024.33998724597
"Other Asia, nes",7382644.787817456
Pakistan,2342949.401740061
Palau,10.1603362729
Panama,147247.28469240692
Papua New Guinea,18053.84520850346
Paraguay,82159.24261626013
Peru,787800.8358488444
Philippines,1737677.1310378609
Poland,49093009.527229324
Portugal,6379350.586945903
Qatar,651298.3073360162
Romania,20526891.617599778
Russian Federation,16315741.58382781
Rwanda,29910.98077158384
Saint Helena,68.73076588702
Saint Maarten (Dutch part),3443.31836674394
Samoa,537.73697607236
San Marino,84850.8020646526
Sao Tome and Principe,358.48125838458
Saudi Arabia,2250990.120560208
Senegal,222502.57502799903
"Serbia, FR(Serbia/Montenegro)",7471222.981591044
Seychelles,4411.23410939006
Sierra Leone,14103.47421960262
Singapore,2815641.923958626
Slovak Republic,32066426.318371415
Slovenia,26114886.01475808
Solomon Islands,861.9478329023
Somalia,2487.45144469974
South Africa,5400557.973665465
South Sudan,3893.33706308304
Spain,26132335.805065148
Special Categories,15841506.19852426
Sri Lanka,1054185.105041304
St. Kitts and Nevis,1028.8914164535
St. Lucia,4331.176096543661
St. Vincent and the Grenadines,700.1895237373
Sudan,56428.197540794325
Suriname,8131.7659848511
Swaziland,4659.600400254681
Sweden,16552235.652034864
Switzerland,71200632.22644418
Syrian Arab Republic,53705.6430194335
Tajikistan,28464.79256359109
Tanzania,132343.41117616772
Thailand,6040326.925817593
Togo,9582.020559324561
Tokelau,244.53457405576
Tonga,2.88739676842
Trinidad and Tobago,128310.03196070528
Tunisia,1326878.662127329
Turkey,14363467.593035791
Turkmenistan,120905.5520408033
Turks and Caicos Isl.,461.9229122167
Tuvalu,0.3527045361
Uganda,51332.3098253098
Ukraine,5653044.96205777
United Arab Emirates,2948185.929618812
United Kingdom,37062298.249665506
United States,88836457.9915444
United States Minor Outlying I,327.22167858982004
Uruguay,435218.5547101414
Uzbekistan,583369.66575034
Vanuatu,149.20532482261999
Venezuela,44123.99568069076
Vietnam,6338647.927680939
Western Sahara,29.19945680132
Yemen,238146.39742916753
Zambia,32178.004208996943
Zimbabwe,11200.43188193706
