Partner,Value
Afghanistan,331113.43962
Albania,3908.86331
Algeria,8619.04764
American Samoa,53.435199999999995
Angola,105.09124
Anguila,97.72422
Antigua and Barbuda,200.0
Argentina,87716.55459
Aruba,278.88312
Australia,1051959.7451900002
Austria,1111031.5765799999
"Bahamas, The",0.0212
Bahrain,4463.52792
Bangladesh,67258.35245
Barbados,100.87648
Belarus,1039650.12803
Belgium,344400.29587000003
Belize,1331.10012
Bermuda,64.63532
Bhutan,80.66084000000001
Bolivia,51.43705
Bosnia and Herzegovina,3456.5592899999997
Brazil,465651.19473
British Virgin Islands,0.62595
Brunei,134.20972
Bulgaria,389865.8004
Burkina Faso,14.57672
Burundi,6.2916
Cambodia,17844.87182
Cameroon,359.93047
Canada,1779623.32081
Cape Verde,0.82025
Cayman Islands,83.17944
Chile,18616.1558
China,9720596.58027
Colombia,3956.79257
Comoros,4.0874
"Congo, Dem. Rep.",245.64728
"Congo, Rep.",20.037570000000002
Costa Rica,9468.88875
Cote d'Ivoire,407.5322
Croatia,1759564.0689299998
Cuba,460.19996000000003
Curaçao,139.29785
Cyprus,75972.53625
Czech Republic,2856339.49385
Denmark,165122.59302000003
Djibouti,15.00724
Dominica,14.61295
Dominican Republic,385.00973
East Timor,2.3381
Ecuador,133294.12813
"Egypt, Arab Rep.",226294.35045
El Salvador,34.03435
Equatorial Guinea,3.7871500000000005
Eritrea,0.51345
Estonia,18818.07851
Ethiopia(excludes Eritrea),972.4822600000001
Faeroe Islands,682.06848
Finland,264366.34705
France,3335303.81908
French Polynesia,1.56576
Gabon,82.48182
"Gambia, The",0.40736
Georgia,2657587.23165
Germany,7120084.479499999
Ghana,302.51083000000006
Gibraltar,183709.19
Greece,1034815.18395
Greenland,316.94232
Grenada,6.01933
Guam,9.97679
Guatemala,562.00856
Guinea,4.40545
Guinea-Bissau,25.7943
Guyana,18.06496
Haiti,4.41713
Honduras,102.95803
"Hong Kong, China",14691.949410000001
Hungary,163766.59227000002
Iceland,16771.36083
India,4458904.695400001
Indonesia,229450.70101000002
"Iran, Islamic Rep.",2128726.22072
Iraq,59663.96347
Ireland,71930.94069
Israel,5541504.14389
Italy,24229986.94803
Jamaica,252486.54057
Japan,1398569.88809
Jordan,27532.738339999996
Kazakhstan,1000964.3019300001
Kenya,4170.83352
"Korea, Dem. Rep.",10.81376
"Korea, Rep.",770563.9351899999
Kuwait,17109.24947
Kyrgyz Republic,26126.86152
Lao PDR,980.6003
Latvia,55215.17534
Lebanon,4073.9335499999997
Lesotho,18.5065
Libya,175228.00462
Lithuania,91026.11282
Luxembourg,92967.0753
Macao,0.40009999999999996
"Macedonia, FYR",3232.3349200000002
Madagascar,1531.58796
Malawi,1084.12508
Malaysia,297818.80846000003
Maldives,25.54
Malta,50761.84952
Mauritania,41.3282
Mauritius,1101.9778
Mexico,236009.10209
Moldova,35324.57518
Mongolia,489.38053
Montenegro,2371.11453
Morocco,25135.123990000004
Mozambique,84.44096
Myanmar,11671.64493
Namibia,147.41897
Nepal,422.50795
Netherlands,925713.7290199999
New Caledonia,418.38695
New Zealand,159002.92753
Nicaragua,38.83824
Niger,14667.158
Nigeria,2795.01382
Niue,51.84442
Norway,472360.19672999997
Occ.Pal.Terr,1841.60555
Oman,2655.95862
"Other Asia, nes",1140576.69366
Pakistan,67071.39665999998
Panama,40.40472
Paraguay,391.72604
Peru,8855.309449999999
Philippines,16592.685250000002
Poland,429134.69324
Portugal,1481528.58468
Qatar,8941.792529999999
Romania,823680.11084
Russian Federation,12643961.16948
Rwanda,135.2048
Saint Maarten (Dutch part),1.6284999999999998
Samoa,0.25524
San Marino,1912.71068
Saudi Arabia,66944.12538
Senegal,412.55378
"Serbia, FR(Serbia/Montenegro)",39805.09753
Sierra Leone,39.50799
Singapore,111024.85199
Slovak Republic,139879.50157999998
Slovenia,83484.84248
Solomon Islands,5.25224
Somalia,0.31572
South Africa,24329.962710000003
Spain,3124752.24487
Sri Lanka,214723.13739000002
Sudan,143.71149
Suriname,18.50432
Swaziland,11.16203
Sweden,156821.01440999997
Switzerland,4364727.49496
Syrian Arab Republic,835.89246
Tajikistan,12823.08717
Tanzania,2563.2064
Thailand,1671353.14843
Tokelau,3.2461
Trinidad and Tobago,555.83048
Tunisia,19009.355559999996
Turkey,19167776.848739997
Turkmenistan,916950.85161
Tuvalu,0.20432
Uganda,28.576
Ukraine,3324844.94343
United Arab Emirates,268960.16679
United Kingdom,2938203.1454
United States,3063978.0094500002
Unspecified,172321.50104
Uruguay,751.10466
Uzbekistan,363930.36078
Vanuatu,14.88
Venezuela,74103.16908
Vietnam,634647.97138
Yemen,779.6231200000001
Zambia,14.99531
Zimbabwe,5535.9129
