Partner,Value
Andorra,205.37521
Anguila,4.41483
Argentina,0.97804
Australia,1986.9413200000001
Austria,232.97815
Azerbaijan,0.19344
BLM,104.29589999999999
Bangladesh,3790.28629
Belarus,657.4665500000001
Belgium,186153.69065999996
Benin,1845.6105300000002
Botswana,26.28398
Brazil,859.2612999999999
Brunei,885.88391
Bulgaria,603.75485
Burkina Faso,181.18250999999998
Cambodia,7.900399999999999
Cameroon,121.78563000000001
Canada,18818.040559999998
Central African Republic,24.37256
China,639193.2263900001
Cocos (Keeling) Islands,0.3267
Colombia,70.26192
"Congo, Dem. Rep.",93739.28941
"Congo, Rep.",38.7815
Cote d'Ivoire,1674.4920200000001
Cyprus,296.92282
Czech Republic,51.22124
Denmark,90452.04973000001
Djibouti,29.939840000000004
"Egypt, Arab Rep.",74402.66969000001
Ethiopia(excludes Eritrea),3759.82213
Finland,83.7942
France,60415.4971
Gabon,3426.16795
Georgia,742.25522
Germany,129388.89054000001
Ghana,1346.96821
Gibraltar,1352.40865
Greece,818.43067
Guinea,545.74938
"Hong Kong, China",10300.035030000001
Hungary,2426.5053700000003
Iceland,14.88795
India,333061.60405
Indonesia,20450.79272
"Iran, Islamic Rep.",102.42427
Ireland,80.92517
Israel,138.00477999999998
Italy,32143.74109
Jamaica,297.754
Japan,186631.36233
Jordan,170.18445
Kenya,211820.3271399999
"Korea, Dem. Rep.",944.11498
"Korea, Rep.",10208.177559999998
Kuwait,7.23383
Latvia,2842.01303
Lebanon,135.72469999999998
Liberia,37.00005
Lithuania,273.16602
Luxembourg,47.905
Madagascar,3.5208
Malawi,76.85468999999999
Malaysia,20281.11402
Mali,1518.40943
Mauritania,1092.65704
Mauritius,1289.73289
Mexico,1176.7148
Morocco,20872.687420000002
Mozambique,28621.902790000004
Namibia,14.95019
Netherlands,34572.47814
New Caledonia,8.30689
New Zealand,728.65427
Nicaragua,6.648300000000001
Niger,162.73146
Nigeria,2080.92919
Norway,702.07434
Oman,14749.31982
"Other Asia, nes",892.2179799999999
Pakistan,62307.67147
Panama,419.01847999999995
Philippines,1048.96874
Poland,4229.21057
Portugal,595.2334000000001
Qatar,8.01832
Romania,787.39995
Russian Federation,77354.75837
Rwanda,43130.07755
San Marino,31.3544
Saudi Arabia,549583.89836
Senegal,1495.21148
Seychelles,1223.89864
Sierra Leone,42.029300000000006
Singapore,29179.26557
Slovak Republic,140.30625
Slovenia,4394.36948
Somalia,14315.08824
South Africa,89895.52994
Spain,6003.56572
Sri Lanka,2624.5984
St. Kitts and Nevis,0.37898
St. Lucia,12.26112
St. Vincent and the Grenadines,42.0955
Sudan,13149.50609
Swaziland,1713.5746
Sweden,1927.78825
Switzerland,47851.44845
Tanzania,215788.23172
Thailand,9769.19912
Togo,584.84737
Tokelau,0.03204
Trinidad and Tobago,0.23376
Tunisia,8826.92955
Turkey,30413.89297
Turks and Caicos Isl.,535.47619
Uganda,185335.69395999998
Ukraine,7584.4146
United Arab Emirates,482431.07175999996
United Kingdom,92962.84834
United States,70183.70195
Unspecified,120.05380000000001
Uruguay,7.05193
Vietnam,72562.21320999999
Wallis and Futura Isl.,0.50448
Zambia,179530.32048
Zimbabwe,235.38969999999998
