Partner,Value
Afghanistan,212707.83124957338
Albania,160597.1120110837
Algeria,3588501.595906778
American Samoa,346.667354077034
Andorra,18007.18297834237
Angola,2251312.669030559
Anguila,250.859115123427
Antarctica,4172.60142339464
Antigua and Barbuda,9308.68695660909
Argentina,2391031.7236737963
Armenia,235143.32088177066
Aruba,13386.161364828702
Australia,8906262.802083224
Austria,26968204.78022616
Azerbaijan,248445.27596575522
BLM,3475.9876873474573
"Bahamas, The",21316.09765571752
Bahrain,590102.850718597
Bangladesh,3030399.060407364
Barbados,13402.953811916796
Belarus,1508741.5912242616
Belize,8897.564242521757
Benin,424069.7876800871
Bermuda,5242.741683463037
Bhutan,1914.199665640511
Bolivia,254360.26700950303
Bonaire,50004.128082823416
Bosnia and Herzegovina,422677.4990321883
Botswana,4351510.819795607
Bouvet Island,117.309970772828
Brazil,16012804.48628325
British Indian Ocean Ter.,27.503464807565
British Virgin Islands,8257.686555234812
Brunei,21315.10758980396
Bulgaria,7194891.62154066
Bunkers,14110404.434602952
Burkina Faso,398024.9782261997
Burundi,138584.8862969703
Cambodia,754101.7366050095
Cameroon,1251385.1056545551
Canada,26528024.32626927
Cape Verde,84744.79221025856
Cayman Islands,2895.964685043661
Central African Republic,92862.86396165351
Chad,57330.33837071622
Chile,3568127.8274148973
China,68078907.1644067
Christmas Island,48.261521235388
Cocos (Keeling) Islands,137.793555644328
Colombia,2330190.7467278317
Comoros,11400.927535024955
"Congo, Dem. Rep.",1620437.5317676323
"Congo, Rep.",348860.5221576076
Cook Islands,249.165545705271
Costa Rica,2029658.1387862894
Cote d'Ivoire,1958417.0874007517
Croatia,2815454.0751820896
Cuba,233823.99342821227
Curaçao,48389.63779587988
Cyprus,942912.1010138933
Czech Republic,32548802.912166424
Denmark,16422028.984661521
Djibouti,108532.63287826852
Dominica,5629.134908802567
Dominican Republic,459923.52928592113
East Timor,1784.556169272641
Ecuador,654520.0373478769
"Egypt, Arab Rep.",5437826.90725367
El Salvador,102758.60315070498
Equatorial Guinea,71694.66133804063
Eritrea,15116.187162248738
Estonia,2339091.82261944
Ethiopia(excludes Eritrea),695664.4255604355
Faeroe Islands,38369.03038355536
Falkland Island,451.204553161916
Fiji,7376.471765022192
Finland,12983006.614494983
Fr. So. Ant. Tr,715.582466754984
France,354775413.60656023
French Polynesia,66694.36073784139
Gabon,614638.5560761066
"Gambia, The",107037.24680552534
Georgia,276708.1417789706
Germany,460392438.2962606
Ghana,1058055.4177504298
Gibraltar,357858.5113631971
Greece,7130822.648714612
Greenland,1373.355275677749
Grenada,3181.108037628474
Guam,1517.434172412889
Guatemala,316575.55102268176
Guinea,1509690.8618525935
Guinea-Bissau,226134.6815217945
Guyana,246455.39765727404
Haiti,70984.67060741127
Heard Island and McDonald Isla,12.96829091376
Holy See,336.237029612457
Honduras,338390.2875502841
"Hong Kong, China",11255772.89986189
Hungary,20398852.712814048
Iceland,555845.6973539358
India,43134009.69048617
Indonesia,4339343.162644044
