Partner,Value
Albania,42.77413525882
Algeria,34362.385933116224
Andorra,3.9905629288
Angola,39499.68322367452
Anguila,2.730784
Argentina,186137.834028802
Armenia,2.42090145864
Australia,6885.4614030108205
Austria,8457.187188854741
Azerbaijan,117.81676056808
"Bahamas, The",7.836838058
Bahrain,26.0118355147
Bangladesh,1144522.6623542374
Belarus,4599.04490357312
Belgium,534162.3375349254
Brazil,193480.90935625287
British Virgin Islands,815.6958564587001
Brunei,107.3683167508
Bulgaria,1990.0748901829602
Burkina Faso,102578.23438411196
Burundi,104.0010808711
Cameroon,62926.0085421534
Canada,25528.29238144206
Central African Republic,628.5729926886199
Chad,22972.00015742674
Chile,1337.231472696
China,1795096.4124637654
Cocos (Keeling) Islands,0.44453750039999995
Colombia,2824.1720322212595
Comoros,6.82696
"Congo, Dem. Rep.",31934.40604852484
"Congo, Rep.",25903.953527238362
Costa Rica,21.334249999999997
Cote d'Ivoire,317205.0635048244
Croatia,551.5886365892
Cuba,31.27930792168
Cyprus,1260.07169785938
Czech Republic,868.37933269122
Denmark,162780.70680589756
Djibouti,815.36326062142
East Timor,38.0164217146
"Egypt, Arab Rep.",176511.35890070492
Equatorial Guinea,9412.7996004546
Estonia,99324.23001239248
Ethiopia(excludes Eritrea),404.31911612722
Finland,13524.92769536006
France,1211561.6786331453
Gabon,24855.53690455556
"Gambia, The",66.22928108047999
Georgia,6.49338108048
Germany,201242.2370961015
Ghana,190401.21605088693
Gibraltar,212.9568108948
Greece,19180.41439331276
Greenland,1.5360660000000002
Guatemala,5759.3417672168
Guinea,14636.74069745566
Guinea-Bissau,21.0326519746
Haiti,30.1166134843
Honduras,323.9373233838
"Hong Kong, China",81427.71656822166
Hungary,2330.61785335302
Iceland,1157.6784650592
India,2133069.7626744728
Indonesia,156596.23759936442
"Iran, Islamic Rep.",43.4362684553
Ireland,10341.117546069101
Israel,14911.08130848896
Italy,111679.28496428966
Japan,24136.1572010104
Jordan,668.41137471388
Kenya,734.5996872074
"Korea, Dem. Rep.",926.6222925975401
"Korea, Rep.",66803.9950763478
Kuwait,569.43931419088
Lao PDR,34.237204399999996
Latvia,21080.1261680191
Lebanon,60936.721822795604
Liberia,1783.99565948982
Libya,376.1243720997
Lithuania,7016.638817858181
Luxembourg,543.35157824164
Macao,34.66730288
Madagascar,13.19232192656
Malaysia,257832.60293637135
Mali,25405.59879053168
Malta,89.95583099019998
Mauritania,246674.69845763018
Mauritius,8943.148571297359
Mexico,3481.57067220536
Moldova,112.73508899772
Morocco,407263.9503269611
Myanmar,4683.55795094376
Namibia,682.34199481616
Netherlands,354825.29893273965
New Zealand,870.4922375562
Nicaragua,3764.89895730452
Niger,112047.82624448744
Nigeria,466544.30397978507
Norfolk Island,1581.2938846354998
Norway,55316.2858263831
Oman,6540.03316796242
"Other Asia, nes",4710.86810698994
Pakistan,138053.20817245665
Panama,21.2403793
Paraguay,299.173430556
Peru,1188.29041716
Philippines,100.82273673416
Poland,50398.007467030155
Portugal,25540.9105423787
Qatar,173.27768136546
Romania,1171.87739663666
Russian Federation,308334.7636811053
Rwanda,102.16061949884
Saudi Arabia,59374.9062586034
Senegal,64327.66134966138
Seychelles,72.66150113306
Sierra Leone,364.0569693341
Singapore,130214.07759910109
Slovak Republic,3747.6163066691997
Slovenia,326.4192646918
Somalia,0.682696
South Africa,78053.68130261313
Spain,172081.32930868975
Sri Lanka,1439.6563330951199
St. Kitts and Nevis,0.346126872
Sudan,694.676632104
Suriname,0.9569605843
Swaziland,441.84715077734
Sweden,57798.10619478666
Switzerland,48491.44638768372
Syrian Arab Republic,10.24044
Tanzania,92.1559553894
Thailand,639134.8696822791
Togo,1333577.5146548168
Tokelau,126.49891964024
Tunisia,38799.60639452744
Turkey,346987.84888727125
Turkmenistan,6331.1387003606
Turks and Caicos Isl.,129.56034014
Uganda,372.43899476378
Ukraine,208798.8927731322
United Arab Emirates,462590.0602460682
United Kingdom,113562.82345912015
United States,386648.6765179151
Uruguay,1246.61349144192
Venezuela,630.10739461712
Vietnam,467621.0614041842
Wallis and Futura Isl.,9.77580392936
Zambia,21.272029086560003
