Partner,Value
Afghanistan,47.48155458872
Albania,286.94592875144
Algeria,10357.16770513474
American Samoa,197.2484111535
Andorra,15.220295995659999
Angola,1374.4409238442402
Anguila,32.634319528999995
Antigua and Barbuda,2.0491632462
Argentina,21517.66891368948
Australia,302625.39618614153
Austria,4143.04593748276
Azerbaijan,0.95726950424
Bangladesh,2101.28883691524
Belarus,27650.011944095662
Belgium,449150.8432203359
Benin,51087.15659294104
Bolivia,3.48050026632
Bosnia and Herzegovina,51.24943573624
Brazil,492706.38645359804
British Indian Ocean Ter.,415.2120121079
Brunei,219.54397904502
Bulgaria,4901.28330464808
Burundi,83.04314144
Cambodia,357.6565151264
Cameroon,5223.50151758036
Canada,167065.30945859413
Cape Verde,62.315654577400004
Cayman Islands,2.6730791205999997
Central African Republic,119.29569515332
Chad,2544.0097464086202
Chile,1818.07328369982
China,2453177.8895274205
Colombia,578.984206984836
"Congo, Dem. Rep.",845.0521684752
"Congo, Rep.",346.47318490666
Costa Rica,685.6383429567
Cote d'Ivoire,2567536.4746390427
Croatia,3057.0491324158797
Cuba,2184.30900904832
Curaçao,118.45624361802
Cyprus,272.58008141546
Czech Republic,38354.02477374482
Denmark,227148.01501063502
Djibouti,701.07629950456
Dominican Republic,15.327463907
Ecuador,79.9871552004
"Egypt, Arab Rep.",60917.82432474872
El Salvador,65.13258457216
Equatorial Guinea,16981.31140843604
Eritrea,5.546905
Estonia,25044.43077002222
Ethiopia(excludes Eritrea),17823.63669069578
Fiji,14.402948450099998
Finland,219029.92281062854
France,1939005.2564088407
Gabon,167.12157088312
"Gambia, The",201.7855490336
Georgia,1260.40162264856
Germany,650249.0205225545
Ghana,1562149.7561859475
Greece,37594.57986584188
Guatemala,2014.57274662
Guinea,17290.73052851466
Guinea-Bissau,47.46753542636
Haiti,416.98612225592
Heard Island and McDonald Isla,439.72841910200003
Holy See,6.119507736299999
Honduras,1.4812199101
"Hong Kong, China",12911.43212575496
Hungary,22112.06566843764
Iceland,210.36140039138002
India,2830104.6588997296
Indonesia,102590.2130056761
"Iran, Islamic Rep.",9114.93530092124
Iraq,127.137452036
Ireland,45358.922910075584
Israel,9388.48526891639
Italy,411461.5849642979
Jamaica,78.05012135871999
Japan,601727.0042539124
Jordan,3000.7202472847603
Kazakhstan,83.33994352600001
Kenya,814.0104541221799
Kiribati,12.373864999999999
"Korea, Dem. Rep.",3926.570931262
"Korea, Rep.",294188.7546725103
Kuwait,874.3659314634999
Kyrgyz Republic,3.4539724065
Lao PDR,57.49553237834
Latvia,95921.32790581681
Lebanon,8033.6676266238
Lesotho,332.61145395100004
Liberia,1798.19146090612
Libya,370.5758883652
Lithuania,57600.700646743884
"Macedonia, FYR",23.033036591600002
Madagascar,182.2641897279
Malaysia,64690.89330989405
Mali,193864.56498144072
Malta,228.56314417062
Mauritania,9351.38743771078
Mauritius,25922.309382812637
Mexico,50984.18966167743
Moldova,77.72724028552
Mongolia,110.25247864764
Morocco,315648.4930905866
Mozambique,30.558838352
Myanmar,79189.3873351583
Namibia,1448.0782245577202
Nauru,3.5537910954000003
Netherlands,433113.76275052835
New Caledonia,27.39622182416
New Zealand,10948.20892541264
Nicaragua,5299.26309516744
Niger,217347.0839371017
Nigeria,47659.78952201656
Norway,152268.23859251206
Oman,484.31594512994
"Other Asia, nes",28586.17436201618
Pakistan,13199.49783467322
Panama,471.4970459682
Paraguay,45.10882415984
Philippines,7404.0976980866
Pitcairn,18.9006521025
Poland,26809.243141743438
Portugal,68137.35009192427
Qatar,2557.3859490893
Romania,14203.205979784501
Russian Federation,1376919.231464343
Rwanda,232.47434368942
San Marino,26522.29539872738
Saudi Arabia,100159.54708760296
Senegal,179994.0859285151
"Serbia, FR(Serbia/Montenegro)",1768.68832658112
Seychelles,54.3767364
Sierra Leone,3036.2156279847
Singapore,1073733.4150300096
Slovak Republic,5303.6666721088395
Slovenia,1276.71313993062
South Africa,313776.72825047595
South Georgia and the South Sa,0.19183074904
Spain,268150.1020749907
Sri Lanka,2614.8283660121
Sudan,333.33438463976
Suriname,4527.85786877998
Swaziland,4435.67154024554
Sweden,261262.03894312496
Switzerland,5588303.0489829965
Syrian Arab Republic,208.27776953088
Tanzania,373.01931196488
Thailand,229526.09116765758
Togo,401681.6065062593
Tokelau,323.0939634139
Tonga,134.64014795027998
Trinidad and Tobago,658.76037785376
Tunisia,97052.92925917827
Turkey,280476.3617971126
Turks and Caicos Isl.,841.66831406812
Uganda,141.12587942208
Ukraine,89121.58725455627
United Arab Emirates,177458.01387655138
United Kingdom,447723.4562119579
United States,1278451.5820415441
Unspecified,35.50098392736
Uzbekistan,53.3082232893
Venezuela,5982.46151395588
Vietnam,187132.27267269808
Yemen,26.3785968733
Zambia,125.08845775706001
