Partner,Value
Afghanistan,18400.78124428333
Albania,572995.8069424664
Algeria,451728.1605166034
Andorra,549.00551557821
Angola,34796.81428355635
Antigua and Barbuda,1496.34492678445
Argentina,241832.30915377068
Armenia,196466.13649864015
Aruba,1005.05145162512
Australia,329480.55211897905
Austria,6959590.525310599
Azerbaijan,116468.94361251862
"Bahamas, The",1126.17498420929
Bahrain,25682.6792580384
Bangladesh,125862.82288735277
Barbados,56325.80256855105
Belarus,425684.9612358949
Belgium,7410645.880343875
Belize,3245.15347527096
Benin,8075.83655267805
Bermuda,3.21395239152
Bolivia,7011.364413321289
Bosnia and Herzegovina,439644.0457560051
Botswana,412.86297919237
Brazil,397336.66628774465
British Virgin Islands,109.7299201478
Brunei,119.81473912833
Bunkers,892395.3864232625
Burkina Faso,25451.808211572832
Burundi,674.0332316712099
Cambodia,70075.43020606671
Cameroon,9178.321133181591
Canada,884437.9318443385
Cape Verde,340.66006809711
Cayman Islands,306.29904431917
Central African Republic,1517.0407946728399
Chad,1915.7130636605698
Chile,224769.1586450355
China,11724107.433809893
Colombia,45634.86498504562
Comoros,280.15008907913
"Congo, Dem. Rep.",4364.72975851017
"Congo, Rep.",2536.59303960315
Cook Islands,1252.40903060692
Costa Rica,8374.25396073441
Cote d'Ivoire,182198.4254174707
Croatia,1141005.5512680984
Cuba,21559.77715141108
Curaçao,649.66252732936
Cyprus,1185547.420886428
Czech Republic,7996244.20726921
Denmark,1627650.3468128634
Djibouti,358.92114652004005
Dominican Republic,19239.38613653598
East Timor,471.62233291688
Ecuador,112176.99169084948
"Egypt, Arab Rep.",5217955.742723701
El Salvador,5359.7583843734
Equatorial Guinea,132.83821495143
Eritrea,105.38627722550001
Estonia,274438.08726149413
Ethiopia(excludes Eritrea),52337.4958415133
Faeroe Islands,9708.377065690029
Falkland Island,31039.79040153185
Fiji,39311.14245227952
Finland,664349.0496882474
Fr. So. Ant. Tr,379.28186386749996
France,10973321.002135381
French Polynesia,646.92180350243
Gabon,2121.90309881541
"Gambia, The",1574.5044519395
Georgia,2280556.4386819755
Germany,42466449.60790651
Ghana,37984.68516618679
Gibraltar,646404.8607275105
Greece,16627161.5768065
Greenland,3.58994361681
Guam,6.80806283704
Guatemala,37588.647338376475
Guinea,5614.41483213302
Guinea-Bissau,22.762634681749997
Guyana,838.81182129004
Haiti,667.60589917314
Honduras,25757.37416223564
"Hong Kong, China",884652.3443605857
Hungary,8831861.360566473
Iceland,13090.066587493879
India,1475420.655661216
Indonesia,935307.9079369358
"Iran, Islamic Rep.",511197.4441018591
Iraq,361695.8561253831
Ireland,1377890.4873466028
Israel,923449.3159813568
Italy,23006885.701258305
Jamaica,8517.56389799735
Japan,1040754.0776119366
Jordan,137629.29826393095
Kazakhstan,196486.461445657
Kenya,14081.63245227289
"Korea, Dem. Rep.",4.7157395576
"Korea, Rep.",1414237.0373923176
Kuwait,70042.9546916543
Kyrgyz Republic,37242.04497784611
Lao PDR,1069.4952877234
Latvia,309445.6518709657
Lebanon,670888.8190992037
Lesotho,123.22897802016
Liberia,7165.57660909081
Libya,294121.18936915573
Lithuania,732263.2676635796
Luxembourg,277001.6318066239
Macao,2615.87521521004
"Macedonia, FYR",3556948.1620056764
Madagascar,1549.42264089704
Malawi,9706.893781633251
