Partner,Value
Afghanistan,4037.49854
Albania,3015.82646
Algeria,395776.6584
American Samoa,37.68478
Angola,21826.15363
Anguila,135.79522
Antigua and Barbuda,5267.2152399999995
Argentina,39743.93272
Armenia,850.26544
Aruba,18.49262
Australia,3933533.10177
Austria,183832.07677
Azerbaijan,704.73744
"Bahamas, The",74.90191
Bangladesh,181099.49694
Barbados,161.35657
Belarus,1820.02236
Belgium,295069.92861
Belize,64716.72648
Benin,1850.5584499999998
Bermuda,211.29248
Bhutan,13.499279999999999
Bolivia,463.31596
Bosnia and Herzegovina,8761.8769
Brazil,3738449.54219
British Virgin Islands,123.31630000000001
Brunei,81.79486
Bulgaria,88642.27606
Burkina Faso,15343.57232
Burundi,12.67753
Cambodia,68379.11951
Cameroon,999.11577
Canada,652851.78872
Cape Verde,20.45168
Cayman Islands,224.95854999999997
Central African Republic,12267.960720000001
Chad,25.50179
Chile,21535.12156
China,11173331.57252
Christmas Island,98.25233
Cocos (Keeling) Islands,67.37243
Colombia,65139.687340000004
Comoros,246.04897
"Congo, Dem. Rep.",27.548299999999998
"Congo, Rep.",600.3625099999999
Cook Islands,94.5549
Costa Rica,5694.61422
Cote d'Ivoire,16744.01126
Croatia,20113.16273
Cuba,4478.41007
Curaçao,13.83681
Cyprus,25192.57382
Czech Republic,243635.02632
Denmark,220220.31287000002
Djibouti,16271.21735
Dominica,929.3807700000001
Dominican Republic,5101.2952700000005
East Timor,7.37856
Ecuador,41033.85626
"Egypt, Arab Rep.",1952028.9323999998
El Salvador,8240.5718
Equatorial Guinea,698.8442499999999
Eritrea,36.881099999999996
Estonia,19920.968940000002
Ethiopia(excludes Eritrea),130474.7093
Fiji,1835.69904
Finland,66650.7993
France,1604892.1123799998
Free Zones,416765.54079999996
French Polynesia,840.33436
Gabon,2955.2274099999995
"Gambia, The",909.41489
Georgia,5317.26193
Germany,2881326.69778
Ghana,2046.88645
Greece,62311.343890000004
Grenada,30.677220000000002
Guam,18.04907
Guatemala,15443.405200000001
Guinea,38.573100000000004
Guyana,214.54432
Haiti,183.84418
Holy See,76.86975
Honduras,5184.08065
"Hong Kong, China",349375.34845
Hungary,81703.26129000001
Iceland,987.15978
India,3993651.59565
Indonesia,513891.10497
"Iran, Islamic Rep.",47322.45661
Iraq,93887.023
Ireland,369300.70206000004
Italy,2113098.00907
Jamaica,251.90723
Japan,3610853.7816800005
Jordan,479351.45825
Kazakhstan,14382.78106
Kenya,48181.165460000004
"Korea, Rep.",1886701.52812
Kuwait,1619911.92769
Kyrgyz Republic,96.54797
Lao PDR,922.87522
Latvia,1313.8244499999998
Lebanon,225688.88746
Lesotho,214.77106999999998
Liberia,1226.29953
Libya,128981.93777
Lithuania,41175.49256
Luxembourg,6643.11397
Macao,585.37193
"Macedonia, FYR",1050.354
Madagascar,1866.24746
Malawi,108.06376
Malaysia,517864.0642000001
Maldives,669.70115
Mali,173.91792999999998
Malta,8395.39609
Marshall Islands,143.36398
Mauritania,1548.17493
Mauritius,33161.68274
Mexico,461188.83216
Moldova,3433.20783
Mongolia,99.76319000000001
Montenegro,2780.44993
Montserrat,12.27795
Morocco,425444.19864
Mozambique,40692.71746
Myanmar,27941.07578
Namibia,3347.2903699999997
Nauru,552.46082
Nepal,716.28297
Netherlands,1675661.81532
New Caledonia,1.0378
New Zealand,215384.41797
Nicaragua,531.07867
Niger,357.65069
Nigeria,59908.042960000006
Niue,18.55255
Norway,184688.39377
Occ.Pal.Terr,10386.72167
Oman,2556000.30591
"Other Asia, nes",712552.03737
Pakistan,494462.8841900001
Panama,1232.73268
Papua New Guinea,13.64544
Paraguay,5533.3394
Peru,11499.00632
Philippines,134556.91247
Poland,235480.28506
Portugal,99929.78702
Romania,87094.28481
Russian Federation,188467.3973
Rwanda,24.00347
Saint Helena,158.23275999999998
Saint Pierre and Miquelon,2.8257499999999998
Samoa,4.69629
San Marino,320.49995
Sao Tome and Principe,14.36754
Saudi Arabia,33943410.04309064
Senegal,9795.38385
"Serbia, FR(Serbia/Montenegro)",16568.78024
Seychelles,1261.93944
Sierra Leone,2431.6092399999998
Singapore,905434.36578
Slovak Republic,132970.2513
Slovenia,25513.41735
Solomon Islands,14.62762
Somalia,32217.52495
South Africa,341579.77927
Spain,871683.8882175639
Sri Lanka,67125.73081000001
St. Kitts and Nevis,564.35743
St. Lucia,2.17835
Sudan,115150.48612
Suriname,91.71938
Sweden,588804.2691800001
Switzerland,1364349.8547399999
Syrian Arab Republic,16306.36553
Tajikistan,10.56045
Tanzania,17343.5157
Thailand,1418395.0478
Togo,63.21908
Tokelau,954.37253
Tonga,43947.64779
Trinidad and Tobago,301142.59932
Tunisia,64907.57119
Turkey,1997241.02233
Turkmenistan,537.3653899999999
Turks and Caicos Isl.,5.49115
Tuvalu,170.68307
Uganda,3919.87232
Ukraine,100363.14808
United Arab Emirates,9399987.030930001
United Kingdom,2479291.616419999
United States,7334534.425449999
United States Minor Outlying I,0.44624
Unspecified,23802982.027650002
Uruguay,7311.58079
Uzbekistan,1986.81942
Vanuatu,17.74444
Venezuela,549.1229
Vietnam,679758.4075099999
Wallis and Futura Isl.,18.01712
Western Sahara,53.38205
Yemen,78904.53809
Zambia,46370.52857
Zimbabwe,16155.58337
