Partner,Value
Afghanistan,28244.26299
Albania,204188.14125
Algeria,13831.608080000002
American Samoa,3.3862
Andorra,135.97118
Angola,921.34556
Antigua and Barbuda,0.0934
Argentina,59522.232430000004
Armenia,806.64253
Australia,18903.74261
Austria,4633846.19335
Azerbaijan,1406.3130800000001
BLM,368.02004
Bahrain,3289.28262
Bangladesh,158721.77617
Barbados,62.13164
Belarus,55959.03960999999
Belgium,698167.0941915599
Belize,35.8989
Benin,252.44969
Bermuda,0.39535
Bolivia,1604.39354
Botswana,190.78518000000003
Bouvet Island,90.35685000000001
Brazil,393957.06531
British Virgin Islands,0.30904
Brunei,68.1192
Bulgaria,402509.445663116
Burkina Faso,299.01786999999996
Cambodia,41535.7235
Cameroon,6122.3919000000005
Canada,53471.00007
Cape Verde,2.26415
Central African Republic,278.69382
Chad,1.21212
Chile,3953.69705
China,3895492.95735
Christmas Island,0.69366
Cocos (Keeling) Islands,0.01196
Colombia,57547.58960000001
Comoros,26.834239999999998
"Congo, Dem. Rep.",18.93062
"Congo, Rep.",132.57396
Cook Islands,2.3277799999999997
Costa Rica,39543.816510000004
Cote d'Ivoire,3721.47966
Croatia,8124699.0005858615
Cuba,608.1578
Curaçao,0.05475
Cyprus,15965.8502
Czech Republic,1360806.73966
Denmark,221404.2634
Dominica,7.2509999999999994
Dominican Republic,4314.49285
East Timor,4.181719999999999
Ecuador,81477.25829999999
"Egypt, Arab Rep.",274027.38947
El Salvador,147.31815
Equatorial Guinea,21.36964
Eritrea,12.89196
Estonia,11235.60466
Ethiopia(excludes Eritrea),2044.86492
Faeroe Islands,390.91078
Falkland Island,3537.38832
Fiji,13.10024
Finland,68672.72400999999
Fr. So. Ant. Tr,0.7089
France,1806641.0843000002
French Polynesia,65.85202
"Gambia, The",37.37311
Georgia,1491.62043
Germany,10482767.27927804
Ghana,6125.22321
Greece,522262.54583
Grenada,4.39776
Guatemala,7283.88183
Guinea,26265.330359999996
Guyana,9.91888
Haiti,153.70775
Heard Island and McDonald Isla,0.39724
Holy See,9.96135
Honduras,2669.3018700000002
"Hong Kong, China",21048.387349999997
Hungary,1976930.5652128798
Iceland,1240.0367
India,388800.62295
Indonesia,113085.42782000001
"Iran, Islamic Rep.",68620.50102
Iraq,15260.986389999998
Ireland,167084.03309
Israel,28048.177509999998
Italy,8993524.85785
Jamaica,5.687469999999999
Japan,280962.39854
Jordan,11113.08152
Kazakhstan,17990.92836
Kenya,13128.17183
Kiribati,0.06292
"Korea, Dem. Rep.",2741.78213
"Korea, Rep.",208429.41873
Kuwait,7897.92105
Kyrgyz Republic,2696.45841
Lao PDR,228.94591
Latvia,19403.26304
Lebanon,6656.16817
Lesotho,35.28299
Liberia,35355.06421
Libya,8801.81183
Lithuania,83016.74513
Luxembourg,215020.37842
Macao,304.77293000000003
"Macedonia, FYR",719993.3718400002
Madagascar,555.21121
Malawi,49.49588
Malaysia,76887.55764999999
Mali,421.18354999999997
Malta,89401.59209
Marshall Islands,0.17515
Mauritania,2621.4509700000003
Mauritius,1699.49009
Mexico,106544.05488
"Micronesia, Fed. Sts.",0.36285
Moldova,25327.99091
Mongolia,28.23545
Montenegro,1060783.48312
Morocco,80207.01321
Mozambique,189.3987
Myanmar,24531.75113
Namibia,10429.65348
Nauru,12.669550000000001
Nepal,84.02582
Netherlands,1268707.1937600002
New Caledonia,3.855
New Zealand,2223.7905600000004
Nicaragua,1258.11588
Niger,69.9097
Nigeria,3018.01314
Niue,843.05085
Norway,119403.61646
Occ.Pal.Terr,0.8898
Oman,7174.58777
"Other Asia, nes",121939.27847
Pakistan,63733.91661
Panama,289.40087
Paraguay,958.04728
Peru,7690.9288799999995
Philippines,18369.51332
Poland,1892861.0901799998
Portugal,110623.72877999999
Qatar,18759.8242
Romania,925177.394742704
Russian Federation,1405165.2795600002
Rwanda,23040.34723
Saint Helena,0.579
San Marino,3659.58865
Sao Tome and Principe,9.443430000000001
Saudi Arabia,154403.97903
Senegal,658.46966
"Serbia, FR(Serbia/Montenegro)",8282378.461210001
Seychelles,23.07786
Sierra Leone,403.2647
Singapore,30575.84975
Slovak Republic,724343.3940699999
Slovenia,4902972.2809956595
Solomon Islands,0.32084
South Africa,47715.94724
Spain,675151.82073
Sri Lanka,8095.17646
St. Kitts and Nevis,41.44977
Sudan,5226.86302
Suriname,463.56342
Swaziland,110.4465
Sweden,487549.79663
Switzerland,933174.3720900002
Syrian Arab Republic,1208.6987199999999
Tajikistan,22.13634
Tanzania,983.96424
Thailand,111359.60192
Togo,3683.0724
Tokelau,677.53121
Trinidad and Tobago,108.2332
Tunisia,34429.05937
Turkey,3220947.67708
Turkmenistan,154.23055
Turks and Caicos Isl.,2.70132
Tuvalu,46.87957
Uganda,4191.85547
Ukraine,129537.37664
United Arab Emirates,114747.9501
United Kingdom,651016.8857100001
United States,1737245.6456124058
United States Minor Outlying I,1.0196
Unspecified,60662.78725
Uruguay,38168.187659999996
Uzbekistan,1072.92693
Venezuela,1585.17553
Vietnam,352465.29166000005
Wallis and Futura Isl.,1.39497
Yemen,3427.9362499999997
Zambia,8.9178
Zimbabwe,1261.29221
