Partner,Value
Afghanistan,192135.2
Albania,5139.5
Algeria,47911.6
American Samoa,3.6
Andorra,3083.9
Angola,21703.699999999997
Anguila,11.7
Antarctica,1.2
Argentina,218204.80000000002
Armenia,303990.2
Australia,136989.1
Austria,854288.2999999998
Azerbaijan,872944.9000000001
BLM,3.5
"Bahamas, The",75.9
Bahrain,680.5
Bangladesh,731164.6000000001
Barbados,158.0
Belgium,1712599.5999999999
Belize,577.9
Benin,38532.4
Bermuda,4.4
Bhutan,160.8
Bolivia,10154.8
Bosnia and Herzegovina,84420.0
Botswana,1.5
Brazil,3024680.5
British Virgin Islands,298.0
Brunei,4398.5
Bulgaria,355056.0
Burkina Faso,10749.099999999999
Burundi,546.0
Cambodia,27496.2
Cameroon,65888.9
Canada,193207.09999999998
Cape Verde,10.5
Central African Republic,4518.100000000001
Chad,1315.1
Chile,88457.0
China,19818061.2
Colombia,384923.69999999995
Comoros,84.8
"Congo, Dem. Rep.",1956.6000000000001
"Congo, Rep.",4632.7
Cook Islands,144.1
Costa Rica,86612.9
Cote d'Ivoire,285127.5
Croatia,125315.0
Cuba,32561.100000000002
Cyprus,17000.2
Czech Republic,1629621.9
Denmark,510796.39999999997
Dominica,5.7
Dominican Republic,21602.1
East Timor,12.5
Ecuador,823923.3
"Egypt, Arab Rep.",586632.7999999999
El Salvador,311.79999999999995
Eritrea,9.2
Estonia,612045.6
Ethiopia(excludes Eritrea),6620.200000000001
Faeroe Islands,17719.2
Fiji,3142.5
Finland,636395.6999999998
France,2114050.8000000003
Gabon,1551.5
Georgia,349737.9
Germany,13754820.8
Ghana,58733.100000000006
Greece,191446.8
Greenland,2830.4
Guatemala,88149.3
Guinea,24221.4
Guinea-Bissau,16.8
Guyana,2946.2
Haiti,134.3
Holy See,4.5
Honduras,45396.1
"Hong Kong, China",56856.3
Hungary,1202939.8
Iceland,208399.1
India,2671350.0
Indonesia,1020213.4
"Iran, Islamic Rep.",113513.0
Iraq,113948.8
Ireland,374120.7999999999
Israel,605130.6
Italy,4071168.6999999997
Jamaica,220.4
Japan,755051.3
Jordan,21237.0
Kazakhstan,3886271.5
Kenya,172353.0
"Korea, Dem. Rep.",599.7
"Korea, Rep.",859139.2000000001
Kuwait,20603.9
Kyrgyz Republic,302605.4
Lao PDR,183.8
Latvia,1938293.9
Lebanon,91886.4
Lesotho,6.5
Liberia,732.4
Libya,25392.4
Lithuania,6252549.600000001
Luxembourg,45011.1
Macao,61.6
"Macedonia, FYR",54055.7
Madagascar,584.9000000000001
Malawi,458.0
Malaysia,663328.0
Mali,94029.5
Malta,1855.5
Mauritania,21429.8
Mauritius,8279.6
Mexico,203032.4
Moldova,939822.9
Mongolia,146394.4
Montenegro,1186.6000000000001
Morocco,357471.6
Mozambique,1749.5
Myanmar,76558.0
Namibia,329.4
Nauru,1.5
Nepal,131.8
Netherlands,5154184.7
New Caledonia,20.299999999999997
New Zealand,145072.69999999998
Nicaragua,9651.599999999999
Niger,2171.6
Nigeria,56404.799999999996
Norway,1414288.2999999998
Occ.Pal.Terr,35647.3
Oman,16717.4
"Other Asia, nes",538268.1999999998
Pakistan,236910.90000000002
Palau,0.5
Panama,14543.199999999999
Papua New Guinea,2762.4
Paraguay,53182.9
Peru,76000.7
Philippines,113835.9
Pitcairn,0.4
Poland,11491861.8
Portugal,165233.4
Qatar,24172.5
Romania,591921.5
Russian Federation,152166426.5
Rwanda,849.6999999999999
Saint Helena,8.9
San Marino,2908.7
Sao Tome and Principe,1.0
Saudi Arabia,274484.5
Senegal,101247.99999999999
"Serbia, FR(Serbia/Montenegro)",601641.0
Seychelles,28.4
Sierra Leone,2350.2000000000003
Singapore,184558.8
Slovak Republic,969994.9
Slovenia,593951.6
Somalia,75.5
South Africa,123153.09999999999
South Sudan,381.2
Spain,1541518.5999999999
Sri Lanka,181726.6
St. Kitts and Nevis,6.2
Sudan,27100.899999999998
Suriname,120.6
Swaziland,24.0
Sweden,726987.4
Switzerland,1091563.6
Syrian Arab Republic,30245.1
Tajikistan,134540.8
Tanzania,22884.3
Thailand,422088.0
Togo,21281.899999999998
Tokelau,43.5
Trinidad and Tobago,1069.6
Tunisia,43424.4
Turkey,4185385.5
Turkmenistan,103775.6
Uganda,8930.5
Ukraine,24740523.9
United Arab Emirates,495798.0
United Kingdom,10551801.2
United States,3161857.6
Unspecified,7218820.5
Uruguay,129377.4
Uzbekistan,1104544.1
Venezuela,1992.1000000000001
Vietnam,947841.6
Yemen,6509.3
Zambia,5275.7
Zimbabwe,1913.8000000000002
