Partner,Value
Antigua and Barbuda,767.5348150000001
Argentina,9203.257745
Aruba,1301.73532
Australia,3326.716045
Austria,14191.46299
"Bahamas, The",12058.231198
Bangladesh,2517.17686
Barbados,43242.26463
Belgium,9692.6585708
Bolivia,462.06398
Brazil,36880.353460000006
British Virgin Islands,176.53125
Bulgaria,1250.607795
Canada,36428.784270000004
Cayman Islands,23.61716
Chile,11063.693840000002
China,599691.499995
Colombia,10569.58929
"Congo, Dem. Rep.",49.89202
"Congo, Rep.",24.63624
Costa Rica,41915.828865
Croatia,2.7196749999999996
Cuba,234.50928000000002
Curaçao,173.81424
Cyprus,29.218040000000002
Czech Republic,93.43742999999999
Denmark,13465.246884999999
Dominica,268.08883
Dominican Republic,3973.3008149999996
Ecuador,3706.8870500000003
"Egypt, Arab Rep.",62.66431
El Salvador,49124.90743000001
Estonia,2197.94762
Fiji,6.13954
Finland,85.635885
France,10307.13204
Gabon,6.44758
Georgia,39.34487
Germany,33315.193855
Grenada,2669.621645
Guatemala,355312.75171400013
Guyana,10062.324195000001
Haiti,970.8060700000001
Honduras,89008.77343999999
"Hong Kong, China",94630.52982000001
Hungary,1862.291895
Iceland,13.435680000000001
India,70825.59534500001
Indonesia,9938.55475
Ireland,65662.8947586
Israel,2662.7541499999998
Italy,8310.924985
Jamaica,82934.799824
Japan,33574.593762000004
Jordan,3.47626
Kenya,12.84435
"Korea, Rep.",30030.699454999998
Lao PDR,342.02676
Latvia,141.973455
Lebanon,199.8075
Lithuania,547.97746
Luxembourg,1379.55402
"Macedonia, FYR",754.467405
Malawi,36.3957
Malaysia,9034.06588
Maldives,0.34424999999999994
Malta,564.16388
Mauritius,29.09318
Mexico,467543.837515
Morocco,517.903035
Mozambique,2.386
Netherlands,52592.57733
New Zealand,2810.82154
Nicaragua,2276.38172
Norway,373.9453
"Other Asia, nes",32395.138655000002
Pakistan,476.81494499999997
Panama,134952.65683499997
Paraguay,1260.574735
Peru,4102.963115
Philippines,1181.602965
Poland,2756.4012749999997
Portugal,5022.47775
Qatar,405.30774
Romania,130.72405
Russian Federation,469.065505
Saint Maarten (Dutch part),226.48725
Saudi Arabia,918.58132
"Serbia, FR(Serbia/Montenegro)",133.436035
Sierra Leone,0.144595
Singapore,4096.918915
Slovak Republic,0.4324
Slovenia,268.04877500000003
South Africa,5667.811855
Spain,16534.1115776
Sri Lanka,979.7103649999999
St. Kitts and Nevis,2164.3331399999997
St. Lucia,13427.529455
St. Vincent and the Grenadines,2520.4390399999997
Sudan,0.1229
Suriname,3322.6903350000002
Swaziland,70.111305
Sweden,2364.1924799999997
Switzerland,15674.72061
Tanzania,5.04375
Thailand,19088.628350000003
Trinidad and Tobago,101522.28863
Turkey,10923.497285
Turks and Caicos Isl.,0.18086
Ukraine,158.379575
United Arab Emirates,16704.799605
United Kingdom,371789.2836514
United States,2167240.256218199
Unspecified,245.15733999999998
Uruguay,1241.046215
Venezuela,259.77366
Vietnam,14949.18144
Zambia,2.0175
