Partner,Value
Afghanistan,694.48417
Albania,306.1873
Algeria,992.8575000000001
American Samoa,6180.11837
Andorra,5.57571
Angola,932.91
Antarctica,3.43734
Antigua and Barbuda,4.26407
Argentina,10178297.708529998
Armenia,323.32122000000004
Aruba,0.13908
Australia,795258.8786299999
Austria,82901.27967
Azerbaijan,24.084699999999998
BLM,45.3068
"Bahamas, The",97.59551
Bahrain,366.54508
Bangladesh,12323.05268
Barbados,0.40085000000000004
Belarus,42941.318779999994
Belgium,765374.8897200001
Belize,203.25901000000002
Bermuda,3.74164
Bosnia and Herzegovina,755.14543
Brazil,13258282.267040001
British Indian Ocean Ter.,0.14944
Brunei,135.22521
Bulgaria,13341.633170000001
Burkina Faso,0.27184
Cambodia,11022.312870000002
Cameroon,157.11316
Canada,785119.18499
Cape Verde,21.32842
Cayman Islands,0.0517
Central African Republic,21.06948
Chad,2.8908
Chile,2289583.636919999
China,11700944.31598
Cocos (Keeling) Islands,12.32298
Colombia,2544842.8336300002
"Congo, Dem. Rep.",7.386950000000001
"Congo, Rep.",1286.45362
Costa Rica,16330.207859999999
Cote d'Ivoire,387.28060999999997
Croatia,2673.75136
Cuba,55054.6685
Curaçao,1.60139
Cyprus,160.67208
Czech Republic,62706.72046000001
Denmark,68806.94432000001
Dominica,27.63422
Dominican Republic,11165.14847
East Timor,7.51075
Ecuador,861074.5562799999
"Egypt, Arab Rep.",8433.23962
El Salvador,5520.68302
Equatorial Guinea,2.98532
Estonia,55094.04467
Ethiopia(excludes Eritrea),38.95026
Finland,292131.11156
France,925224.31163
Free Zones,8223.55377
Gabon,0.5883499999999999
"Gambia, The",0.24495
Georgia,375.18348000000003
Germany,984485.45221
Ghana,185.32585000000003
Gibraltar,104.4592
Greece,9477.1417
Guam,38.5568
Guatemala,15338.569449999999
Guinea,8.59019
Guinea-Bissau,0.2057
Haiti,527.82
Holy See,168.57402000000002
Honduras,18116.99107
"Hong Kong, China",188274.24501
Hungary,134993.9525
Iceland,36.17808
India,3061450.00177
Indonesia,291881.14197
"Iran, Islamic Rep.",2494.63827
Iraq,939.3802300000001
Ireland,17565.52493
Israel,36047.24296
Italy,901778.77737
Jamaica,0.5683900000000001
Japan,4292901.3340300005
Jordan,3216.37366
Kazakhstan,660.56099
Kenya,107.79014000000001
"Korea, Dem. Rep.",13278.51335
"Korea, Rep.",1630725.7075399999
Kuwait,2587.38013
Kyrgyz Republic,17.26294
Lao PDR,132.02877
Latvia,4242.38111
Lebanon,756.85727
Lesotho,50.25865
Liberia,3.07068
Libya,428.44
Lithuania,23308.552150000003
Luxembourg,1656.52553
Macao,54.65556
"Macedonia, FYR",186.62474
Madagascar,366.74405
Malawi,16.0
Malaysia,145297.81960000002
Maldives,1.46695
Mali,305.37937
Malta,464.08220000000006
Mauritania,0.68592
Mauritius,522.09978
Mexico,1495264.19899
Moldova,19.0661
Mongolia,27.15633
Montenegro,39.16326
Montserrat,3.97555
Morocco,1197.1020800000001
Mozambique,30.50172
Myanmar,25512.00455
Namibia,128.0
Nauru,0.39870000000000005
Nepal,19.34776
Netherlands,1247288.72691
New Caledonia,20.47757
New Zealand,41020.4247
Nicaragua,7669.626679999999
Niger,62.5248
Nigeria,1463.21543
Niue,20.20069
Norway,34670.48094
Occ.Pal.Terr,163.88715000000002
Oman,4162.5244600000005
"Other Asia, nes",179068.43124
Pakistan,12596.78744
Palau,1.30976
Panama,132148.3671
Paraguay,556536.11965
Peru,4447461.52619
Philippines,33127.2665
Pitcairn,0.14368
Poland,39040.855840000004
Portugal,42191.478749999995
Qatar,1146.4900499999999
Romania,15134.34249
Russian Federation,703226.61774
Rwanda,0.22501
Saint Helena,21.19755
Saint Pierre and Miquelon,14.35172
Samoa,2.53332
San Marino,17.3488
Saudi Arabia,209174.56066000002
Senegal,1446.05312
"Serbia, FR(Serbia/Montenegro)",2512.99541
Seychelles,4.5847500000000005
Sierra Leone,472.418
Singapore,536732.01243
Slovak Republic,11820.612920000001
Slovenia,12963.05603
Somalia,3.3779
South Africa,35954.54577
South Georgia and the South Sa,0.0517
Spain,1721297.42813
Sri Lanka,12150.30302
St. Lucia,85934.3915
Sudan,80.49171000000001
Suriname,13.60674
Swaziland,34370.81758
Sweden,573480.11539
Switzerland,621199.7436500001
Syrian Arab Republic,16.76608
Tanzania,9.29725
Thailand,316077.60205000004
Togo,16.32008
Tokelau,146.33286
Trinidad and Tobago,2184.5009400000004
Tunisia,2319.99822
Turkey,532403.28479
Turkmenistan,6570.1355
Uganda,4.32562
Ukraine,4830.8937000000005
United Arab Emirates,2591586.45865
United Kingdom,341172.57796
United States,4742329.129800001
United States Minor Outlying I,3.35189
Unspecified,2595.27188
Uruguay,418165.45552
Uzbekistan,0.41090000000000004
Vanuatu,2.14611
Venezuela,51615.87525
Vietnam,157980.03198
Zambia,1.22
Zimbabwe,0.48161
