Partner,Value
Afghanistan,132154.683
Albania,241035.72499999998
Algeria,11708960.14
American Samoa,2704.297
Andorra,8920.028
Angola,2412536.7980000004
Anguila,4982.090999999999
Antarctica,512.547
Antigua and Barbuda,102825.14099999999
Argentina,96136908.44
Armenia,92346.55900000001
Aruba,97781.129
Australia,6178709.666999999
Austria,5270996.755
Azerbaijan,54282.164000000004
BLM,9369.409
"Bahamas, The",714533.9809999999
Bahrain,3209568.647
Bangladesh,6521895.995
Barbados,71243.272
Belarus,3831212.143
Belgium,21703573.622
Belize,41496.395000000004
Benin,405984.48099999997
Bermuda,20115.045
Bhutan,1298.4060000000002
Bolivia,12379316.836000001
Bonaire,95308.756
Bosnia and Herzegovina,17542.866
Botswana,7235.272000000001
British Indian Ocean Ter.,97.83900000000001
British Virgin Islands,61180.3
Brunei,9498.882000000001
Bulgaria,806532.7250000001
Bunkers,15330.892
Burkina Faso,31223.352000000003
Burundi,998.531
Cambodia,328899.359
Cameroon,291791.687
Canada,25292712.513
Cape Verde,101399.663
Cayman Islands,97055.739
Central African Republic,13240.143
Chad,8559.248
Chile,36702289.794
China,435000149.91400003
Christmas Island,363.596
Cocos (Keeling) Islands,26.522
Colombia,21103679.487
Comoros,20753.424000000003
"Congo, Dem. Rep.",680147.913
"Congo, Rep.",92099.428
Cook Islands,6.06
Costa Rica,1481427.005
Cote d'Ivoire,897285.826
Croatia,472866.998
Cuba,1170977.32
Curaçao,108651.343
Cyprus,340648.424
Czech Republic,2912944.523
Denmark,5814278.959000001
Djibouti,27422.308
Dominica,18247.964999999997
Dominican Republic,2983348.824
Ecuador,4138431.708
"Egypt, Arab Rep.",9121251.664
El Salvador,482229.201
Equatorial Guinea,190885.788
Eritrea,1189.535
Estonia,209267.21000000002
Ethiopia(excludes Eritrea),36441.655
Faeroe Islands,96.61
Falkland Island,591.78
Fiji,4702.1359999999995
Finland,3216194.83
Fr. So. Ant. Tr,42.452
France,35105165.361
French Polynesia,15401.604
Gabon,163228.686
"Gambia, The",317924.713
Georgia,777092.856
Germany,73745508.485
Ghana,699878.607
Gibraltar,8736.018999999998
Greece,1400417.929
Greenland,311.143
Grenada,41828.953
Guam,1827.056
Guatemala,1415548.192
Guinea,203128.296
Guinea-Bissau,20383.993000000002
Guyana,207476.293
Haiti,179786.054
Holy See,96.827
Honduras,556727.191
"Hong Kong, China",12728230.078000002
Hungary,2043407.4050000003
Iceland,523205.23500000004
India,33378881.754
Indonesia,13747758.105999999
"Iran, Islamic Rep.",9384535.913
Iraq,3666103.407
Ireland,3953958.471
Israel,7700870.096
Italy,35480786.991
Jamaica,313381.11699999997
Japan,45770162.459
Jordan,1495382.7070000002
Kazakhstan,875176.6880000001
Kenya,270357.136
Kiribati,1225.226
"Korea, Dem. Rep.",80780.73700000001
"Korea, Rep.",39480577.392
Kuwait,1268803.332
Kyrgyz Republic,156.372
Lao PDR,14853.504
Latvia,402361.475
Lebanon,1020065.537
Lesotho,189.71200000000002
Liberia,1043838.805
Libya,1816191.761
Lithuania,227357.881
Luxembourg,710720.264
Macao,197837.775
"Macedonia, FYR",102356.84
Madagascar,119783.913
Malawi,11847.425
Malaysia,18407788.626000002
Maldives,64319.122
Mali,70447.026
Malta,625281.4269999999
Marshall Islands,865824.5869999999
Mauritania,542297.987
Mauritius,167386.608
Mexico,47533750.872999996
"Micronesia, Fed. Sts.",349.73100000000005
Moldova,62992.10400000001
Mongolia,22966.557
Montenegro,59884.914000000004
Montserrat,417.506
Morocco,6884759.816
Mozambique,621419.027
Myanmar,289823.456
Namibia,37227.81
Nauru,153.736
Nepal,10920.650000000001
Netherlands,39431044.760000005
New Caledonia,46211.476
New Zealand,626195.3940000001
Nicaragua,320357.30299999996
Niger,109247.17700000001
Nigeria,6371911.045
Norfolk Island,2925.781
Northern Mariana Islands,264.76000000000005
Norway,7194133.831
Occ.Pal.Terr,92410.31599999999
Oman,4261239.822
"Other Asia, nes",17148352.242
Pakistan,2955393.388
Palau,791.72
Panama,2294055.585
Papua New Guinea,15010.952
Paraguay,23202966.432000004
Peru,16758312.336999997
Philippines,4106495.7029999997
Pitcairn,889.896
Poland,6826161.182
Portugal,8702969.34
Qatar,3836232.007
Romania,2933729.692
Russian Federation,25170667.155
Rwanda,2472.518
Saint Helena,4255.012
Saint Maarten (Dutch part),30254.979
Saint Pierre and Miquelon,0.98
Samoa,13247.552
San Marino,51217.118
Sao Tome and Principe,13074.113000000001
Senegal,599597.2050000001
"Serbia, FR(Serbia/Montenegro)",246135.224
Seychelles,26837.154000000002
Sierra Leone,162482.918
Singapore,20184317.608000003
Slovak Republic,974694.4299999999
Slovenia,1630899.4500000002
Solomon Islands,199.595
Somalia,82072.625
South Africa,8220890.711999999
South Georgia and the South Sa,1.22
South Sudan,7249.226
Spain,30890624.947
Sri Lanka,397165.42600000004
St. Kitts and Nevis,16255.062
St. Lucia,18717783.489
St. Vincent and the Grenadines,8374.311
Sudan,86636.167
Suriname,160563.839
Swaziland,1092.056
Sweden,8519080.586
Switzerland,17150737.009
Syrian Arab Republic,262327.833
Tajikistan,3759.593
Tanzania,70690.62
Thailand,15214931.736
Togo,280286.733
Tokelau,2895.969
Tonga,4144.098
Trinidad and Tobago,2152884.641
Tunisia,1191119.7880000002
Turkey,12941575.875999998
Turkmenistan,158905.065
Turks and Caicos Isl.,43348.369
Tuvalu,2966.055
Uganda,30709.119000000002
Ukraine,981818.555
United Arab Emirates,11421494.088
United Kingdom,23883721.582999997
United States,296479373.26699996
United States Minor Outlying I,888.469
Unspecified,27292.613999999998
Uruguay,15509445.39
Uzbekistan,149729.343
Vanuatu,5215.707
Venezuela,2175209.0779999997
Vietnam,21313750.677
Wallis and Futura Isl.,2019.771
Western Sahara,86.35
Yemen,1354637.285
Zambia,116470.281
Zimbabwe,20036.171000000002
