Partner,Value
Afghanistan,30.707
Albania,77.464
American Samoa,10.636
Andorra,10.82
Angola,0.11499999999999999
Anguila,5103.2789999999995
Antigua and Barbuda,83909.01
Argentina,7466.641
Armenia,67.97
Aruba,2903.952
Australia,12132.307
Austria,6814.0289999999995
Azerbaijan,68.353
"Bahamas, The",16194.436999999998
Bahrain,33.119
Bangladesh,599.131
Belgium,29379.822
Belize,19432.469
Bermuda,800.611
Bolivia,155.6
Bonaire,55.835
Bosnia and Herzegovina,62.64
Botswana,0.213
Brazil,64116.170999999995
British Indian Ocean Ter.,31.0
British Virgin Islands,18116.847999999998
Brunei,37.428000000000004
Bulgaria,330.60699999999997
Cambodia,549.768
Cameroon,51.204
Canada,218030.617
Cape Verde,1.05
Cayman Islands,5335.813
Chile,16377.745
China,409868.513
Cocos (Keeling) Islands,0.176
Colombia,27196.082
Comoros,11.032
"Congo, Rep.",14.200000000000001
Costa Rica,52526.843
Cote d'Ivoire,148.516
Croatia,19.345
Cuba,805.036
Curaçao,16240.147
Cyprus,2802.466
Czech Republic,2160.702
Denmark,21858.637000000002
Dominica,39794.051999999996
Dominican Republic,52855.51700000001
East Timor,0.43499999999999994
Ecuador,3822.618
"Egypt, Arab Rep.",1815.617
El Salvador,1411.9130000000002
Estonia,69.85000000000001
Fiji,1.036
Finland,933.125
France,123481.629
French Polynesia,11.76
Gabon,88.169
"Gambia, The",1.92
Georgia,300.833
Germany,107282.50099999999
Ghana,140.776
Gibraltar,10.069999999999999
Greece,987.2869999999999
Grenada,51874.72
Guam,1036.085
Guatemala,12882.293
Guinea,91.044
Guyana,159257.066
Haiti,2195.113
Honduras,3787.1369999999997
"Hong Kong, China",64372.992
Hungary,10846.717
Iceland,22.238
India,80398.57800000001
Indonesia,22416.444
"Iran, Islamic Rep.",101.16499999999999
Ireland,18173.022
Israel,10439.024000000001
Italy,46654.424
Jamaica,190368.783
Japan,193671.367
Jordan,334.606
Kenya,89.769
"Korea, Dem. Rep.",819.971
"Korea, Rep.",59061.663
Kuwait,3.645
Lao PDR,94.93299999999999
Latvia,427.971
Lebanon,405.483
Lithuania,1319.95
Luxembourg,354.918
Macao,25.38
"Macedonia, FYR",3.251
Madagascar,18.139000000000003
Malawi,17.0
Malaysia,22318.863999999998
Malta,42.278999999999996
Mauritania,0.735
Mauritius,109.93299999999999
Mexico,127616.626
"Micronesia, Fed. Sts.",5.1049999999999995
Moldova,2.28
Montenegro,3614.143
Montserrat,2194.561
Morocco,925.891
Myanmar,33.033
Namibia,7.36
Nauru,1.46
Nepal,0.617
Netherlands,540166.0510000001
New Zealand,83607.689
Nicaragua,5609.447
Niger,1148.039
Nigeria,72.468
Norway,3573.4800000000005
Oman,78.756
"Other Asia, nes",26394.492000000002
Pakistan,1969.929
Panama,40207.528
Paraguay,240.24
Peru,8234.432999999999
Philippines,1900.036
Poland,10713.911
Portugal,3637.143
Qatar,2.715
Romania,740.29
Russian Federation,1378.042
Saint Helena,1.11
Saint Maarten (Dutch part),1876.9209999999998
San Marino,5.5
Saudi Arabia,780.368
Senegal,28.732
"Serbia, FR(Serbia/Montenegro)",97.32300000000001
Seychelles,1.848
Sierra Leone,460.41499999999996
Singapore,8897.909
Slovak Republic,1732.1139999999998
Slovenia,566.384
Somalia,0.376
South Africa,12192.640000000001
Spain,45221.678
Sri Lanka,1351.5040000000001
St. Kitts and Nevis,39387.715
St. Lucia,91243.86800000002
St. Vincent and the Grenadines,84906.508
Sudan,20.135
Suriname,41298.435
Swaziland,421.144
Sweden,47733.345
Switzerland,71225.473
Tanzania,3.3369999999999997
Thailand,91956.28
Tokelau,77.611
Tonga,0.005
Trinidad and Tobago,1077266.815
Tunisia,192.644
Turkey,42891.953
Turks and Caicos Isl.,1792.0339999999999
Tuvalu,13.082
Uganda,26.979999999999997
Ukraine,311.822
United Arab Emirates,4937.428
United Kingdom,328334.232
United States,2935388.82
United States Minor Outlying I,0.232
Unspecified,433751.689
Uruguay,10166.822
Uzbekistan,0.18
Venezuela,493.75100000000003
Vietnam,18211.976000000002
Wallis and Futura Isl.,47.005
Zambia,0.07
Zimbabwe,44.660000000000004
