Partner,Value
Afghanistan,9.64779
Albania,8.73851
Algeria,122066.09702
American Samoa,0.44644
Angola,311253.09536
Antarctica,10.30244
Antigua and Barbuda,2.0078
Argentina,36879.87705
Armenia,8.53549
Australia,3038393.84684
Austria,24378.70925
Azerbaijan,15.42548
BLM,9.386280000000001
"Bahamas, The",11.89804
Bahrain,289.65458
Bangladesh,24601.12596
Barbados,0.62392
Belarus,5336.3541
Belgium,46599.101650000004
Belize,78.2766
Bermuda,3.4244000000000003
Bolivia,21.15178
Bosnia and Herzegovina,25.01763
Botswana,1.1371
Brazil,28445.09774
British Indian Ocean Ter.,300712.40094
Bulgaria,613.9391499999999
Bunkers,417.73290000000003
Burkina Faso,0.16435000000000002
Burundi,40.257
Cambodia,78756.92773
Cameroon,906.46686
Canada,41000.59988
Central African Republic,0.022000000000000002
Chad,119.20961
Chile,3406.56546
China,4844531.892650001
Christmas Island,44.99257
Cocos (Keeling) Islands,0.51448
Colombia,2063.8251999999998
Comoros,1.1777
"Congo, Dem. Rep.",0.25084
Costa Rica,1730.02466
Croatia,5.700089999999999
Cuba,230.6456
Curaçao,3496.96626
Cyprus,403.90586
Czech Republic,39654.20337
Denmark,56755.14842
Dominica,56.96918
Dominican Republic,17.71884
East Timor,45.25096
Ecuador,216.56189999999998
"Egypt, Arab Rep.",4948.41748
El Salvador,37.86783
Equatorial Guinea,320143.61604
Eritrea,8.827350000000001
Estonia,1558.14574
Ethiopia(excludes Eritrea),46.55088
Falkland Island,0.31012
Fiji,124.40245
Finland,4901.39526
France,387769.08603
Gabon,10.9816
"Gambia, The",2.98575
Georgia,791.9611500000001
Germany,1579778.95659
Ghana,2228.78471
Greece,1588.32801
Grenada,3.2046
Guatemala,378.60915
Guinea,3.0956
Haiti,2.3757
Holy See,2.7102
"Hong Kong, China",265684.49219
Hungary,70568.24354000001
Iceland,453.60218
India,2864671.53477
Indonesia,739466.6334
"Iran, Islamic Rep.",616.8378100000001
Iraq,238084.00264
Ireland,15667.86739
Israel,156.30496
Italy,420835.46633
Jamaica,127.12091000000001
Japan,9833140.03331
Jordan,124.09300999999999
Kazakhstan,814485.66133
Kenya,0.48104
"Korea, Dem. Rep.",4605.41286
"Korea, Rep.",1811246.9462499998
Kuwait,3139.86982
Kyrgyz Republic,41.35013
Lao PDR,16.91648
Latvia,66.96084
Lebanon,791.59178
Liberia,1.0467
Lithuania,3120.86544
Luxembourg,4923.09632
Macao,9.453479999999999
"Macedonia, FYR",5.3594
Madagascar,279.20344
Malawi,1104.46122
Malaysia,5145654.23492
Maldives,345.14906
Mali,25.05609
Malta,1919.71486
Mauritania,0.0758
Mauritius,89.4449
Mexico,22180.76562
Moldova,25.92962
Mongolia,1.62304
Montenegro,3.66198
Montserrat,39.5088
Morocco,253.38622
Mozambique,0.10935
Myanmar,2824.32571
Namibia,14.67592
Nauru,25.55672
Nepal,366.99334999999996
Netherlands,95549.56029000001
New Caledonia,0.4696
New Zealand,23539.96207
Nicaragua,38.872279999999996
Niger,300.75083
Nigeria,1150185.95622
Norway,14475.01837
Occ.Pal.Terr,37.63283
Oman,819.61334
"Other Asia, nes",634180.1407999999
Pakistan,67169.30417999999
Panama,4.26287
Papua New Guinea,194392.23633
Paraguay,2.121
Peru,115.06329000000001
Philippines,517958.23051
Pitcairn,0.05354
Poland,11903.80826
Portugal,3554.0624000000003
Qatar,131689.94999
Romania,13821.0007
Russian Federation,2564.15947
Saint Helena,46.04222
Sao Tome and Principe,34.32499
Saudi Arabia,26075.361279999997
Senegal,50.17366
"Serbia, FR(Serbia/Montenegro)",1423.78779
Sierra Leone,222.43897
Singapore,6778431.345870002
Slovak Republic,3941.61664
Slovenia,1084.59744
Solomon Islands,0.18908
Somalia,1.6573099999999998
South Africa,19584.3595
South Georgia and the South Sa,6.06625
South Sudan,10.44391
Spain,50954.84359
Sri Lanka,16868.20202
St. Lucia,13.049059999999999
St. Vincent and the Grenadines,33.51465
Sudan,29.25384
Suriname,2.67115
Swaziland,167.64762
Sweden,18999.44865
Switzerland,39362.88376999999
Tajikistan,0.8138
Tanzania,430.35852000000006
Thailand,2745283.29494
Tokelau,2.4941
Tunisia,144.22069
Turkey,28241.434979999998
Turkmenistan,9.7501
Uganda,0.008
Ukraine,2244.05836
United Arab Emirates,1128236.47013
United Kingdom,677151.26332
United States,1675943.23305
United States Minor Outlying I,133.94955
Unspecified,38865.66697
Uruguay,947.582
Venezuela,8.23741
Vietnam,1293056.4525900001
Yemen,237.03951
