Partner,Value
Afghanistan,2.5176734592416
Albania,0.053715040212
Algeria,0.176629658694
Angola,34456.58535429978
Argentina,1705.681836643199
Armenia,18.540413734368
Australia,30367.492241613112
Austria,62457.42047434773
Azerbaijan,6.22968099992
"Bahamas, The",0.2512239701152
Bahrain,11324.164824316174
Bangladesh,705.4499760844906
Barbados,0.10004786291000001
Belarus,5.5505552286948
Belgium,4961004.038167136
Benin,23.4531092766555
Bermuda,16.376111847736002
Bosnia and Herzegovina,10.5367482346432
Brazil,11380.985389846723
British Indian Ocean Ter.,33.758402171444004
British Virgin Islands,13.484426340132
Bulgaria,652.4447544003008
Cambodia,48.7594834967364
Cameroon,691.3521472873432
Canada,1897223.8834179242
Chad,0.7670272705799001
Chile,434.96213653472677
China,580371.506564287
Colombia,16.865756065278
"Congo, Dem. Rep.",29448.768087544926
"Congo, Rep.",245.6178920540043
Costa Rica,26.005745075508
Cote d'Ivoire,676.0627208105863
Croatia,409.56159208277444
Cuba,122.1198099746416
Cyprus,21998.297627499935
Czech Republic,36211.69799238375
Denmark,5166.258421925085
Dominican Republic,46.7472772232204
"Egypt, Arab Rep.",2755.057522117134
El Salvador,0.2292696547696
Equatorial Guinea,451.942292369112
Eritrea,58.154743453116
Estonia,762.2214381003599
Ethiopia(excludes Eritrea),1158.5670381289754
Finland,31774.040580498106
Fr. So. Ant. Tr,16.502317743124
France,724877.0641854082
Gabon,2.3695079547065
Georgia,0.6025218197659999
Germany,231025.79496164556
Ghana,661.0837631976975
Greece,7889.115365410648
Grenada,135.61663494799998
Guinea,3492.011110237798
"Hong Kong, China",1477645.6904808637
Hungary,13542.880571255231
Iceland,2.4775885372516004
India,5666920.8064702405
Indonesia,6520.207921680883
"Iran, Islamic Rep.",2.2228669954204
Iraq,0.196397648324
Ireland,8191.407919882148
Israel,1575753.9869696577
Italy,118743.18968725167
Jamaica,8.0419684767644
Japan,359995.97542303166
Jordan,38.439434240872
Kazakhstan,1.218720951276
Kenya,13644.138299540438
"Korea, Dem. Rep.",1310.8524381818247
"Korea, Rep.",47769.35203566594
Kuwait,18.4852475239148
Kyrgyz Republic,2.7601669931376
Lao PDR,7.0469635598576
Latvia,244.9945641481792
Lebanon,7.3059607657722
Lesotho,22769.23854571872
Libya,3.7226636
Lithuania,1887.3005221379708
Luxembourg,1047.3718852217016
"Macedonia, FYR",29.891835979380495
Madagascar,3.5441002699632
Malawi,17627.897179123334
Malaysia,11566.433593399068
Mali,19.263899907716
Malta,4689.799082758161
Mauritania,138.86222924655
Mauritius,29192.198258254033
Mexico,8921.731707254039
Moldova,333.94458755087277
Montenegro,53.841164063132794
Morocco,21765.84668866779
Mozambique,37022.70240920309
Myanmar,301.2722048151712
Namibia,2741060.9770120042
Nepal,4.4732795056432
Netherlands,156718.27410273775
New Zealand,227.96258245109001
Nicaragua,0.7229369838599999
Niger,15.964331092324
Nigeria,1044.6017946126171
Norway,816.0485872003446
Oman,1.6903252526924
"Other Asia, nes",7461.835199180853
Pakistan,30156.426966586623
Papua New Guinea,0.2803263533444
Peru,487.1219036685352
Philippines,1506.6637364808253
Poland,7654.9438181983205
Portugal,27413.687860058395
Qatar,566.1925187651635
Romania,19056.737154109338
Russian Federation,571985.5261854344
Rwanda,90.46968828116479
Saint Helena,0.182432295368
Saudi Arabia,79525.13901791473
Senegal,107.44985126423839
"Serbia, FR(Serbia/Montenegro)",194.800933125096
Seychelles,275.37398843585805
Sierra Leone,87.0146921389715
Singapore,1288756.0087370176
Slovak Republic,18487.35249905294
Slovenia,2062.3898265592184
South Africa,18738040.948430873
South Sudan,11.2252351881416
Spain,18779.895449640404
Sri Lanka,3602.5029452111103
St. Kitts and Nevis,0.1163332375
St. Vincent and the Grenadines,0.37226636
Sudan,672.282163307774
Suriname,0.2169898074864
Swaziland,117147.645795029
Sweden,13350.087504741092
Switzerland,899251.8348642864
Tanzania,14597.452551405731
Thailand,16075.749508850968
Trinidad and Tobago,11.959145145252
Tunisia,315.704926937606
Turkey,17267.301667638207
Uganda,4239.10265177435
Ukraine,7984.191333133693
United Arab Emirates,3953539.328199068
United Kingdom,404565.53145406523
United States,838914.2486702551
Uruguay,1.8761629385184
Venezuela,1.055689625284
Vietnam,235085.43019465852
Zambia,491419.6679918107
Zimbabwe,347660.2899713317
