Partner,Value
Afghanistan,76468.07634090241
Albania,237436.59330786718
Algeria,2264656.0067069912
American Samoa,9758.8933015248
Andorra,3283.6151299872
Angola,280140.9513647472
Anguila,6096.7587677616
Antarctica,3008.6519546208
Antigua and Barbuda,56609.707438305595
Argentina,3447290.100635271
Armenia,338386.0918914672
Aruba,30186.5825493936
Australia,14802963.508056428
Austria,8737992.174133413
Azerbaijan,861149.0682650883
BLM,35.9549721168
"Bahamas, The",861329.3654137147
Bahrain,777250.0366683028
Bangladesh,11159366.463922318
Barbados,173966.04531912
Belarus,230092.814181792
Belgium,26210648.69969488
Belize,38465.768255904
Benin,124364.37472727521
Bermuda,150228.6725125104
Bhutan,2074.1158542576
Bolivia,841754.2642924698
Bonaire,1798.5994906895999
Bosnia and Herzegovina,72521.6678864832
Botswana,1764055.2675655407
Bouvet Island,1.0815055439999999
Brazil,23987072.531741545
British Indian Ocean Ter.,1036.9588205232
British Virgin Islands,13559.313580752001
Brunei,24984.4768214496
Bulgaria,1449578.2199631399
Burkina Faso,254088.16562792158
Burundi,12885.6554591616
Cambodia,6452609.710576283
Cameroon,228043.9369739856
Cape Verde,6610.9163009904005
Cayman Islands,106822.1121243024
Central African Republic,1332.6228410304
Chad,104150.6396834928
Chile,7987812.990720741
China,336665257.2761247
Christmas Island,4882.8000716112
Cocos (Keeling) Islands,722.4163105584
Colombia,5549220.951792391
Comoros,10191.2664057552
"Congo, Dem. Rep.",431455.7222399232
"Congo, Rep.",101167.1510090832
Cook Islands,2050.5284821248
Costa Rica,2275140.428944785
Cote d'Ivoire,1847723.1471359332
Croatia,363962.746131456
Cuba,2170085.1253238167
Curaçao,45088.478619792
Cyprus,52146.5933180832
Czech Republic,3909404.8937173835
Denmark,6242829.5157134645
Djibouti,36131.9418459312
Dominica,27017.132953420798
Dominican Republic,2481398.9320010934
East Timor,18371.549749176003
Ecuador,1872672.1814756978
"Egypt, Arab Rep.",5129322.942414099
El Salvador,657308.7000631295
Equatorial Guinea,31069.773891432
Eritrea,1680.9512827248
Estonia,509612.97985695844
Ethiopia(excludes Eritrea),671199.545211668
Faeroe Islands,15044.9268743328
Falkland Island,743.3274275087999
Fiji,123491.2266903792
Finland,5914593.918599239
Fr. So. Ant. Tr,343.58187589920004
France,42953601.46957524
French Polynesia,47616.4311297696
Gabon,75224.08872008641
"Gambia, The",13518.575867044801
Georgia,135254.059325448
Germany,88523900.48775183
Ghana,1148743.2652048606
Gibraltar,3582.38348592
Greece,1273350.3305298716
Greenland,37144.2348034272
Grenada,340021.9500454752
Guam,17981.9145786624
Guatemala,2427946.783627075
Guinea,243371.094590208
Guinea-Bissau,1124.7635047728
Guyana,1287488.2955500705
Haiti,552321.3564417552
Heard Island and McDonald Isla,95.1491243376
Honduras,1724637.3229871371
"Hong Kong, China",11966648.446688775
Hungary,3671480.199246442
Iceland,718039.0061780546
India,33567811.13129492
Indonesia,12305943.122315869
"Iran, Islamic Rep.",1084701.6046616544
Iraq,521626.4097620016
Ireland,13717260.329023918
Israel,5726685.316339671
Italy,43350942.233691595
Jamaica,743687.2779412658
Japan,98645179.67394671
Jordan,834577.9142832054
Kazakhstan,1971531.9837422427
Kenya,688366.8426827419
Kiribati,3680.7017606496
"Korea, Rep.",50935787.5987297
Kuwait,464183.3672567422
Kyrgyz Republic,48777.537742795204
Lao PDR,186958.44198399357
Latvia,1849981.5402299524
Lebanon,535453.549335192
Lesotho,28418.320984953596
Liberia,106997.0688211632
Libya,592514.113448088
Lithuania,1191531.785495611
Luxembourg,872807.6437657154
Macao,261519.8443997088
"Macedonia, FYR",123877.1267100384
Madagascar,452933.1448859952
Malawi,46556.3137710192
Malaysia,12740515.597323103
Maldives,82006.1203006848
Mali,105697.17452351519
Malta,498228.58070815203
Mauritania,69544.5642399264
Mauritius,83040.8075827344
Mexico,154812333.97344676
Moldova,69322.9204183728
Mongolia,175422.094697736
Montenegro,20340.6344577072
Montserrat,1130.5923297744
Morocco,3017814.690412652
Mozambique,226278.2062078848
Myanmar,809724.5212093246
Namibia,378817.4327891184
Nauru,1383.8357084351999
Nepal,428763.0816832848
Netherlands,31752411.684970953
New Caledonia,75972.9480296112
New Zealand,4155188.5355089046
Nicaragua,627132.1909653742
Niger,22944.9359834544
Nigeria,2527586.554126032
Niue,68.2878427392
Norfolk Island,2724.2891018016003
Norway,11427267.778134637
Oman,534565.7094034704
"Other Asia, nes",27192379.254102755
Pakistan,3697175.654797867
Panama,766246.5950211358
Papua New Guinea,81376.6546812432
Paraguay,100573.9312754448
Peru,11430852.540932754
Philippines,7884194.357557101
Pitcairn,2329.7415597648
Poland,10650342.90081853
Portugal,3121958.8229749817
Qatar,1068893.0105189623
Romania,1949488.205658783
Russian Federation,8165028.793640194
Rwanda,39643.4456441184
Saint Helena,1640.9958705888
Saint Maarten (Dutch part),20045.7293752368
Saint Pierre and Miquelon,72183.17247812159
Samoa,3031.6386578208003
Sao Tome and Principe,1570.3219326912001
Saudi Arabia,16780597.65960148
Senegal,292847.56979881437
"Serbia, FR(Serbia/Montenegro)",292505.4078228768
Seychelles,16576.6213480368
Sierra Leone,49395.130164787195
Singapore,9577308.536514115
Slovak Republic,2811616.9189798604
Slovenia,1048259.5352600975
Solomon Islands,2101.0871705664
Somalia,16613.4761930592
South Africa,4329193.680833338
South Sudan,2095.1490645168
Spain,16604351.701112173
Sri Lanka,2187095.2743868814
St. Kitts and Nevis,39482.0676827184
St. Lucia,28799.417160475197
St. Vincent and the Grenadines,14569.6372183968
Sudan,82675.2737821104
Suriname,162789.20705626078
Swaziland,41441.9268098112
Sweden,9615376.97319908
Switzerland,21886278.45746787
Syrian Arab Republic,92928.8138046528
Tajikistan,7781.0608335168
Tanzania,544458.2044386432
Thailand,15722678.333123473
Togo,96715.2506317104
Tonga,2503.0130674992
Trinidad and Tobago,1754984.7762831356
Tunisia,767554.0184061596
Turkey,11995909.834783264
Turkmenistan,12958.524815630399
Turks and Caicos Isl.,14201.1030877584
Uganda,700841.7875560364
Ukraine,976535.4592475856
United Arab Emirates,5601233.9697550135
United Kingdom,82370857.63616005
United States,2460264510.9093647
United States Minor Outlying I,134994.93587274238
Uruguay,490090.315550856
Uzbekistan,40664.3499481968
Vanuatu,1018.6478388528
Venezuela,250976.76009534718
Vietnam,27375984.235293843
Wallis and Futura Isl.,420.4426284384
Western Sahara,244.853608824
Yemen,38957.757563299194
Zambia,258375.51135687839
Zimbabwe,43349.3152069536
