Partner,Value
Afghanistan,29818.042216858572
Albania,359379.3860780368
Algeria,1906667.0990723916
American Samoa,195.40886621552
Andorra,17827.21881358532
Angola,87951.97566751308
Anguila,4258.20958162016
Antigua and Barbuda,6494.810927646839
Argentina,8416172.871844344
Armenia,1029727.0118108506
Aruba,48665.5831675371
Australia,16605517.717241565
Austria,67664940.69426385
Azerbaijan,1061957.4688182676
BLM,55014.302925216994
"Bahamas, The",104020.12470189016
Bahrain,1907465.7850557868
Bangladesh,3820511.973070803
Barbados,28328.46477392265
Belarus,862016.9488438125
Belgium,48032324.94649188
Belize,9511.922786534711
Benin,24206.4203807759
Bermuda,16902.59622239525
Bhutan,7970.55888906898
Bolivia,135553.85978721647
Bonaire,2338.5242908475802
Bosnia and Herzegovina,1068842.0263503972
Botswana,183616.81654387238
Brazil,17120589.346033223
British Indian Ocean Ter.,2937.8972385873403
British Virgin Islands,329983.41466903815
Brunei,161730.1057428834
Bulgaria,3624425.9379732106
Burkina Faso,5180396.509719097
Burundi,3472.0767124795602
Cambodia,2033928.380453162
Cameroon,73742.78812287046
Canada,25866603.718163446
Cape Verde,9034.694365159301
Cayman Islands,605646.8080370468
Central African Republic,7667.11191394669
Chad,8760.435046053972
Chile,4061280.280826099
China,157243518.78289485
Colombia,3972304.4927951703
Comoros,7227.75720034025
"Congo, Dem. Rep.",38615.45794327986
"Congo, Rep.",34648.29675789197
Cook Islands,80.3164660324
Costa Rica,1353113.749757153
Cote d'Ivoire,2216244.5367592485
Croatia,2523434.803521323
Cuba,199035.7793573964
Curaçao,388491.46307182586
Cyprus,684043.6004629742
Czech Republic,21699307.786701716
Denmark,9420961.422870984
Djibouti,20203.531389745553
Dominica,2579.85404003674
Dominican Republic,2541120.2176146777
East Timor,476.02549110506004
Ecuador,1506133.085011224
"Egypt, Arab Rep.",6259275.081559285
El Salvador,69877.37200892363
Equatorial Guinea,4916.6496452335605
Eritrea,3308.10807385469
Estonia,1156827.4838873767
Ethiopia(excludes Eritrea),648525.2974847517
Faeroe Islands,8896.815991400781
Falkland Island,6560.49813040606
Fiji,11523.79635812656
Finland,7064184.332902862
Fr. So. Ant. Tr,69.9624640846
France,158220697.0799104
French Polynesia,13004.48884901613
Gabon,16352.30669727535
"Gambia, The",11294.77710963199
Georgia,466081.32309318264
Germany,476883538.3754827
Ghana,7702931.923285183
Gibraltar,45158.9429706007
Greece,4556044.226387335
Greenland,748.9567644688001
Grenada,6554.80971729055
Guam,48054.62323113104
Guatemala,324949.60889478214
Guinea,402650.74572885735
Guinea-Bissau,879.52567624398
Guyana,111078.77908859264
Haiti,36911.60645742544
Holy See,32261.55031315437
Honduras,196640.99182276014
"Hong Kong, China",50894156.626106255
Hungary,11556769.458720408
Iceland,449839.19739496417
India,67269401.64138143
Indonesia,5766535.838859733
"Iran, Islamic Rep.",1523720.9128377521
Iraq,1128246.9198164104
Ireland,42640602.21955614
Israel,8123443.2498141425
Italy,167789762.90736446
Jamaica,59937.93359147128
Japan,56461759.21607065
Jordan,1439620.6268312507
Kazakhstan,2817705.1315369783
Kenya,668009.5722128067
Kiribati,85.37272062790001
"Korea, Dem. Rep.",13164.927325961
"Korea, Rep.",20158376.51223793
Kuwait,2318684.8619446424
Kyrgyz Republic,59248.6438027261
Lao PDR,215420.2883938188
Latvia,897933.525459395
Lebanon,5193773.631901969
Lesotho,288446.2177724902
Liberia,473322.5171166208
Libya,1712982.706414717
Lithuania,1538123.174856222
Luxembourg,2738839.4991768287
Macao,269581.2433055104
"Macedonia, FYR",638876.567738603
Madagascar,263487.2692975905
Malawi,15729.42792938291
Malaysia,8569501.270734146
Maldives,63781.75560244697
Mali,3855523.6202664645
Malta,773143.8253362863
Marshall Islands,152329.75854253396
Mauritania,1681769.5571470547
Mauritius,392289.8780763324
Mexico,10642910.384801809
"Micronesia, Fed. Sts.",222.9129078237
Moldova,290368.435113424
Mongolia,1929536.4035265394
Montenegro,129000.79973430172
Montserrat,18.2075476429
Morocco,2866230.9340500995
Mozambique,256043.57596156874
Myanmar,607613.9464382431
Namibia,26478.270174712092
Nepal,362390.45803727396
Netherlands,51754706.6188984
New Caledonia,10865.011081746748
New Zealand,1353395.7169347275
Nicaragua,393068.8968630797
Niger,55122.435265688466
Nigeria,2422223.051747249
Northern Mariana Islands,3058.7512825080803
Norway,4899260.731078644
Occ.Pal.Terr,168333.70107630323
Oman,1196680.532281512
"Other Asia, nes",15101904.668058632
Pakistan,2507506.348115906
Palau,3.09513216632
Panama,1477513.6344547442
Papua New Guinea,25327.31780049463
Paraguay,192823.6926096859
Peru,7857301.136429
Philippines,3729108.0430976953
Poland,23860164.16774402
Portugal,10610376.863417266
Qatar,6195422.534893068
Romania,8851798.090326328
Russian Federation,16477678.719088066
Rwanda,18648.66173771115
Saint Maarten (Dutch part),66087.52237780415
Samoa,36450.34568386303
San Marino,61852.135084530135
Sao Tome and Principe,27126.196602035332
Saudi Arabia,9919184.642549364
Senegal,1916857.5105142458
"Serbia, FR(Serbia/Montenegro)",2685185.873063389
Seychelles,114739.84265050649
Sierra Leone,7741.01692453262
Singapore,38380408.15216213
Slovak Republic,8030553.620613717
Slovenia,19006242.532129794
Solomon Islands,45386.63618109968
Somalia,2930.39850592139
South Africa,12233123.200476298
South Georgia and the South Sa,131.5280237713
South Sudan,126071.21721473383
Spain,67946436.3536473
Sri Lanka,1487274.0003776017
St. Kitts and Nevis,12746.95016634376
St. Lucia,8871.15828586226
St. Vincent and the Grenadines,89107.3081493359
Sudan,339351.01092922606
Suriname,3282292.328584451
Swaziland,29246.4704377527
Sweden,14735892.625880357
Syrian Arab Republic,187256.46934924714
Tajikistan,559993.9895832492
Tanzania,1102488.4515911015
Thailand,26350332.05912356
Togo,61404.331306077795
Tonga,157.01909004398001
Trinidad and Tobago,29983.509891985163
Tunisia,1989972.6618534643
Turkey,20379517.389132027
Turkmenistan,55327.726803808124
Turks and Caicos Isl.,11896.94552478122
Tuvalu,18.2176098411
Uganda,311299.62821633863
Ukraine,2811528.904326115
United Arab Emirates,68313939.51672772
United Kingdom,166195610.26923364
United States,286870410.124293
United States Minor Outlying I,382.29712109188
Unspecified,2181.8920887871
Uruguay,888611.7985419832
Uzbekistan,8307924.681206668
Vanuatu,1022.03357069112
Venezuela,137907.0900654842
Vietnam,16011862.357866516
Wallis and Futura Isl.,76.32378578664
Western Sahara,8.97950567368
Yemen,99386.62754646757
Zambia,46182.67004024754
Zimbabwe,35173.74028170367
