Partner,Value
Afghanistan,466.40595
Albania,4815.5306199999995
Algeria,120585.42976
Andorra,1134.92907
Angola,824120.35929
Anguila,406829.06229000003
Antigua and Barbuda,3922.5489199999997
Argentina,17554161.035039596
Armenia,2621.60565
Aruba,7053.99929
Australia,2133515.0563842915
Austria,1537926.4774800001
Azerbaijan,3795.14655
"Bahamas, The",231239.90067
Bahrain,47224.777476993455
Bangladesh,933895.306373555
Barbados,13868.6593
Belarus,36419.00298
Belgium,3990626.0643082876
Belize,9006.56917
Benin,1525.1124000000002
Bermuda,1771.7480300000002
Bolivia,5103023.673317405
Bosnia and Herzegovina,6923.13126
Botswana,111.44457000000001
Brazil,38026368.59598731
British Virgin Islands,668.9489
Brunei,2403.20455
Bulgaria,732723.14188
Burkina Faso,265.232
Cambodia,250561.2735766088
Cameroon,6691.34675
Canada,7370389.690694619
Cape Verde,98.90322
Cayman Islands,1092.35819
Central African Republic,50.808049999999994
Chad,7416.1015
China,167949293.42370135
Colombia,8014167.285166644
Comoros,572.9596
"Congo, Dem. Rep.",611.1188
"Congo, Rep.",14561.00453
Cook Islands,0.93504
Costa Rica,821583.39605
Cote d'Ivoire,73109.98164
Croatia,83470.22777
Cuba,183964.02112
Curaçao,7058.8741
Cyprus,19856.17267
Czech Republic,601553.23469
Denmark,1345219.188988074
Dominica,2111.3504300000004
Dominican Republic,374145.1440099999
Ecuador,8310259.103133554
"Egypt, Arab Rep.",142496.5676180425
El Salvador,353943.94237955194
Equatorial Guinea,188715.2688
Estonia,92724.90656
Ethiopia(excludes Eritrea),3281.13407
Fiji,3517.6005
Finland,2706122.93843
Fr. So. Ant. Tr,10566.258310000001
France,10591352.793269072
French Polynesia,4150.126
Gabon,3634.4303800000002
"Gambia, The",38257.83539
Georgia,449308.31013
Germany,16555966.48945186
Ghana,105594.42941000001
Gibraltar,23.04
Greece,287193.4271844972
Grenada,1411.75728
Guam,3465.43943
Guatemala,940392.01135
Guinea,936.67359
Guinea-Bissau,0.3156
Guyana,9042.03377
Haiti,19762.18735
Honduras,150857.8136
"Hong Kong, China",684258.3352162562
Hungary,421219.79827
Iceland,66418.74218
India,9161346.059045848
Indonesia,1355716.2530796404
"Iran, Islamic Rep.",18876.915829999998
Iraq,10596.8432
Ireland,948383.72803
Israel,1095693.7195300001
Italy,9279904.745784074
Jamaica,62473.61005
Japan,36981065.5303075
Jordan,47489.262279999995
Kazakhstan,23502.80643
Kenya,195176.12428000002
"Korea, Rep.",26088596.394071087
Kuwait,29575.26707
Kyrgyz Republic,1092.28581
Lao PDR,3282.78467
Latvia,77947.89619
Lebanon,31092.48418
Lesotho,36.7422
Liberia,4129.03573
Libya,12416.05406
Lithuania,147012.4151921324
Luxembourg,94893.91656000001
Macao,1700.2747450444315
"Macedonia, FYR",3173.15931
Madagascar,3260.29538
Malawi,61.025
Malaysia,2008796.727616168
Maldives,2815.03766
Mali,6425.35985
Malta,86603.77034
Marshall Islands,31698.657
Mauritania,26955.627529999998
Mauritius,3311.1760499999996
Mexico,15421110.121662062
"Micronesia, Fed. Sts.",1784.84842
Moldova,3275.7796399999997
Mongolia,6724.624
Morocco,112195.54020285254
Mozambique,16254.54797
Myanmar,39176.661369999994
Namibia,365567.30265
Nepal,1977.87084
Netherlands,8449739.853292767
New Caledonia,299.93324
New Zealand,753183.52401
Nicaragua,128169.80864
Niger,35.78076
Nigeria,365726.28932000004
Northern Mariana Islands,2390.7504
Norway,819327.52661
Oman,49898.64568999999
"Other Asia, nes",7411701.938805924
Pakistan,398487.31631777197
Panama,913072.8428912814
Papua New Guinea,487.984
Paraguay,5155580.047565071
Peru,12958842.691016506
Philippines,885704.8507600001
Poland,1019381.9518899999
Portugal,810408.88601
Qatar,42895.694469999995
Romania,223419.37939
Russian Federation,3580552.1551900003
Rwanda,206.6993
Samoa,597.32055
San Marino,1160.5169700000001
Sao Tome and Principe,1.57844
Saudi Arabia,550632.70533
Senegal,16313.42216
Seychelles,1770.12516
Sierra Leone,1439.62622
Singapore,689490.4735699999
Slovak Republic,236941.59508
Slovenia,126761.09134
Solomon Islands,12.169509999999999
Somalia,2205.944
South Africa,708132.6026831236
Spain,12964630.389527466
Sri Lanka,232631.1472701795
St. Kitts and Nevis,380.67499999999995
St. Lucia,3976.9411099999998
St. Vincent and the Grenadines,950.8572800000001
Sudan,29.02067
Suriname,13890.5682
Swaziland,239.30066
Sweden,2678010.086754024
Switzerland,3251957.7601688774
Syrian Arab Republic,4856.4955596022355
Tajikistan,884.11499
Tanzania,3222.82172
Thailand,4854645.054793928
Togo,3185.21648
Tonga,2635.1112
Trinidad and Tobago,1092436.36143
Tunisia,38344.21602
Turkey,2811011.48752
Turkmenistan,860.5836300000001
Turks and Caicos Isl.,1809.90544
Uganda,396.65399
Ukraine,125298.11022999999
United Arab Emirates,995321.48523
United Kingdom,5309830.071173054
United States,98093075.5496608
Unspecified,9839791.43168338
Uruguay,1010171.8357273391
Uzbekistan,906.63364
Vanuatu,554.8835799999999
Venezuela,232862.20744000003
Vietnam,4737454.138499999
Zambia,1712.27278
Zimbabwe,1723.7608
