Partner,Value
Afghanistan,2870519.73
Albania,3123266.6350000002
Algeria,36647081.371
Andorra,12041.253999999999
Angola,104621382.329
Antigua and Barbuda,304528.714
Argentina,62750062.328999996
Armenia,3168345.593
Aruba,175403.895
Australia,700208937.015
Austria,50502649.677
Azerbaijan,6387469.931
"Bahamas, The",1980136.61
Bahrain,7687143.5940000005
Bangladesh,86724147.54900001
Barbados,826838.196
Belarus,12713434.989
Belgium,114678640.30700001
Belize,516731.402
Benin,10579146.266999997
Bermuda,176226.018
Bhutan,50019.967
Bolivia,5314687.226
Bonaire,21.167
Bosnia and Herzegovina,856929.6129999999
Botswana,1442859.8839999998
Brazil,490109300.11
British Virgin Islands,50596.702000000005
Brunei,4851621.9690000005
Bulgaria,12160016.135
Burkina Faso,1518925.105
Burundi,356133.55
Cambodia,43908600.072
Cameroon,11625491.279000001
Canada,280301493.424
Cape Verde,278632.579
Cayman Islands,175504.329
Central African Republic,263174.61600000004
Chad,3115387.38
Chile,173126415.107
Colombia,68668926.256
Comoros,323227.658
"Congo, Dem. Rep.",27279262.867
"Congo, Rep.",26383231.767
Cook Islands,217836.561
Costa Rica,10032540.436999999
Cote d'Ivoire,11120721.476000002
Croatia,7006689.568
Cuba,5696777.317
Curaçao,274149.9669999999
Cyprus,2873553.546
Czech Republic,84798086.686
Denmark,54239534.912
Djibouti,9942886.318
Dominica,151588.518
Dominican Republic,12813454.692999998
East Timor,733898.774
Ecuador,31280678.206
"Egypt, Arab Rep.",61097246.347
El Salvador,5207261.9
Equatorial Guinea,7379549.887
Eritrea,1046881.445
Estonia,5588730.774
Ethiopia(excludes Eritrea),12365172.897
Faeroe Islands,641488.1649999999
Fiji,1610555.3839999998
Finland,34661820.836
France,307887180.092
French Polynesia,485796.092
Gabon,20303281.089
"Gambia, The",2648643.616
Georgia,6733853.558
Germany,873398670.3879998
Ghana,32368298.832999997
Gibraltar,18542.808999999997
Greece,39265889.232999995
Greenland,1098623.3599999999
Grenada,62964.832
Guatemala,11920097.803
Guinea,17727372.310000002
Guinea-Bissau,171702.342
Guyana,1417993.667
Haiti,2591849.928
Holy See,431.94999999999993
Honduras,4434482.741
"Hong Kong, China",1361774248.506
Hungary,48819383.70500001
Iceland,1092093.0860000001
India,435549484.288
Indonesia,353161583.815
"Iran, Islamic Rep.",102421982.19
Iraq,138922742.475
Ireland,79355954.83399999
Israel,67602875.988
Italy,254779020.302
Jamaica,3138869.739
Japan,1480717470.209
Jordan,19126829.154
Kazakhstan,94922027.71200001
Kenya,23739756.759
Kiribati,92213.097
"Korea, Dem. Rep.",12205411.048999999
"Korea, Rep.",1346093094.195
Kuwait,72743356.326
Kyrgyz Republic,29898097.803999998
Lao PDR,16077036.544
Latvia,5811216.511
Lebanon,7758774.785999998
Lesotho,498733.44700000004
Liberia,18965335.693
Libya,30455094.183000002
Lithuania,9619894.316000002
Luxembourg,8786263.044
Macao,13343856.488
"Macedonia, FYR",1263738.085
Madagascar,5821265.550999999
Malawi,1256406.195
Malaysia,573224113.02
Maldives,1642182.6279999998
Mali,2733554.4450000003
Malta,6964642.418
Marshall Islands,11569443.446999999
Mauritania,8356516.880999999
Mauritius,3779973.3
Mexico,282811818.792
"Micronesia, Fed. Sts.",132775.45299999998
Moldova,783994.94
Mongolia,33677075.515
Montenegro,696357.747
Montserrat,2024.504
Morocco,21456448.326
Mozambique,11614137.976
Myanmar,78959852.03400001
Namibia,2940121.989
Nauru,5590.098
Nepal,7062969.316
Netherlands,401446046.27600014
New Caledonia,5066540.168
New Zealand,77051071.96599999
Nicaragua,2581779.224
Niger,2225232.417
Nigeria,87447229.777
Norfolk Island,1962.1709999999998
Norway,33448336.845
Occ.Pal.Terr,378581.72900000005
Oman,93605434.30900002
"Other Asia, nes",1099240246.333
Pakistan,84367870.276
Palau,79620.972
Panama,38199687.468
Papua New Guinea,15645210.99
Paraguay,6798752.22
Peru,100057807.285
Philippines,280830041.96999997
Poland,127967446.386
Portugal,31055627.695
Qatar,46662931.815
Romania,32091231.755000003
Russian Federation,478100936.87100005
Rwanda,1366877.554
Saint Pierre and Miquelon,237.066
Samoa,382870.07399999996
San Marino,32372.916999999998
Sao Tome and Principe,38817.325
Saudi Arabia,336726120.255
Senegal,11215243.72
"Serbia, FR(Serbia/Montenegro)",6393805.202
Seychelles,287300.629
Sierra Leone,2159608.823
Singapore,408103104.287
Slovak Republic,43188812.87500001
Slovenia,18351053.068
Solomon Islands,2273599.397
Somalia,3387410.178
South Africa,174659409.49400002
South Sudan,6700624.669
Spain,161721231.172
Sri Lanka,20799247.998
St. Kitts and Nevis,44645.043
St. Lucia,94281.71800000001
St. Vincent and the Grenadines,98527.242
Sudan,13516449.027999999
Suriname,1272531.288
Swaziland,207698.192
Sweden,81893917.891
Switzerland,121637266.713
Syrian Arab Republic,6095209.245
Tajikistan,7671769.378999999
Tanzania,18817116.104000002
Thailand,422206533.727
Togo,10665076.184000002
Tonga,126722.624
Trinidad and Tobago,4628010.370999999
Tunisia,7410066.166
Turkey,96492573.898
Turkmenistan,40557224.382
Turks and Caicos Isl.,13009.363000000001
Tuvalu,96613.762
Uganda,3607634.398
Ukraine,52595160.46699999
United Arab Emirates,218762951.882
United Kingdom,391995797.74
United States,2522746438.04
Unspecified,8369729.505999999
Uruguay,21113451.965
Uzbekistan,33792857.782000005
Vanuatu,401762.465
Venezuela,26495063.176
Vietnam,743125425.1419997
Wallis and Futura Isl.,3113.008
Western Sahara,346.571
Yemen,16375417.207000002
Zambia,17569716.436
Zimbabwe,5626843.419
