Partner,Value
Afghanistan,146.90746275888
Albania,3401.55875294124
Algeria,429156.05397699156
American Samoa,4.48515504
Andorra,222.77289261296
Angola,53610.923723890475
Anguila,22.65023092688
Antigua and Barbuda,11116.61329820956
Argentina,243477.3670136423
Armenia,1.64255661904
Australia,215037.86656409153
Austria,94099.52579758031
Azerbaijan,0.106368831
"Bahamas, The",594.79878131005
Bahrain,23451.85184674915
Bangladesh,690288.7656812323
Barbados,615.78717279512
Belarus,163989.4300197064
Belgium,3059301.904287139
Belize,1397.73752095444
Benin,330159.5467672791
Bermuda,1402.81931528028
Bolivia,522.5306827723999
Bosnia and Herzegovina,794.84037369524
Botswana,9.25998675
Brazil,847013.6996596507
Brunei,5.46138282672
Bulgaria,164776.72774823842
Burkina Faso,2503326.974118321
Burundi,1688.38122381981
Cambodia,12129.49173226069
Cameroon,205911.08872159608
Canada,1541823.0703293658
Cape Verde,1785.83154592191
Central African Republic,23703.422574916087
Chad,44002.34084766857
Chile,93992.40413119248
China,9782592.871062472
Cocos (Keeling) Islands,7.873194735519999
Colombia,559197.8116311557
Comoros,24.49096210748
"Congo, Dem. Rep.",145275.44404387107
"Congo, Rep.",79664.2645841872
Cook Islands,58.265790664600004
Costa Rica,1492.9006402618002
Croatia,19721.30050722788
Cuba,43.60008803636
Curaçao,661.62449007507
Cyprus,3290.30567006269
Czech Republic,93392.35246585429
Denmark,107725.46813776999
Djibouti,5820.00378492479
Dominica,15.44293123952
Dominican Republic,7505.4995115976
East Timor,52.2355952874
Ecuador,26278.23695842224
"Egypt, Arab Rep.",226740.65923834144
El Salvador,42.6008832168
Equatorial Guinea,40336.420743258175
Eritrea,2.37428542896
Estonia,704730.9774481237
Ethiopia(excludes Eritrea),18974.42621188446
Faeroe Islands,741.80577227232
Falkland Island,516.2614327276
Finland,85264.52968009363
France,8052218.699943487
Gabon,71956.12290038663
"Gambia, The",18100.53988918422
Georgia,6.56003759656
Germany,3688907.889832489
Ghana,1536548.0721910403
Gibraltar,103019.646541277
Greece,318616.4117242063
Guam,14.20852230988
Guatemala,12786.043536849851
Guinea,232038.71963155462
