Partner,Value
Afghanistan,4.75428811704
Albania,14.678057870700002
Algeria,6765.04069994605
Angola,1033696.3588402634
Argentina,66581.12892447916
Australia,436657.6251677261
Austria,725.90094203592
Azerbaijan,1151.33284499422
Bahrain,0.4213258364
Bangladesh,893.5166502636597
Belarus,9.124547786900001
Belgium,1188632.9730869378
Benin,4680.272077476217
Bolivia,30.7806718835
Botswana,0.85337
Brazil,106299.1718661556
Brunei,791.43806494984
Bulgaria,5079.690680315017
Burkina Faso,79.68983767892
Burundi,374.91278126806003
Cambodia,732.64198645106
Cameroon,709145.9106023046
Canada,42958.28026332975
Cape Verde,1581.4597914376
Central African Republic,23509.60319640478
Chad,863.94066176194
Chile,2522.1648841758597
China,14527963.978633713
Colombia,2237.4683679147097
"Congo, Dem. Rep.",26018.876791048766
Costa Rica,30.72132
Cote d'Ivoire,87171.99765796616
Croatia,238.88416851414638
Cuba,105.12451175478
Cyprus,398.6521709828
Czech Republic,9098.893255492754
Denmark,32052.884490173976
Djibouti,174.816428654
Dominican Republic,531.219742013132
Ecuador,2239.12017563444
"Egypt, Arab Rep.",69693.64159333971
Equatorial Guinea,14011.528055111423
Estonia,16184.99662537912
Ethiopia(excludes Eritrea),360.70336518678
Fiji,511.72974125588
Finland,4928.5651525680805
France,1717633.2672297072
Gabon,579477.4817425132
"Gambia, The",1277.5515110995002
Georgia,117.41157366512
Germany,157652.51638257998
Ghana,180712.25522200274
Greece,15587.547676392162
Guatemala,115.61893685439999
Guinea,1298.4723391760401
Haiti,66.00195013944001
"Hong Kong, China",24490.744343935377
Hungary,523.24712998908
India,3200679.969554878
Indonesia,281975.0225163917
"Iran, Islamic Rep.",39.5784813648
Iraq,213.73196612082
Ireland,40136.16153872904
Israel,258536.30655683635
Italy,743371.7732627527
Jamaica,1.03428444
Japan,8782.221510635032
Jordan,244.74660304373998
Kazakhstan,111.88072738177999
Kenya,11060.21970638242
"Korea, Dem. Rep.",63.49614007254
"Korea, Rep.",38928.306427605654
Kuwait,1080.691023856556
Lao PDR,73.44757096138
Latvia,42716.38398681334
Lebanon,28812.496343650993
Liberia,2443.0744245703604
Libya,0.59148098744
Lithuania,3389.8291768469576
Luxembourg,6860.04834309032
Madagascar,198.91282570824
Malaysia,349656.7994152802
Mali,1311.6357233259
Malta,1212.3203093834
Mauritania,79378.68063574583
Mauritius,10864.654829367832
Mexico,15891.631430817035
Montenegro,79.07416535872
Morocco,53836.40104648583
Mozambique,11368.41320492948
Myanmar,1723.3542861311
Namibia,513264.33593506215
Netherlands,1054157.5953916123
New Zealand,6514.809177080831
Niger,3021.0282481766803
Nigeria,167471.86291953071
Norway,128071.1174796468
Oman,5472.2379860936
"Other Asia, nes",13976.148018768017
Pakistan,12028.452942662181
Panama,7194.98429841128
Papua New Guinea,1116.772754332532
Paraguay,7690.68073411287
Peru,1751.05212646154
Philippines,213.54364272248
Poland,55355.77941062603
Portugal,288251.4237575765
Qatar,3042.13485319548
Romania,8763.930816892022
Russian Federation,152580.94816046284
Rwanda,162.23018887557998
Sao Tome and Principe,12117.2152013528
Saudi Arabia,7837.304739837472
Senegal,178740.07046080183
"Serbia, FR(Serbia/Montenegro)",343.8174309038
Seychelles,63.903385986635996
Sierra Leone,8124.29122646596
Singapore,212383.8721703805
Slovak Republic,71.00929318280001
Slovenia,9220.62824413976
Solomon Islands,12.492961317199999
South Africa,167728.25173605836
Spain,746868.7061603798
Sri Lanka,177.42683969528
St. Vincent and the Grenadines,73.1603146722
Swaziland,35.45973543504
Sweden,5733.9935378152
Switzerland,11335.5551795752
Syrian Arab Republic,165.630818488772
Tanzania,4777.1054643641
Thailand,129545.97622788524
Togo,263076.74256694753
Trinidad and Tobago,3453.76530554818
Tunisia,29541.20471653006
Turkey,205420.6729940065
Turkmenistan,13.92503906248
Turks and Caicos Isl.,5445.017306728222
Uganda,1301.2978284719
Ukraine,32537.88584826332
United Arab Emirates,348253.53074128326
United Kingdom,420328.7705476518
United States,1214419.594754998
Unspecified,52667.24665923882
Uruguay,15984.968025222839
Venezuela,81.9449993229
Vietnam,89252.34116446991
Zambia,179.79043565168
