Partner,Value
Afghanistan,246.20793
Albania,39591.48081
Algeria,103687.64877999999
American Samoa,24.94988
Andorra,2374.8761700000005
Angola,10259.39873
Anguila,100.38185
Antigua and Barbuda,5222.03428
Argentina,5605359.64607
Armenia,2288.1345300000003
Aruba,186725.44353000002
Australia,509878.59598
Austria,717662.96531
Azerbaijan,1673.34279
"Bahamas, The",1002338.18946
Bahrain,67926.75799
Bangladesh,432926.58181
Barbados,25193.44579
Belarus,196600.23586
Belgium,3214896.6650900003
Belize,9213.703089999999
Benin,1103.3533
Bermuda,1261.8799099999999
Bhutan,97.32964
Bolivia,2339979.5091000004
Bonaire,462566.32252
Bosnia and Herzegovina,8696.71148
Botswana,149.44708
Brazil,21037141.410740003
British Indian Ocean Ter.,44.98335
British Virgin Islands,6571.42249
Brunei,1183.27377
Bulgaria,94940.89985999999
Burkina Faso,429.10206
Cambodia,132253.24345
Cameroon,5063.43755
Canada,5684964.87636
Cape Verde,958.7809
Cayman Islands,10727.61597
Central African Republic,116.23222999999999
Chad,24.297729999999998
Chile,6842608.06807
China,69614290.62478
Comoros,1061.52666
"Congo, Dem. Rep.",15337.6544
"Congo, Rep.",16053.29883
Cook Islands,351.08292
Costa Rica,1421451.94092
Cote d'Ivoire,555376.38934
Croatia,28487.03208
Cuba,189746.18190999998
Curaçao,121555.6099
Cyprus,15242.04228
Czech Republic,437498.4168
Denmark,705809.58419
Djibouti,10135.0068
Dominica,3722.18174
Dominican Republic,1758997.30804
Ecuador,12295403.717769999
"Egypt, Arab Rep.",127553.72304
El Salvador,531696.8825399999
Equatorial Guinea,352.53349000000003
Eritrea,6.79205
Estonia,27484.66696
Ethiopia(excludes Eritrea),3387.8772900000004
Fiji,777.42492
Finland,795541.70399
Fr. So. Ant. Tr,1.2694
France,7495323.436960001
Free Zones,4792780.3359
French Polynesia,178.37980000000002
Gabon,90819.12024999999
"Gambia, The",122.13495
Georgia,18946.82618
Germany,12424430.852750001
Ghana,14393.49508
Gibraltar,46.78266000000001
Greece,153175.72649
Greenland,56.419959999999996
Grenada,3189.00131
Guam,338.93758
Guatemala,1880944.4505800002
Guinea,18387.93719
Guinea-Bissau,679.24562
Guyana,61634.18488
Haiti,199378.41752999998
Holy See,86.87604999999999
Honduras,510182.69768
"Hong Kong, China",809495.63307
Hungary,676652.7355600001
Iceland,6273.29516
India,6372414.73667
Indonesia,937462.8781300001
"Iran, Islamic Rep.",4180.93876
Iraq,203996.69118000002
Ireland,1066447.8417800001
Israel,1883264.6627099998
Italy,6494659.973920001
Jamaica,343663.38275
Japan,7659229.22714
Jordan,73205.29353
Kazakhstan,32783.53899
Kenya,12967.688600000001
"Korea, Dem. Rep.",16212.29642
"Korea, Rep.",5192996.16282
Kuwait,13927.02231
Kyrgyz Republic,258.30306
Lao PDR,15254.827379999999
Latvia,31344.86174
Lebanon,100733.45214000001
Lesotho,106.66745
Liberia,2549.58291
Libya,8787.35986
Lithuania,69472.45933
Luxembourg,67945.50097
Macao,663.06699
"Macedonia, FYR",1098.23334
Madagascar,4798.008449999999
Malawi,111.63906
Malaysia,1203184.22585
Maldives,285.4002
Mali,2442.57686
Malta,13936.098450000001
Mauritania,27271.28328
Mauritius,4022.92197
Mexico,24471342.088919997
"Micronesia, Fed. Sts.",32.4493
Moldova,5865.962579999999
Mongolia,59.55184
Montenegro,3134.47379
Montserrat,33.119
Morocco,234431.06285000002
Mozambique,10925.76579
Myanmar,58873.05395
Namibia,5.07824
Nauru,7.2143
Nepal,125.86491
Netherlands,6115143.3402700005
New Caledonia,224.69215000000003
New Zealand,109584.98793
Nicaragua,166368.11832
Niger,496.15047999999996
Nigeria,35253.80263
Niue,8.08372
Northern Mariana Islands,18.7579
Norway,324258.40508
Occ.Pal.Terr,1221.48092
Oman,111215.99686
"Other Asia, nes",2180082.76813
Pakistan,250361.40394000002
Palau,193.23725
Panama,9826493.47119
Papua New Guinea,377.32076
Paraguay,201494.29347
Peru,8341447.809219999
Philippines,282248.71661
Pitcairn,267.06322
Poland,1062001.86288
Portugal,1043424.5497
Qatar,16860.70253
Romania,896488.4867199999
Russian Federation,1503772.4646400001
Rwanda,111.48656
Saint Helena,6.63555
San Marino,95.08492
Saudi Arabia,243608.34096
Senegal,37258.202000000005
"Serbia, FR(Serbia/Montenegro)",2723.07888
Seychelles,9826.45332
Sierra Leone,4329.1584299999995
Singapore,1610106.00233
Slovak Republic,469553.15762
Slovenia,214677.55912
Solomon Islands,204.562
Somalia,951.358
South Africa,188989.53637999998
Spain,6732423.25529
Sri Lanka,88978.48874
St. Kitts and Nevis,1875.5547900000001
St. Lucia,3473733.7392300004
St. Vincent and the Grenadines,1587.32428
Sudan,1138.66004
Suriname,45340.163089999995
Swaziland,546.79311
Sweden,843054.9248899999
Switzerland,2707549.99719
Syrian Arab Republic,5248.30409
Tajikistan,311.38677
Tanzania,3307.63948
Thailand,1493311.6851400002
Togo,665.3688
Tokelau,486.54627
Trinidad and Tobago,715452.74544
Tunisia,35481.87718
Turkey,6209845.981149999
Turkmenistan,755.39705
Turks and Caicos Isl.,2466.34569
Uganda,2262.6133099999997
Ukraine,294804.95272
United Arab Emirates,823796.4271399999
United Kingdom,4613458.062829999
United States,108640880.47824
Unspecified,23891.44647
Uruguay,538624.73439
Uzbekistan,648.2801000000001
Venezuela,1091060.39468
Vietnam,3224429.7354500005
Yemen,5207.629639999999
Zambia,1392.9479500000002
Zimbabwe,236.39434000000003
