Partner,Value
Afghanistan,2.47105823464
Andorra,58.9504799194
Antigua and Barbuda,7.6004111579
Argentina,4580.47452399524
Armenia,59.64221996544
Australia,23.635069305
Austria,2210.993113661456
Azerbaijan,154.44284506
"Bahamas, The",55.63265895936
Bangladesh,573.367388496904
Belarus,138.3209047968
Belgium,6202.506956966962
Benin,891.2512
Bhutan,118.138851072
Brazil,3791.1172224786724
Brunei,3.0040874004
Bulgaria,840.053555579144
Cambodia,105.72755927472
Cameroon,0.39806193160000003
Canada,2044.3562976266
China,79394.75527324877
Colombia,303.6925173138464
"Congo, Rep.",5.593056
Costa Rica,15.8795354179
Cote d'Ivoire,0.68208
Cyprus,121.06547260992
Denmark,1931.47363054984
Dominican Republic,472.9088
Ecuador,0.1819088
"Egypt, Arab Rep.",6851.037681576607
Ethiopia(excludes Eritrea),15.477735313300801
Finland,75.70789583679999
France,241148.92569805888
Gabon,0.59350474632
Germany,23255.361777244518
Greece,2258.55428193424
Honduras,131.563720512
"Hong Kong, China",472.55511659951424
Iceland,295.2230658784
India,64296.59226915956
Indonesia,9113.552154396326
Ireland,254.3565263232
Italy,3481.578998289901
Japan,10983.411139595453
Jordan,291.30057551944
Kenya,2301.5260568700523
"Korea, Dem. Rep.",363.8176
"Korea, Rep.",1077.2857426560001
Kuwait,308.02298308828
Latvia,129.14048
Lebanon,12.50623
Lithuania,46.22182548192
Luxembourg,145.52704
Madagascar,34545.32092346596
Malaysia,13002.525860466629
Malta,0.4510428696
Mauritania,125.517072
Mauritius,22967.43249321332
Mexico,393.03560431472
Morocco,7085.72298109884
Mozambique,1433.70751295616
Myanmar,1.82080703816
Namibia,5.9006667
Netherlands,12525.881370333622
New Zealand,1211.81554072464
Niger,134.0696961408
Northern Mariana Islands,0.89135312
Oman,3950.1071946017364
"Other Asia, nes",3.831908872
Pakistan,123090.1687450507
Philippines,128.2979231949
Poland,3794.418841367623
Portugal,762.3827850238316
Qatar,6.26228092966
Romania,504.7703008305244
Saudi Arabia,15318.389574445782
Senegal,94.4990268528768
Seychelles,131.50641585608
Singapore,6508.648746140378
Slovak Republic,46.949225110024
Slovenia,92.892041603136
South Africa,17165.743523201854
Spain,22792.165421741123
St. Vincent and the Grenadines,2.046474
Sudan,600.2304
Swaziland,696.2632949860658
Sweden,50.764580281224
Switzerland,180.7745076776
Tanzania,14141.668193568636
Thailand,8037.690214851211
Togo,1.760251304035
Tokelau,1.4374092297
Tunisia,1322.433669881528
Turkey,35438.10162665027
Turkmenistan,0.4588194708
Turks and Caicos Isl.,405.2215432865208
Uganda,250.5682053668
Ukraine,2437.6184432776495
United Arab Emirates,196078.71727458006
United Kingdom,6314.984186319823
United States,2277.590953773586
Unspecified,5050.5237754
Vietnam,22839.078921248518
Zimbabwe,17.54631156096
