Partner,Value
Algeria,406.26904
Angola,421.62909
Argentina,26730.445069999998
Australia,107.67308
Austria,1314.34076
Bangladesh,679.69174
Belgium,110655.49885999999
Brazil,95678.98608
Bulgaria,96.2849
Cameroon,1546.62736
Canada,4537.91024
Chile,9.6658
China,184017.57368
Colombia,188.93684
"Congo, Dem. Rep.",1370.70172
"Congo, Rep.",115.8206
Cote d'Ivoire,2008.35356
Cuba,891.82373
Curaçao,1374.69572
Cyprus,163.15732
Czech Republic,128.61557
Denmark,2935.47637
"Egypt, Arab Rep.",5856.6858
Equatorial Guinea,5680.24724
Finland,1081.84488
France,70458.81316999998
"Gambia, The",402.69716
Germany,68235.38693000001
Ghana,2294.3621599999997
Greece,999.53988
Guinea,56.55892
Guinea-Bissau,1437.00367
Hungary,107.64181
Iceland,18.61211
India,12929.94894
Indonesia,2923.56235
Ireland,2832.44778
Israel,16.1571
Italy,125621.51907
Japan,14919.98102
Kenya,446.4522
"Korea, Dem. Rep.",659.87517
"Korea, Rep.",16224.27235
Latvia,14.963999999999999
Lebanon,219.17666
Lithuania,81.54414
Luxembourg,1619.81155
Macao,6.7412
Malaysia,2243.33181
Malta,1537.92168
Mauritania,6.9917
Mexico,30.64836
Montenegro,149.46083
Morocco,19372.35597
Netherlands,414219.0452199999
Nigeria,33.18006
Norway,888.51511
"Other Asia, nes",1274.22786
Paraguay,261.87248
Peru,2336.64164
Poland,4553.64128
Portugal,1584958.2990800003
Qatar,65.63015
Romania,1639.56473
Russian Federation,5203.0303300000005
Sao Tome and Principe,28.18355
Saudi Arabia,46.82064
Senegal,22848.61971
"Serbia, FR(Serbia/Montenegro)",120.3904
Singapore,3289.34636
Slovak Republic,49.48041
Slovenia,526.0696399999999
South Africa,2236.56939
Spain,526034.49235
Sri Lanka,586.93368
Swaziland,181.8048
Sweden,9343.79504
Switzerland,15238.160170000001
Thailand,33259.56029
Togo,2469.47795
Tunisia,79.10432
Turkey,56249.17269
Turks and Caicos Isl.,2631.82575
Uganda,1029.68076
Ukraine,514.5694100000001
United Arab Emirates,5917.61708
United Kingdom,4692.4573
United States,66479.70312999997
Unspecified,77158.96855
Uruguay,5188.17496
Vietnam,11693.4971
