Partner,Value
Afghanistan,45.7162
Albania,4851.43204
Algeria,20731.97367
American Samoa,194.95816000000002
Andorra,28.346259999999997
Angola,292.2034
Anguila,76.83693000000001
Antigua and Barbuda,2583.0427899999995
Argentina,657344.34572
Armenia,71.95781
Aruba,102843.84191
Australia,142032.35981
Austria,118726.25461999999
Azerbaijan,4.6374
"Bahamas, The",56678.63245999999
Bahrain,250.75152000000003
Bangladesh,88614.29175
Barbados,38181.05377
Belarus,30887.31693
Belgium,3155716.97781
Belize,35159.97586
Benin,21.707700000000003
Bermuda,5030.346949999999
Bhutan,78.70255
Bolivia,9607.98371
Bosnia and Herzegovina,491.02526
Botswana,104.91315
Bouvet Island,10.82274
Brazil,1634884.7389600002
British Indian Ocean Ter.,1.44903
British Virgin Islands,2724.69835
Brunei,41.69428
Bulgaria,10633.04284
Burkina Faso,1439.0634
Burundi,3.63365
Cambodia,32484.92703
Cameroon,468.71173
Canada,1126685.7195300001
Cape Verde,3.4501999999999997
Cayman Islands,22627.01203
Central African Republic,18.9552
Chad,0.0607
Chile,959224.7881
China,10247611.57255
Cocos (Keeling) Islands,16.80617
Colombia,1755244.73103
Comoros,52.8947
"Congo, Dem. Rep.",120.56609999999999
"Congo, Rep.",212.21052
Cook Islands,0.10564
Cote d'Ivoire,1715.9140099999997
Croatia,7069.19452
Cuba,170412.11042
Curaçao,69524.91541999999
Cyprus,182.67532
Czech Republic,47651.74222
Denmark,210896.55886000002
Dominica,4689.01358
Dominican Republic,1162444.03987
East Timor,3.869
Ecuador,289748.73244
"Egypt, Arab Rep.",10298.081900000001
El Salvador,2311790.1106
Estonia,12755.15217
Ethiopia(excludes Eritrea),463.64766
Falkland Island,269.77128
Fiji,349.06320000000005
Finland,127883.84193999998
France,785650.4650900001
French Polynesia,1007.9509999999999
Gabon,5.68
"Gambia, The",153.32855
Georgia,1051.08565
Germany,2554349.401110001
Ghana,2818.90639
Gibraltar,24.27627
Greece,63014.34253
Grenada,9272.05512
Guam,111.67683
Guatemala,4292068.222960001
Guinea-Bissau,69.08855
Guyana,50004.47451
Haiti,67799.6431
Honduras,2223322.15351
"Hong Kong, China",1473406.3809800001
Hungary,212153.44801
Iceland,1441.97105
India,992213.45127
Indonesia,151970.27836
"Iran, Islamic Rep.",856.26827
Iraq,11504.89026
Ireland,629003.44109
Israel,256658.94104
Italy,1565003.0717099998
Jamaica,274792.42496
Japan,2682298.27406
Jordan,3124.20364
Kazakhstan,43.88314
Kenya,3267.97702
Kiribati,0.037200000000000004
"Korea, Dem. Rep.",36901.46993
"Korea, Rep.",923218.23189
Kuwait,82.05028
Kyrgyz Republic,0.0719
Lao PDR,233.92205
Latvia,8055.93185
Lebanon,4419.78732
Lesotho,57.03398
Liberia,7.73392
Libya,6452.7671199999995
Lithuania,329290.08634000004
Luxembourg,6282.7022400000005
Macao,69.55176
Madagascar,425.67115
Malawi,161.85186
Malaysia,389499.02655999997
Maldives,3323.00108
Mali,1.2235
Malta,2696.3505299999997
Marshall Islands,1.28908
Mauritania,37.6417
Mauritius,510.23352
Mexico,5883278.8791000005
"Micronesia, Fed. Sts.",0.58385
Moldova,79.42245
Montenegro,9432.34092
Morocco,37414.285449999996
Mozambique,467.40476
Myanmar,5617.40179
Namibia,46.37414
Nauru,2.5730999999999997
Nepal,64.6775
Netherlands,3918580.0744
New Caledonia,248.43381
New Zealand,42525.27857
Nicaragua,2566448.09549
Nigeria,2179.2744900000002
Norfolk Island,11.7284
Northern Mariana Islands,56.42265
Norway,140430.31816
Occ.Pal.Terr,237.78394999999998
Oman,13926.89728
"Other Asia, nes",667275.2449299999
Pakistan,37945.42558
Panama,3512384.1125100004
Papua New Guinea,488.99504
Paraguay,46485.92798
Peru,342488.46137000003
Philippines,70446.66574
Poland,102024.46529
Portugal,265913.78135999996
Qatar,39153.566640000005
Romania,19282.6627
Russian Federation,430203.52634000004
Rwanda,3.5999999999999996
Saint Maarten (Dutch part),947.08376
Samoa,40.18284
Saudi Arabia,49098.08997
Senegal,1368.77406
"Serbia, FR(Serbia/Montenegro)",5092.83021
Seychelles,61.18636
Sierra Leone,108.90125
Singapore,498087.9971799999
Slovak Republic,12766.65415
Slovenia,43892.78905
Somalia,13.76705
South Africa,42533.56844
Spain,1869768.9947099998
Sri Lanka,23883.35835
St. Kitts and Nevis,702.41142
St. Lucia,8580.57032
St. Vincent and the Grenadines,1444.26052
Sudan,42.7
Suriname,31073.46918
Swaziland,40.45036
Sweden,286403.34927999997
Switzerland,791571.95434
Syrian Arab Republic,87.46499
Tajikistan,44.69224
Tanzania,1025.9530300000001
Thailand,570683.28805
Togo,227.0588
Tokelau,5.81565
Trinidad and Tobago,290871.90347
Tunisia,21586.26164
Turkey,450965.05621999997
Turkmenistan,4.2169799999999995
Turks and Caicos Isl.,11.8838
Uganda,142.35745
Ukraine,341885.15721
United Arab Emirates,48495.88065
United Kingdom,1485778.7866500001
United States,46790752.045880005
Unspecified,2159331.77653
Uruguay,183417.31132
Uzbekistan,20.154999999999998
Vanuatu,0.044700000000000004
Venezuela,105776.6804
Vietnam,438983.17346
Wallis and Futura Isl.,1.7786
Western Sahara,245.42352
Zambia,1379.37523
Zimbabwe,11.84525
