Partner,Value
Afghanistan,4480.692655040009
Albania,13416.12773143476
Algeria,123955.42202119487
American Samoa,71.76090332568
Andorra,27.882635760600003
Angola,708.55469355174
Antigua and Barbuda,101730.1206220034
Argentina,359546.62264837284
Armenia,3303.35246645772
Aruba,1643.4090157606802
Australia,118324.87623154718
Austria,312185.2342761002
Azerbaijan,188350.91121306995
"Bahamas, The",303359.30480444606
Bahrain,24635.89724746524
Bangladesh,29126.064150611943
Barbados,3016.7980871386203
Belarus,2371.06482089475
Belgium,1136193.3920500102
Belize,19987.53439452285
Benin,463.39453054383
Bermuda,4012.54661809572
Bolivia,45.192592886999996
Bonaire,109621.7107242464
Bosnia and Herzegovina,15058.10594100519
Botswana,13281.4302069153
Brazil,170229.3475492891
British Virgin Islands,58027.17760253354
Brunei,553.28293421736
Bulgaria,517841.96367411426
Bunkers,1124468.2479927565
Burkina Faso,593.15704909068
Burundi,1483.49564260239
Cambodia,11025.94312695249
Cameroon,5538.067174261319
Canada,89013.13002754144
Cape Verde,318.05587130484
Cayman Islands,1.57557302745
Central African Republic,262.42982805675
Chad,308.15810954253
Chile,18075.98444541327
China,2309687.205401047
Cocos (Keeling) Islands,10.52422233876
Colombia,11614.70975350227
Comoros,217.35506510496
"Congo, Dem. Rep.",8775.78687569496
"Congo, Rep.",242.69992346325
Costa Rica,229.57347628929
Cote d'Ivoire,6284.6525002196995
Croatia,59306.17667857002
Cuba,195873.17164524028
Curaçao,1945.53215255103
Czech Republic,355095.56601742393
Denmark,679438.7747297023
Djibouti,1197.13047889512
Dominica,533.9326749178799
Dominican Republic,2598.1022566314605
East Timor,888.52450390428
Ecuador,17955.41687660481
"Egypt, Arab Rep.",223993.83444626434
El Salvador,1260.7679128814702
Equatorial Guinea,42.7703596206
Eritrea,836.0853964953001
Estonia,79517.42847870826
Ethiopia(excludes Eritrea),38030.369332778275
Falkland Island,1000.61067774672
Fiji,504.99862970283
Finland,221180.9295754272
France,1472648.42330766
French Polynesia,402.54376955556
Gabon,214.79618149407003
"Gambia, The",718.07890165431
Georgia,22079.30246413278
Germany,2867346.208981221
Ghana,3355.09099582296
Gibraltar,33.7735424313
Greece,9186550.523044936
Greenland,203.47320139905003
Grenada,284.48008309578
Guatemala,110.58488794977
Guinea,3608.2815378435
Guyana,46.2691410054
Haiti,575.99200034589
Honduras,1645.15142083665
"Hong Kong, China",644105.3610150032
