Partner,Value
Afghanistan,156400.353
Albania,533692.383
Algeria,591224.2660000001
American Samoa,171.039
Andorra,12330.066
Angola,78958.064
Anguila,292.259
Antarctica,8.966999999999999
Antigua and Barbuda,516.449
Argentina,588775.077
Armenia,288095.48000000004
Aruba,748.9409999999999
Australia,2762279.469
Austria,61066221.98000001
Azerbaijan,4781262.531
BLM,1587.97
"Bahamas, The",2204.48
Bahrain,189532.088
Bangladesh,3168971.912
Barbados,4200.226000000001
Belarus,2189982.615
Belgium,32907394.507
Belize,5222.627
Benin,9995.394
Bermuda,769.096
Bhutan,31.424
Bolivia,45506.073000000004
Bonaire,0.135
Bosnia and Herzegovina,1410363.156
Botswana,4255.764
Bouvet Island,36.339999999999996
Brazil,2836887.702
British Indian Ocean Ter.,325.572
British Virgin Islands,9866.507
Brunei,8471.238
Bulgaria,8627822.941
Bunkers,254569.758
Burkina Faso,31907.684999999998
Burundi,4678.159
Cambodia,1169032.7899999998
Cameroon,110916.946
Canada,3267179.738
Cape Verde,4177.855
Cayman Islands,915.771
Central African Republic,814.061
Chad,18437.555
Chile,530352.3459999999
China,149452500.277
Christmas Island,45.02
Cocos (Keeling) Islands,79.047
Colombia,539403.689
Comoros,405.762
"Congo, Dem. Rep.",30172.541999999998
"Congo, Rep.",49840.683999999994
Cook Islands,918.059
Costa Rica,209098.11
Cote d'Ivoire,401088.079
Croatia,4219121.0
Cuba,309956.724
Curaçao,1680.23
Cyprus,727160.559
Denmark,15300090.585000003
Djibouti,2044.014
Dominica,3385.519
Dominican Republic,103940.947
East Timor,332.40599999999995
Ecuador,320474.694
"Egypt, Arab Rep.",2452604.953
El Salvador,86114.851
Equatorial Guinea,19405.671000000002
Eritrea,89.02300000000001
Estonia,2434789.215
Ethiopia(excludes Eritrea),108473.26800000001
Faeroe Islands,18839.093999999997
Falkland Island,24781.917999999998
Fiji,2265.173
Finland,7301832.798
Fr. So. Ant. Tr,12474.740999999998
France,74979011.907
French Polynesia,6670.1810000000005
Gabon,7824.594999999999
"Gambia, The",2680.3559999999998
Georgia,589682.961
Germany,502498130.4039999
Ghana,99935.54499999998
Gibraltar,1742.258
Greece,3849113.226
Greenland,2776.402
Grenada,401.92499999999995
Guam,89.268
Guatemala,67038.704
Guinea,5106.768999999999
Guinea-Bissau,165.18
Guyana,2942.25
Haiti,443.245
Heard Island and McDonald Isla,0.21999999999999997
Holy See,74.271
Honduras,39070.791
"Hong Kong, China",2586344.596
Hungary,50485575.895
Iceland,463242.25599999994
India,7409547.517000001
Indonesia,2629605.429
"Iran, Islamic Rep.",186251.29600000003
Iraq,264832.141
Ireland,8993494.368
Israel,5782860.776
Italy,69064277.942
Jamaica,6643.9890000000005
Japan,18772059.481
Jordan,578202.514
Kazakhstan,4006787.696
Kenya,114359.8
Kiribati,5.2700000000000005
"Korea, Dem. Rep.",334.203
"Korea, Rep.",20353292.253
Kuwait,299397.357
Kyrgyz Republic,37587.10599999999
Lao PDR,132296.58299999998
Latvia,1913053.842
Lebanon,237652.04700000002
Lesotho,546.132
Liberia,104679.193
Libya,226609.41700000002
Lithuania,5448934.966
Luxembourg,1927154.668
Macao,14458.259
"Macedonia, FYR",2376775.042
Madagascar,35315.018
Malawi,21106.499
Malaysia,9047710.895
Maldives,37104.619
Mali,48152.772000000004
Malta,381967.458
Marshall Islands,0.16
Mauritania,5466.155
Mauritius,106954.705
Mexico,8295122.83
"Micronesia, Fed. Sts.",33.214999999999996
Moldova,832648.209
Mongolia,92599.206
Montenegro,217507.685
Montserrat,61.29
Morocco,3065825.692
Mozambique,164341.081
Myanmar,555370.337
Namibia,43637.16
Nauru,2674.526
Nepal,27155.651
Netherlands,60102848.177
New Caledonia,24852.575999999997
New Zealand,693827.784
Nicaragua,31613.867
Niger,12588.925000000001
Nigeria,890172.814
Niue,599.755
Norfolk Island,89.734
Northern Mariana Islands,182.877
Norway,5218274.516000001
Occ.Pal.Terr,69189.227
Oman,344465.43
"Other Asia, nes",6732259.089999999
Pakistan,1374236.283
Palau,142.645
Panama,84812.169
Papua New Guinea,9965.76
Paraguay,38633.41
Peru,345481.23199999996
Philippines,2790644.0020000003
Pitcairn,664.977
Poland,116064653.475
