Partner,Value
Afghanistan,411788.7911507141
Albania,2083630.9321012327
Algeria,13417858.92495636
American Samoa,619.89848125041
Andorra,231970.46512448284
Angola,677470.4941569819
Anguila,2300.12783862804
Antarctica,36229.81725256365
Antigua and Barbuda,77668.75041172377
Argentina,18061488.393428292
Armenia,1497011.3971090047
Aruba,46006.84262868908
Australia,61525116.24737033
Austria,515842661.66400397
Azerbaijan,8503380.124119747
BLM,18089.97721075101
"Bahamas, The",154409.80147229636
Bahrain,2445726.114000996
Bangladesh,37491811.12194672
Barbados,169339.02281100192
Belarus,10424512.980141541
Belgium,432739838.8791394
Belize,40826.87706905253
Benin,206317.145539092
Bermuda,673263.9709916932
Bhutan,32246.51264517432
Bolivia,1422336.3830812569
Bonaire,8733.51059438946
Bosnia and Herzegovina,8430887.853493817
Botswana,374605.380550007
Brazil,86110820.40867643
British Indian Ocean Ter.,286.64176371369
British Virgin Islands,2501874.065855738
Brunei,359352.8371715861
Bulgaria,42931748.96864036
Bunkers,9420658.313934665
Burkina Faso,588033.3437073035
Burundi,116510.34022120328
Cambodia,9990032.87945311
Cameroon,912526.6207802675
Canada,84686747.11513793
Cape Verde,72328.62244577677
Cayman Islands,408809.76441561163
Central African Republic,55532.52781415122
Chad,353351.90166425204
Chile,20213435.93360887
China,1095541246.410653
Christmas Island,796.04721419529
Cocos (Keeling) Islands,785.69254117785
Colombia,12145702.891611015
Comoros,36482.49239937906
"Congo, Dem. Rep.",691301.9520290936
"Congo, Rep.",280700.68713033845
Cook Islands,4901.92233621912
Costa Rica,3894254.53499039
Cote d'Ivoire,3900920.616800545
Croatia,27554504.516401358
Cuba,1265996.4644403616
Curaçao,109773.647484937
Cyprus,3825052.4394966974
Czech Republic,466118540.30736244
Denmark,150926196.0739857
Djibouti,92459.19598336794
Dominica,8703.30676285185
Dominican Republic,2434204.905589264
East Timor,3121.05728597484
Ecuador,4338315.491821314
"Egypt, Arab Rep.",25743620.19352337
El Salvador,1813671.3628329705
Equatorial Guinea,505121.6841968529
Eritrea,67849.24017032863
Estonia,13117766.585435543
Ethiopia(excludes Eritrea),2314652.4196073306
Faeroe Islands,782366.5012914031
Falkland Island,25808.31578630244
Fiji,53092.4771858796
Finland,98776679.74892248
Fr. So. Ant. Tr,17269.06381132542
France,877070748.846643
French Polynesia,141653.7055042286
Gabon,327213.7123629736
"Gambia, The",112678.78834680447
Georgia,2471104.820415103
Ghana,2421198.9877146967
Gibraltar,214007.78529088257
Greece,40821795.319766134
Greenland,115329.35908796867
Grenada,24498.822577752988
Guam,31538.29477968636
Guatemala,2043337.4157078327
Guinea,1294528.782110646
Guinea-Bissau,14947.181417069221
Guyana,98814.90911438868
Haiti,154979.22086222802
Heard Island and McDonald Isla,151.68978378945002
Holy See,18046.17790933233
Honduras,1952570.2612756528
"Hong Kong, China",37633219.47857537
Hungary,288942621.4946877
Iceland,4902525.323470401
India,112012234.35599005
Indonesia,32068835.297764726
"Iran, Islamic Rep.",8821415.698499285
Iraq,8408620.900534745
Ireland,140091152.74309003
Israel,35523172.5345264
Italy,622826515.0749114
Jamaica,1088347.6917870357
Japan,239011928.86744368
Jordan,4302119.9282033015
Kazakhstan,22199878.347582527
Kenya,2458864.849678199
Kiribati,438.86307316368
"Korea, Dem. Rep.",7397.12592853149
"Korea, Rep.",156831453.51251674
Kuwait,7975517.464493938
Kyrgyz Republic,383142.3660065455
Lao PDR,686760.0911988837
Latvia,12557339.183942191
Lebanon,3575306.9760023267
Lesotho,68884.68801564464
Liberia,1529280.6760696983
Libya,19840417.91982075
Lithuania,27429632.466337726
Luxembourg,42560381.35366891
Macao,954851.5163440442
"Macedonia, FYR",24199457.396489948
Madagascar,1204533.464661617
Malawi,545676.6051693029
Malaysia,76478306.83208518
Maldives,324943.11299174285
Mali,496750.7925626537
Malta,6704528.268108203
