Partner,Value
Afghanistan,114164.28372
Albania,91648.9689616875
Algeria,238166.7547365625
American Samoa,1346.32539725
Andorra,5136.1194081875
Angola,62800.485373687494
Anguila,690.3846698125001
Antarctica,29.9875
Antigua and Barbuda,8232.5234020625
Argentina,1570387.2614740627
Armenia,41745.006496875
Aruba,3669.817172125
Australia,4652973.248201998
Austria,7060267.036666312
Azerbaijan,68581.91853906249
BLM,2680.3512714374997
"Bahamas, The",101318.6725390625
Bahrain,152397.8470780625
Bangladesh,4037300.369550311
Barbados,15986.9031636875
Belarus,325580.391455625
Belgium,22208885.432719886
Belize,13768.4378095625
Benin,18108.185477625
Bermuda,42794.722832750005
Bhutan,2604.0192896875
Bolivia,46020.638490937505
Bonaire,265.9035106875
Bosnia and Herzegovina,143134.8951501875
Botswana,2713.290890875
Brazil,2567885.11327025
British Indian Ocean Ter.,738.43319125
British Virgin Islands,3154.30116
Brunei,13325.220010625
Bulgaria,1194253.5795197506
Burkina Faso,48854.1483696875
Burundi,19062.5030295625
Cambodia,1700606.2763343125
Cameroon,28012.218577
Canada,3367869.568819688
Cape Verde,17037.388828875
Cayman Islands,5236.324888499999
Central African Republic,30454.601943062502
Chad,15184.7558310625
Chile,1439189.8161131248
China,49275247.2048016
Colombia,289195.5010960625
Comoros,3184.5084683749997
"Congo, Dem. Rep.",36682.806426125
"Congo, Rep.",37612.327764125
Cook Islands,94.79123718749999
Costa Rica,70811.0258571875
Cote d'Ivoire,48926.1891401875
Croatia,680789.0577008125
Cuba,76505.8191375625
Curaçao,13974.714775
Cyprus,831186.586942063
Czech Republic,10313963.937111069
Djibouti,33604.9234619375
Dominica,2536.7630248125
Dominican Republic,325252.893769875
East Timor,2855.9232859375
Ecuador,292271.083119375
"Egypt, Arab Rep.",931222.9930815
El Salvador,55890.01938474999
Equatorial Guinea,4661.536783375
Eritrea,2795.229935375
Estonia,2883029.537158251
Ethiopia(excludes Eritrea),100200.663420375
Faeroe Islands,3625926.383226814
Falkland Island,116.047726625
Fiji,7636.405637999999
Finland,14109326.278943568
Fr. So. Ant. Tr,6026.66404325
France,28085087.29487812
French Polynesia,17413.611704
Gabon,48658.3821729375
"Gambia, The",16997.46017275
Georgia,49032.8906626875
Germany,161451140.53619725
Ghana,272793.51485575
Gibraltar,46815.347124312495
Greece,3012282.5591333113
Greenland,5050834.120186811
Grenada,6859.10085
Guam,14739.235591875002
Guatemala,72224.4254951875
Guinea,40571.3350305
Guinea-Bissau,2557.4921840624997
Guyana,16717.719080125
Haiti,7705.3185623125
Heard Island and McDonald Isla,82.221226875
Holy See,19.169509375
Honduras,51726.5147015
"Hong Kong, China",2527067.2256628145
Hungary,6167073.574241938
Iceland,2608586.977141065
India,5840103.506409502
Indonesia,1637029.3501124994
"Iran, Islamic Rep.",282132.763380125
Iraq,237335.87413112502
Ireland,7598928.349945875
Israel,1105605.860466
Italy,24587774.058702063
Jamaica,23349.676912500003
Japan,8781282.426458621
Jordan,249984.63551700002
Kazakhstan,152256.2724920625
Kenya,167637.529213625
Kiribati,4293.176330875
"Korea, Dem. Rep.",7.4596905
"Korea, Rep.",5973659.713943185
Kuwait,493940.70518349996
Kyrgyz Republic,25753.4864576875
Lao PDR,140761.46069343752
Latvia,3430459.4611270614
Lebanon,364800.108595
Lesotho,2137.8997371250002
Liberia,342310.6595548125
Libya,135635.1155609375
Lithuania,5254726.35022825
Luxembourg,1149138.028701751
Macao,11440.6053440625
"Macedonia, FYR",83712.3401688125
Madagascar,28659.959222562502
Malawi,25697.500245000003
Malaysia,2037312.4856501245
Maldives,21779.7312791875
Mali,50878.260837937494
Malta,463588.4402322501
Marshall Islands,1294871.1122221886
Mauritania,35468.11655787499
Mauritius,76196.068804
Mexico,2257325.0690778145
"Micronesia, Fed. Sts.",932.052582875
Moldova,71793.0700015625
Mongolia,15597.819549437501
Montenegro,16240.475814375
Montserrat,40.786748437499995
Morocco,832719.9527733123
Mozambique,18971.2873519375
Myanmar,799511.0103504994
Namibia,72709.5425788125
Nauru,73.4287419375
Nepal,38799.9564625625
Netherlands,58046912.97137217
New Caledonia,28190.4917155625
New Zealand,900964.5339781875
Nicaragua,31366.87042275
Niger,22536.833938249998
Nigeria,1231298.4895065022
Northern Mariana Islands,890.73730475
Norway,45039945.49784814
