Partner,Value
Afghanistan,624.1276481037137
Albania,3201.079755826354
Algeria,847.2517391586312
American Samoa,31.98134521484375
Andorra,386.82790486248786
Angola,50.07525593849489
Anguila,5722.6828094478515
Antarctica,304.49372111511246
Antigua and Barbuda,127988.39334551396
Argentina,891159.2643204066
Armenia,194.18467480767822
Aruba,78968.87092713895
Australia,106050.66154709605
Austria,117621.55884334815
BLM,1253.17744
"Bahamas, The",226083.99922790178
Bahrain,6542.382074371337
Bangladesh,53600.724513630405
Barbados,61107.15515061993
Belarus,2431.588790144651
Belgium,628564.6827652182
Belize,5068.297672146316
Benin,17.294531021118168
Bermuda,2094.572585830304
Bolivia,19601.005563300765
Bosnia and Herzegovina,623.7289916404723
Botswana,11.33835595703124
Bouvet Island,460.84990066223145
Brazil,3322046.8096198537
British Virgin Islands,151207.08444237785
Brunei,13.32197998046875
Bulgaria,23208.466209543818
Burundi,1.113632301330568
Cambodia,22386.375444968748
Cameroon,15857.665381416324
Canada,2262558.5803499916
Cape Verde,104.8740523313523
Cayman Islands,18257.69974384348
Central African Republic,9.393273545265215
Chad,496.4125182664394
Chile,371268.1420978579
China,17006036.733264636
Cocos (Keeling) Islands,150.21578359985347
Colombia,2219340.6979753347
Comoros,1367.2797208251952
"Congo, Dem. Rep.",4641.5242825870555
Costa Rica,1106181.7429469759
Cote d'Ivoire,11025.44767495269
Croatia,6925.572988058554
Cuba,246534.26516190037
Curaçao,63752.01321047857
Cyprus,2576.3076958168094
Czech Republic,46557.645728233176
Denmark,324154.64728677797
Djibouti,0.435472930908204
Dominica,21977.967533597453
Ecuador,426271.3754980882
"Egypt, Arab Rep.",43977.20091806352
El Salvador,599480.309969383
Eritrea,0.53971279144287
Estonia,9083.06056676878
Ethiopia(excludes Eritrea),1040.6554153477416
Falkland Island,24.719041778564453
Fiji,8704.74524533082
Finland,233623.45734281483
France,1035480.7447892051
French Polynesia,30.943604957580582
Gabon,28407.08700865935
"Gambia, The",49.85159662628174
Georgia,1594.216760677948
Germany,2186645.785484554
Ghana,4152.8603378247735
Gibraltar,1813.018190165044
Greece,33444.47673241566
Grenada,12691.837332781586
Guam,4.526700134277345
Guatemala,877247.4546784908
Guinea,35.7905947265625
Guinea-Bissau,73.14148571777342
Guyana,83014.97934846606
Haiti,5416054.635743133
Holy See,1.5289509706497182
Honduras,560484.4789055926
"Hong Kong, China",345350.6117173182
Hungary,57033.975533469864
Iceland,1576.890980998992
India,2452897.0177886346
Indonesia,473032.5598846362
Iraq,65.13220318603524
Ireland,135671.8936969586
Israel,118242.46525318584
Italy,2104751.679566612
Jamaica,317471.1385200533
Japan,2141889.569973757
Jordan,1336.8279224028038
Kazakhstan,14198.891737819671
Kenya,355.6548050326004
Kiribati,16.48814903259277
"Korea, Rep.",1443415.0913823722
Kuwait,12.976518001708985
Kyrgyz Republic,7.739339012146001
Lao PDR,125.60236072158818
Latvia,10154.593072104723
Lebanon,3539.484397280436
Lesotho,0.17629529953002948
Liberia,24.999264045715343
Libya,29.89518200874329
Lithuania,28566.165312315123
Luxembourg,26060.49209023389
Macao,190.86421065175523
"Macedonia, FYR",86.18984389495837
Madagascar,1326.1003050693469
Malawi,24190.59754263309
Malaysia,204073.368055812
Maldives,33.6025
Mali,148.4635846710205
Malta,4653.717818735492
Marshall Islands,137.08742575073242
Mauritania,503.73749371308077
Mauritius,346.10487135574346
Mexico,4270052.451609864
"Micronesia, Fed. Sts.",1.776971893310545
Moldova,203.20749716454756
Mongolia,5.542571258544912
Montenegro,86.93116683959975
Montserrat,578.8001280290254
Morocco,52879.07409700219
Mozambique,1231.44234175
Myanmar,3121.7674315877284
Namibia,41.452966274261456
Nauru,9.070071014404295
Nepal,271.1734490830899
Netherlands,3710999.915790001
New Caledonia,146.04523329162603
New Zealand,122107.66001799924
Nicaragua,244430.02785366937
Niger,0.4956765365600585
Nigeria,782322.4996675103
Niue,1.105561447143555
Northern Mariana Islands,107.20901
Norway,205914.07246377776
Occ.Pal.Terr,46.97615646419527
Oman,7862.126511735904
"Other Asia, nes",122616.3595992
Pakistan,41079.67418016634
Palau,11.684057615995412
Panama,594364.8449848273
Paraguay,27304.019879843872
Peru,461747.39602827985
Philippines,196997.80873547125
Poland,240204.48254311705
Portugal,174611.7705661845
Qatar,282.9948311004641
Romania,18756.684118330475
Russian Federation,350917.1225621582
Sao Tome and Principe,4164.900072445202
Saudi Arabia,58663.72327477277
Senegal,481.1171025047304
"Serbia, FR(Serbia/Montenegro)",3679.4543976527384
Sierra Leone,446.606484375
Singapore,168289.1529338106
Slovak Republic,8768.241469467164
Slovenia,33218.8916382311
Somalia,2.821334453582764
South Africa,67168.48190488502
South Georgia and the South Sa,107.555654296875
Spain,3608292.3829863607
Sri Lanka,13177.37164325311
St. Kitts and Nevis,4532.7259404
St. Lucia,66886.17276133622
St. Vincent and the Grenadines,9947.3250009
Sudan,141.47550791692737
Suriname,37542.78915033187
Swaziland,3646.905756461143
Sweden,442214.0408012839
Switzerland,2712548.516519006
Syrian Arab Republic,1391.1962986984258
Tanzania,975.4526557941437
Thailand,459321.8711662951
Togo,40.685084136962885
Tokelau,15.218925757408147
Trinidad and Tobago,1448971.19034661
Tunisia,11741.484844348368
Turkey,533501.4681212726
Turkmenistan,109.40221513748175
Turks and Caicos Isl.,46174.14010970536
Tuvalu,55.51037890625
Uganda,1640.8336211090082
Ukraine,23901.85085711262
United Arab Emirates,60882.77955371172
United Kingdom,1413250.5648591733
United States,67050289.182380036
United States Minor Outlying I,75.1958912
Unspecified,2055203.2977501578
Uruguay,275855.85000018304
Vanuatu,5.812355543613431
Venezuela,261827.18706434412
Vietnam,335693.2361558732
Western Sahara,7.60184692382815
Yemen,3.43760112762451
Zambia,18.081104507446287
Zimbabwe,9.4554038333893
