Partner,Value
Afghanistan,254.52264999999997
Albania,76324.418936
Algeria,396705.15762
American Samoa,860.065425
Angola,554.33425
Antigua and Barbuda,835.11491
Argentina,2160932.2446459997
Armenia,7557.819210000001
Aruba,1982.495189
Australia,126779.417349
Austria,258142.049275
Azerbaijan,22545.98676
BLM,44.39614
"Bahamas, The",568588.47531
Bahrain,27596.729432
Bangladesh,86335.910123
Barbados,3994.25724
Belarus,53901.066141999996
Belgium,1461965.53711
Belize,5920.529586000001
Bhutan,0.04857
Bolivia,1150824.844321
Bonaire,20.8424
Bosnia and Herzegovina,2331.568195
Botswana,0.44193499999999997
Brazil,4709730.867930999
British Indian Ocean Ter.,95.83875
British Virgin Islands,32.1712
Brunei,20.628500000000003
Bulgaria,92485.107659
Burkina Faso,17.870699999999996
Burundi,0.27232
Cambodia,49700.916973
Cameroon,112.838834
Canada,1846672.5813230001
Cape Verde,497.903905
Cayman Islands,414.157895
Chad,20.114708
Chile,7952941.750041
China,32518089.560949996
Christmas Island,0.56322
Cocos (Keeling) Islands,15.603817000000001
Colombia,11892094.048662
Comoros,1.444135
"Congo, Rep.",465.579917
Cook Islands,1.5698500000000002
Costa Rica,314059.33576
Cote d'Ivoire,13671.47095
Croatia,84518.013527
Cuba,94351.19300200001
Curaçao,112870.118286
Cyprus,17481.9868
Czech Republic,156867.104438
Denmark,321643.51431400003
Dominica,279.80314
Dominican Republic,401817.700645
East Timor,3.850969
"Egypt, Arab Rep.",46772.111394
El Salvador,480002.26577700005
Equatorial Guinea,691.11612
Estonia,381976.155894
Ethiopia(excludes Eritrea),542.12393
Fiji,1.203048
Finland,245991.89114800002
France,2208073.411315
French Polynesia,286.73184000000003
Gabon,49.18474
"Gambia, The",0.837908
Georgia,131018.87762
Germany,3867064.052213
Ghana,1285.964566
Greece,431940.80283199996
Grenada,149.026408
Guam,447.812585
Guatemala,483627.09494700003
Guinea,151.49579
Guyana,3237.024077
Haiti,6291.536247
Honduras,332725.07499
"Hong Kong, China",417979.387069
Hungary,152631.93769000002
Iceland,5903.261123
India,2140366.003929
Indonesia,1148308.9167230001
"Iran, Islamic Rep.",1928.852487
Iraq,220508.09721
Ireland,161872.23375
Israel,162317.926365
Italy,3286161.3418030003
Jamaica,351059.84287
Japan,4485491.773844
Jordan,23395.028465000003
Kazakhstan,87522.56377
Kenya,2755.412628
Kiribati,1845.23928
"Korea, Dem. Rep.",84.63655
"Korea, Rep.",3271244.586255
Kuwait,147403.36839299998
Kyrgyz Republic,7512.14425
Lao PDR,1036.871427
Latvia,63188.482479
Lebanon,9491.98154
Lesotho,8.36647
Libya,29998.281720000003
Lithuania,114077.618038
Luxembourg,56637.268776
Macao,123.327985
"Macedonia, FYR",1886.191726
Madagascar,546.607163
Malawi,1.2293800000000001
Malaysia,674578.831767
Maldives,839.673695
Mali,81.037572
Malta,21966.282818000003
Marshall Islands,88717.63264
Mauritania,135.43894
Mauritius,2055.812524
Mexico,4144753.991865
Moldova,5438.043495
Mongolia,179.153437
Montenegro,29638.302835
Montserrat,1.433322
Morocco,94665.87548300001
Mozambique,78.64059999999999
Myanmar,20180.204288
Namibia,377.21292
Nepal,78.72385
Netherlands,3779338.255368
New Caledonia,19.80197
New Zealand,173823.203217
Nicaragua,595637.718586
Niger,40.127975
Nigeria,1607.574025
Niue,1.2962000000000002
Northern Mariana Islands,3.88348
Norway,107712.18281900001
Oman,16223.65703
"Other Asia, nes",802335.291992
Pakistan,76631.79590400001
Panama,11940511.493717
Papua New Guinea,30.05601
Paraguay,262953.37099599995
Peru,7107577.151318
Philippines,181182.443415
Pitcairn,9014.61236
Poland,409669.84669599996
Portugal,286683.431414
Qatar,44439.730741
Romania,145449.68387900002
Russian Federation,4865521.635701
Rwanda,1.31553
Saint Helena,23.956979999999998
Saint Maarten (Dutch part),86.1865
Samoa,2.3798
San Marino,800.853603
Sao Tome and Principe,417.764248
Saudi Arabia,499451.873007
Senegal,4467.2957
"Serbia, FR(Serbia/Montenegro)",9809.070386000001
Seychelles,16941.338807
Sierra Leone,55.979361
Singapore,419975.00818
Slovak Republic,123704.10350900001
Slovenia,237586.277604
Solomon Islands,7.041659999999999
Somalia,30.294
South Africa,78641.65338100001
South Georgia and the South Sa,1.5376999999999998
Spain,5439320.44943
Sri Lanka,65250.429829
St. Kitts and Nevis,616.978715
St. Lucia,706.87014
St. Vincent and the Grenadines,550.99889
Sudan,266.813395
Suriname,1479.358537
Swaziland,2252.503652
Sweden,627247.699253
Switzerland,524292.016824
Syrian Arab Republic,2035.2181
Tajikistan,5334.85332
Tanzania,332.836294
Thailand,1252951.774322
Tokelau,209.894748
Trinidad and Tobago,50964.05224
Tunisia,96220.58674
Turkey,1343593.889695
Turkmenistan,215.38517
Tuvalu,1.39635
Uganda,1.83764
Ukraine,384365.68003299995
United Arab Emirates,274523.718107
United Kingdom,1294790.3512859999
United States,46885873.598620996
United States Minor Outlying I,446.79454499999997
Unspecified,705397.0689982
Uruguay,346704.361206
Uzbekistan,25305.805489
Vanuatu,2.64384
Venezuela,150630.583731
Vietnam,2185041.7347790003
Wallis and Futura Isl.,0.155924
Yemen,262.14101
