Partner,Value
Afghanistan,21191.806853494607
Albania,60581.8643510133
Algeria,4502475.229732549
Andorra,70.82928095159045
Angola,74031.97174817549
Antigua and Barbuda,562.8048413832229
Argentina,4774190.039750949
Armenia,8606.466789345952
Australia,1993462.5639895038
Austria,1439512.507975815
Azerbaijan,46460.65684371204
"Bahamas, The",226.34541095126363
Bahrain,1794160.8493861135
Bangladesh,705714.0444098444
Barbados,375.132483897416
Belarus,479803.1775872856
Belgium,6257743.949302793
Belize,2455.6042195816494
Benin,190852.8454338743
Bermuda,353.71877501539996
Bolivia,6845.49232476987
Bosnia and Herzegovina,116403.93919505725
Botswana,1737.5850504654998
Brazil,12132201.692691395
Brunei,48107.0589392768
Bulgaria,1284145.7351264926
Burkina Faso,88612.11543793266
Burundi,39859.34569014603
Cambodia,29407.18131401784
Cameroon,186226.02920772124
Canada,3937603.2215357614
Cape Verde,8107.822501499496
Central African Republic,479.1401524661798
Chad,26083.157600578037
Chile,187940.06991152966
China,59457220.619940005
Colombia,162489.3909397387
Comoros,7399.576629231361
"Congo, Dem. Rep.",573775.860225453
"Congo, Rep.",27856.073958845845
Costa Rica,28827.601506716073
Cote d'Ivoire,240764.05862075315
Croatia,498209.09990547603
Cuba,32685.7784528455
Curaçao,70.52787339384753
Cyprus,395134.9097590768
Czech Republic,2008257.6813460216
Denmark,1105968.2727199192
Djibouti,229716.7203735447
Dominican Republic,207420.50113406795
Ecuador,37774.058204471374
El Salvador,2446.350246761291
Equatorial Guinea,3.59600571208653
Eritrea,485969.4294134737
Estonia,162370.77000435643
Ethiopia(excludes Eritrea),743538.2764692646
Finland,2313957.6588569703
France,11246463.318360152
Gabon,64844.7615587148
"Gambia, The",32392.166153744125
Georgia,431640.7320530612
Germany,23366841.28467361
Ghana,323692.1082931025
Gibraltar,94222.5453281905
Greece,7313549.465729485
Grenada,12.16415688
Guatemala,137597.84154816828
Guinea,53816.59685377757
Guinea-Bissau,351.4159275777986
Haiti,8121.226749428385
Honduras,6254.204875069244
"Hong Kong, China",556150.8476634413
Hungary,1693316.491514803
Iceland,62991.237270686746
India,19797768.662134614
Indonesia,5335242.379556589
"Iran, Islamic Rep.",62048.1854016072
Iraq,2346594.3471401697
Ireland,1504154.318910114
Israel,679840.0253855805
Italy,22242666.745820172
Jamaica,5799.960386306729
Japan,6342912.786675304
Jordan,4502980.809030955
Kazakhstan,353972.34347142826
Kenya,2517998.8175957063
"Korea, Rep.",8560617.776109556
Kuwait,9831892.511182282
Lao PDR,261.30073584468107
Latvia,255582.80481633457
Lebanon,2229571.2402109634
Lesotho,135.330088537478
Liberia,10245.165751207247
Libya,4161159.4526637117
Lithuania,288141.93652348395
Luxembourg,81374.71637457426
Macao,698.6210769618116
"Macedonia, FYR",19581.25436949113
Malawi,404668.595466116
Malaysia,2938114.572751343
Maldives,15736.66215857825
Mali,59976.98686075873
Malta,3723214.7417514236
Marshall Islands,801.8883309035403
Mauritania,130639.40559130374
Mauritius,153012.80670047915
Mexico,836399.0712947005
Moldova,37832.13025322614
Mongolia,809.6720046584475
Montserrat,2507.4361563305392
Morocco,3231617.0642641797
Mozambique,107791.47507705711
Namibia,2200.434542901754
Nepal,2174.4630361264217
Netherlands,7338887.315280676
New Zealand,1048235.3721378292
Nicaragua,659.3250396542205
Niger,27345.742733545856
Nigeria,618350.0388178143
Norway,1151467.774639628
Occ.Pal.Terr,636947.7119796929
Oman,1900813.112145797
"Other Asia, nes",2478405.2667258866
Pakistan,1608516.3109391355
Panama,69976.19465856101
Papua New Guinea,11.2645962272264
Paraguay,151332.6842076893
Peru,63503.7128091781
Philippines,162405.32855875086
Poland,3184933.9207713157
Portugal,1981612.4484497218
Qatar,118285.07447423332
Romania,4373060.360057416
Russian Federation,16154724.941102395
Rwanda,114864.74736618668
Saint Pierre and Miquelon,13.8074468210046
San Marino,1556.0450775009213
Sao Tome and Principe,1080.3188186080533
Saudi Arabia,29361664.81806915
Senegal,267939.2075552525
"Serbia, FR(Serbia/Montenegro)",383035.5255528977
Seychelles,16360.516259528305
Sierra Leone,28298.430298471096
Singapore,1758777.8050839512
Slovak Republic,2039190.8147074603
Slovenia,880385.4212701591
Solomon Islands,29.445906385484783
Somalia,286600.50096055976
South Africa,822007.6011187157
Spain,13008754.582272919
Sri Lanka,155866.86965063363
St. Lucia,68.77581504431
St. Vincent and the Grenadines,4771.541390782492
Sudan,2953556.6062017884
Suriname,2866.0029515804563
Swaziland,39392.846275290605
Sweden,3373705.0746053504
Switzerland,4663590.284738101
Syrian Arab Republic,1601214.5857229556
Tajikistan,1137.8106657071635
Tanzania,188012.40827848742
Thailand,4674315.033410387
Togo,256269.03353917052
Trinidad and Tobago,19954.51267543673
Tunisia,3557716.797435766
Turkey,24707445.129539613
Turkmenistan,1797.3783751333026
Uganda,360921.2648192531
Ukraine,9577821.034938222
United Arab Emirates,14986104.455512006
United Kingdom,14036122.27604537
United States,31721943.506374463
Unspecified,3062762.825884258
Uruguay,257422.8744635277
Uzbekistan,80691.74249302135
Vanuatu,136.181910247
Venezuela,52804.25386033468
Vietnam,4974057.317988778
Yemen,1797568.8756749565
Zambia,986048.9617245195
Zimbabwe,161067.2985286313
