Partner,Value
Afghanistan,35686.26874418089
Albania,1406154.970516324
Algeria,32285585.17978054
American Samoa,6807.9565388405745
Andorra,4890760.8065421805
Angola,4907249.5427803425
Anguila,426.9913559446362
Antarctica,1084.7179250498034
Antigua and Barbuda,31099.76246105577
Argentina,11834608.458543498
Armenia,476176.51596619486
Aruba,60932.181907673345
Australia,10488473.882283911
Austria,23409882.337389782
Azerbaijan,3269276.6663086293
BLM,2300.303793797815
"Bahamas, The",346722.4490272043
Bahrain,1132361.9050566726
Bangladesh,17982427.979726516
Barbados,37610.042656131234
Belarus,690998.0508233004
Belgium,79284933.19322929
Belize,83256.02767887108
Benin,198701.47454801225
Bermuda,184618.27134671732
Bhutan,1788.1799364621718
Bolivia,1209028.429124222
Bonaire,56467.34330955575
Bosnia and Herzegovina,515452.03692023887
Botswana,34011.30887057574
Brazil,30726494.14019875
British Indian Ocean Ter.,25736.64273893832
British Virgin Islands,10812.7392097559
Brunei,53196.79578754827
Bulgaria,9978934.326560006
Bunkers,20662301.897537585
Burkina Faso,669303.9994203168
Burundi,4222.0495146052435
Cambodia,5148941.611295965
Cameroon,1596633.0236488108
Canada,17681029.2771969
Cape Verde,699157.3384932169
Cayman Islands,871387.9016702363
Central African Republic,31076.89513625907
Chad,46387.12508685284
Chile,14135049.65955091
China,184499015.45780957
Christmas Island,2.6226771838804
Cocos (Keeling) Islands,209.3182049467414
Colombia,7162710.804086094
Comoros,21542.459586416353
"Congo, Dem. Rep.",992559.8542417861
"Congo, Rep.",156248.63776970637
Cook Islands,6204.4283209465175
Costa Rica,2136386.8517027968
Cote d'Ivoire,2995815.0150966235
Croatia,3261303.919681633
Cuba,5147293.200520256
Curaçao,292840.09592478926
Cyprus,1931049.8578443485
Czech Republic,36583511.12182747
Denmark,18152615.8149865
Djibouti,115463.82026209428
Dominica,15035.026586647602
Dominican Republic,3502582.388342583
East Timor,605.0614948988787
Ecuador,5942059.998694316
"Egypt, Arab Rep.",12188977.251478348
El Salvador,757630.9622611209
Equatorial Guinea,3091979.4096672097
Eritrea,25994.375450427367
Estonia,1749623.5304444628
Ethiopia(excludes Eritrea),371044.87156277953
Faeroe Islands,244209.55249980034
Falkland Island,981762.5624688778
Fiji,84899.16758328698
Finland,11378377.542093236
Fr. So. Ant. Tr,4088.3990638937166
France,392108771.9555608
French Polynesia,80507.50597476713
Gabon,517730.0635544007
"Gambia, The",127925.23079957848
Georgia,605079.2226182332
Germany,372530147.2886175
Ghana,2140055.6008853144
Gibraltar,6404319.592187925
Greece,15602284.558300033
Greenland,1157048.874012902
Grenada,18109.665347782106
Guam,8394.067349813124
Guatemala,1888428.4965010243
Guinea,1231670.8268562956
Guinea-Bissau,49590.76789272332
Guyana,56497.12898700246
Haiti,120468.40481908931
Holy See,374.7071784312992
Honduras,922382.3824038426
"Hong Kong, China",6263113.222401679
Hungary,25484968.024958823
Iceland,1105581.3589446265
India,28527360.25337032
Indonesia,11604840.484158682
"Iran, Islamic Rep.",1604072.1491768155
Iraq,9268862.680074776
Ireland,23204867.253304742
Israel,11616661.318177447
Italy,221688351.1034646
Jamaica,363159.5586396988
Japan,37297053.77669032
Jordan,1711046.3937938637
Kazakhstan,6921330.316003575
Kenya,626096.7676855049
Kiribati,5886.71164776396
"Korea, Dem. Rep.",2260.195410273462
"Korea, Rep.",28337432.94141818
Kuwait,2250069.639236919
Kyrgyz Republic,25889.138997925224
Lao PDR,33502.93991840486
Latvia,1901576.1466567393
Lebanon,2181650.5360042537
Lesotho,20598.263952438745
Liberia,262007.91540145196
Libya,19055306.54582692
Lithuania,3661643.621913155
Luxembourg,4271465.431529539
Macao,109836.97489283282
"Macedonia, FYR",837913.9127703977
Madagascar,430096.8028814086
Malawi,29261.170738980552
Malaysia,9003999.354080137
Maldives,112262.05927468633
Mali,317705.1927284337
Malta,2478504.626139357
Marshall Islands,91494.3485177279
Mauritania,2349112.6553302207
Mauritius,1081039.2148965318
Mexico,43859601.93748635
"Micronesia, Fed. Sts.",2817.7980751461796
Moldova,430250.34937211126
Mongolia,38255.19226277218
Montenegro,174730.76135189983
Montserrat,144.1435044789626
Morocco,79575493.83044182
Mozambique,1172991.305326858
Myanmar,3560876.809147385
Namibia,1309811.2216588315
Nauru,641.7753978481121
Nepal,45559.17160496015
Netherlands,119787417.6378536
New Caledonia,371634.14286216104
New Zealand,1967894.9471062867
Nicaragua,555335.0588957788
Niger,68419.76948486328
Nigeria,27095600.555835508
Niue,6.739041764184
Norfolk Island,0.6227666022884
Northern Mariana Islands,106.8371755486567
Norway,16175793.481635263
Occ.Pal.Terr,77106.77676042942
Oman,1017144.9188488349
"Other Asia, nes",9409368.092341796
Pakistan,6443159.326156037
Palau,63.3538126640332
Panama,2958575.410570392
Papua New Guinea,324388.23417695984
Paraguay,780162.3042869553
Peru,9971867.137818143
Philippines,4193484.158778312
Pitcairn,440.9505711794398
Poland,60861862.85127087
Portugal,165147002.6684455
Qatar,6134693.444107939
Romania,21617744.960270792
Russian Federation,26285178.0254065
Rwanda,31689.735360486222
Saint Helena,2121.7264291981637
Saint Maarten (Dutch part),38849.36501856335
Saint Pierre and Miquelon,1131.8004617871316
Samoa,2153.3326429639847
San Marino,120623.93577942616
Sao Tome and Principe,5862.663649310289
Saudi Arabia,29108950.895135738
Senegal,2158517.749849853
"Serbia, FR(Serbia/Montenegro)",2512473.280407974
Seychelles,393052.9883889238
Sierra Leone,86861.86114970966
Singapore,7874367.571607944
Slovak Republic,16866376.936407425
Slovenia,6018320.616976852
Solomon Islands,12068.048168309591
Somalia,67156.17956827457
South Africa,12975206.643964296
South Georgia and the South Sa,8.029660910496801
South Sudan,11063.531384565089
Sri Lanka,1084608.8596480107
St. Kitts and Nevis,1979.5308809563253
St. Lucia,10503.586086096684
St. Vincent and the Grenadines,6229.3953027327625
Sudan,151757.22879725654
Suriname,74219.32288467407
Swaziland,115110.72066192406
Sweden,26213384.957272194
Switzerland,46182884.28691326
Syrian Arab Republic,329041.28239138203
Tajikistan,12334.644574813175
Tanzania,336891.08390560024
Thailand,9756844.231732566
Togo,583761.5531478446
Tokelau,1701.1882865144191
Tonga,3725.488711375748
Trinidad and Tobago,3008437.7064056857
Tunisia,6951671.6087281965
Turkey,63252160.503590465
Turkmenistan,51957.14024523761
Turks and Caicos Isl.,3832.989173186636
Tuvalu,75.9054861808588
Uganda,231271.0477113345
Ukraine,10385397.121469297
United Arab Emirates,11812557.694961628
United Kingdom,159732374.7111432
United States,147536103.75568402
United States Minor Outlying I,58.3389276465198
Unspecified,77987718.81205462
Uruguay,1500895.441599218
Uzbekistan,199635.92326784355
Vanuatu,4031.2003380281594
Venezuela,5030077.085462181
Vietnam,17676865.690381665
Wallis and Futura Isl.,517.9159474867109
Western Sahara,169.30112779458
Yemen,212370.57494203618
Zambia,193033.04856846985
Zimbabwe,93060.2507889926
