Partner,Value
Afghanistan,8904.2679909575
Albania,51682.696422665
Algeria,44775.7560972925
Andorra,302.4426275325
Angola,3329.9465635275
Anguila,31.10886688
Antigua and Barbuda,103.91907309
Argentina,259204.58263105
Armenia,10656.937305927499
Aruba,277.96698587
Australia,402568.75610304496
Austria,950585.653767924
Azerbaijan,20314.5038306
BLM,239.2950578375
"Bahamas, The",79043.61932731251
Bahrain,7147.4096005374995
Bangladesh,154820.81636413
Barbados,711.2248569999999
Belarus,2234678.1950116567
Belgium,2612534.883720738
Belize,253.91752834
Benin,2078.924407175
Bermuda,17.76696383
Bhutan,4.3503917975
Bolivia,7266.279374199999
Bonaire,969.620957025
Bosnia and Herzegovina,7142.924200055
Botswana,146.29164963
Brazil,184525.168863
British Virgin Islands,49.71140685
Brunei,1224.12486637
Bulgaria,264380.6016822775
Bunkers,777360.1931866586
Burkina Faso,453.993906555
Burundi,0.672804475
Cambodia,74198.4533879575
Cameroon,7535.7377903325
Canada,770077.5549242825
Cape Verde,4.8143022375
Central African Republic,79.00135075
Chile,91788.8074985875
China,8000710.222418257
Christmas Island,0.151129125
Colombia,14091.441938875
Comoros,72.98977
"Congo, Dem. Rep.",0.0894460525
"Congo, Rep.",119.4614162
Costa Rica,30302.76965128
Cote d'Ivoire,47714.12150057
Croatia,72934.9059855675
Cuba,11515.817668950001
Curaçao,325.873127335
Cyprus,78177.97767113251
Czech Republic,1812797.3069478474
Denmark,3915427.551488338
Djibouti,339.79368701249996
Dominica,443.4241594475
Dominican Republic,27118.745198685
Ecuador,64058.195550947494
"Egypt, Arab Rep.",120864.17860275501
El Salvador,955.3555990474999
Equatorial Guinea,196.52383625
Eritrea,172.9023540125
Ethiopia(excludes Eritrea),4911.3021714575
Faeroe Islands,6547.0182539649995
Falkland Island,0.27718201
Fiji,15.1263462
Finland,17682113.563590974
France,3968052.7717517577
French Polynesia,21.404138105
Gabon,18170.897053505
"Gambia, The",1697.090739645
Georgia,66628.911482735
Germany,12535525.76994363
Ghana,130325.6169136425
Gibraltar,28.8324144675
Greece,221789.1277025725
Greenland,5199.6068372675
Grenada,598.1237380125
Guam,4.57507043
Guatemala,32865.099595842505
Guinea,59396.3405083125
Guinea-Bissau,12.75888047
Guyana,70.6425667675
Haiti,416.9067073325
Honduras,4290.8447952475
"Hong Kong, China",185951.70421296
Hungary,765164.3574816501
Iceland,192181.60329824747
India,552220.8555274776
Indonesia,556720.5091656779
"Iran, Islamic Rep.",12062.76628655
Iraq,6345.9276314
Ireland,346707.6652533025
Israel,303522.0964141625
Italy,2986070.8918346614
Jamaica,6234.14178359
Japan,2054015.9575583737
Jordan,18025.5837130775
Kazakhstan,421210.8080551175
Kenya,9075.9965754325
"Korea, Dem. Rep.",102.66671640749999
"Korea, Rep.",904899.680758903
Kuwait,16047.428959975
Kyrgyz Republic,7831.275496065
Lao PDR,1490.26034486
Latvia,9461627.142699083
Lebanon,7903.926177087499
Lesotho,108.53086230000001
Liberia,1002.4064616125
Libya,5928.136650765
Lithuania,9264478.904826604
Luxembourg,46505.03028787
Macao,251.4922977
"Macedonia, FYR",21060.049552149998
Madagascar,5567.8431375525
Malawi,454.8878073425
Malaysia,454470.08464984
Maldives,1083.228414555
Mali,50.746361487499996
Malta,89292.68330552499
Marshall Islands,674.1326201400001
Mauritania,2751.6479441325
Mauritius,3085.9274331375
Mexico,436939.7804096325
Moldova,48438.7250913475
Mongolia,3953.7215039
Montenegro,1837.3195365699999
Morocco,179248.14462016002
Mozambique,24787.018931955
Myanmar,29725.013305575
Namibia,4337.6451193075
Nepal,443.19231617500003
Netherlands,4251768.1187898
New Caledonia,2266.2388823375
New Zealand,66518.22518327
Nicaragua,1231.4013419225
Niger,14014.417245132501
Nigeria,61120.175617655
Norway,3228202.415087456
Occ.Pal.Terr,0.3800617625
Oman,14816.1816578125
"Other Asia, nes",567426.466154852
Pakistan,130578.838016585
Panama,6707.808672110001
Papua New Guinea,18.14624196
Paraguay,7013.030172435
Peru,38829.867371715
Philippines,108958.73818312
Pitcairn,4.3441227375
Poland,5294800.866283934
Portugal,232206.306376065
Qatar,6359.8052032375
Romania,516749.58745802
Russian Federation,14017516.807771146
Rwanda,734.49292098
Saint Helena,0.5244740375
Samoa,29.64056347
San Marino,1116.1825120775002
Sao Tome and Principe,1.253812
Saudi Arabia,659225.922659377
Senegal,30421.058529365
"Serbia, FR(Serbia/Montenegro)",101670.15606823249
Seychelles,128.53789560500002
Sierra Leone,35031.2577490225
Singapore,694120.9476894351
Slovak Republic,684144.2442543446
Slovenia,244875.093737015
Somalia,130.2808062325
South Africa,187269.69358770747
South Georgia and the South Sa,1.86638872
South Sudan,0.16344335000000002
Spain,2178989.616154995
