Partner,Value
Afghanistan,169.29496
Albania,2329.77559
Algeria,11756.07371
American Samoa,2268.97084
Andorra,9783.458
Angola,1436.89987
Anguila,74.82034999999999
Argentina,31958.703859999998
Armenia,126.7947
Australia,101336.03903999999
Austria,174414.67184999998
Azerbaijan,1024.95662
Bahrain,252050.32766
Bangladesh,27276.6117
Belarus,4067.68915
Belgium,1658404.0970200002
Belize,5.4391
Benin,1082.28757
Bermuda,9.11896
Bhutan,565.17513
Bosnia and Herzegovina,323.02200999999997
Botswana,560.44769
Brazil,124231.505
Brunei,159.14066
Bulgaria,185831.07173999998
Burkina Faso,1928.6536199999998
Burundi,1595.98557
Cambodia,1539.90326
Cameroon,4577.99468
Canada,358860.03407
Cayman Islands,101.21615999999999
Chad,622.27279
Chile,3863.47307
China,20286177.94554
Colombia,13831.861040000002
Comoros,22.94162
"Congo, Dem. Rep.",2316.84968
"Congo, Rep.",546.75089
Cook Islands,4.7712
Costa Rica,1198.06001
Cote d'Ivoire,2767.2119199999997
Croatia,4168.8278900000005
Cuba,360.65884
Curaçao,4370.542509999999
Cyprus,40297.75245
Czech Republic,101694.64005
Denmark,215653.33860000002
Djibouti,606224.2787
Dominica,0.44694999999999996
Dominican Republic,584.82475
East Timor,2.30155
Ecuador,322.53127
"Egypt, Arab Rep.",966278.2290400001
El Salvador,28010.57458
Equatorial Guinea,73.27612
Eritrea,5976.2940499999995
Estonia,81183.62622
Fiji,151.50748
Finland,40995.819449999995
France,770168.60485
Gabon,463.158
"Gambia, The",17.0621
Georgia,986.13383
Germany,2127753.9562600004
Ghana,4746.17443
Gibraltar,3.8454800000000002
Greece,65552.02274
Guam,0.19058
Guatemala,1766.4699500000002
Guinea,78.44191000000001
Haiti,109.50245
Honduras,0.8147500000000001
"Hong Kong, China",99030.25936
Hungary,63134.321729999996
Iceland,38.09137
India,6330857.8013900025
Indonesia,1253441.18527
"Iran, Islamic Rep.",47309.59034
Iraq,35991.45958
Ireland,232130.71630000003
Israel,561890.12863
Italy,1654207.0859499997
Jamaica,863.41713
Japan,3833607.4832
Jordan,112509.88902999999
Kazakhstan,3780.73367
Kenya,460207.98627
"Korea, Dem. Rep.",76316.11482
"Korea, Rep.",1091518.64692
Kuwait,7513820.83546
Kyrgyz Republic,19.16157
Lao PDR,8.37035
Latvia,13952.01679
Lebanon,15342.15523
Lesotho,17.652549999999998
Liberia,169.57577
Libya,1655.18343
Lithuania,7930.26701
Luxembourg,1592.45865
Macao,133.9734
"Macedonia, FYR",15.16667
Madagascar,2549.25039
Malawi,583.19596
Malaysia,955351.4402600001
Maldives,325.22348999999997
Mali,3354.0237899999997
Malta,3453.9381900000003
Mauritania,15.66454
Mauritius,4947.04843
Mexico,56736.53135999999
"Micronesia, Fed. Sts.",192.05
Moldova,12.233970000000001
Mongolia,2.29335
Montenegro,549.67836
Morocco,1524428.3185200002
Mozambique,16545.463819999997
Myanmar,36663.73871
Namibia,287.27526
Nauru,3.957
Nepal,146.33048
Netherlands,1936139.1763900002
New Caledonia,15.526150000000001
New Zealand,35148.884640000004
Nicaragua,20.45384
Niger,2022.1964200000002
Nigeria,77809.0332
Norway,40532.56633
Occ.Pal.Terr,134.03403
Oman,468170.72547000006
"Other Asia, nes",407628.50598
Pakistan,152066.47626999998
Panama,712.6184499999999
Peru,2657.42573
Philippines,55946.11803
Poland,154423.87378
Portugal,85076.87732
Qatar,43255.99199
Romania,376668.05388
Russian Federation,474475.37965
Rwanda,3182.78037
Samoa,5.1006
San Marino,559.05744
Saudi Arabia,2726847.243850001
Senegal,22908.586109999997
"Serbia, FR(Serbia/Montenegro)",16419.60476
Seychelles,88.16881000000001
Sierra Leone,103.16501
Singapore,275522.59449
Slovak Republic,11900.27268
Slovenia,18579.91054
Somalia,1096550.51002
South Africa,808547.03538
South Sudan,9772.49778
Spain,486994.9325
Sri Lanka,21096.98205
St. Kitts and Nevis,21.30585
Sudan,474389.90307999996
Suriname,2.36452
Swaziland,21422.6708
Sweden,276711.60112
Switzerland,336915.6613
Syrian Arab Republic,152.357
Tanzania,65555.51389999999
Thailand,687279.34915
Togo,48697.53756
Tokelau,645.44004
Tunisia,8887.83058
Turkey,3176179.67903
Turkmenistan,16838.76596
Turks and Caicos Isl.,0.10704
Uganda,16218.73184
Ukraine,1268013.10836
United Arab Emirates,2594299.846520001
United Kingdom,1734355.0689599998
United States,5203337.18837
United States Minor Outlying I,0.7619199999999999
Uruguay,961.56904
Uzbekistan,45.56376
Venezuela,587.20081
Vietnam,326648.14572000003
Yemen,234021.26929
Zambia,12609.628900000002
Zimbabwe,644.85707
