Partner,Value
Afghanistan,8771.68097138928
Albania,20879.276029643428
Algeria,597205.5493171359
American Samoa,150.70548305609
Andorra,7386.177968497281
Angola,11918.916670637082
Anguila,3111.89093340825
Antarctica,44.6191376155
Antigua and Barbuda,1237.01689710765
Argentina,400618.01334291877
Armenia,68178.72918092327
Aruba,141132.96350844996
Australia,3605932.9956678767
Austria,5400349.902308267
Azerbaijan,546618.4387852529
BLM,40.3419705969
"Bahamas, The",235048.10504716373
Bahrain,50530.907096042596
Bangladesh,1504718.2047283982
Barbados,2455.74822157997
Belarus,494830.70651801856
Belgium,16213680.383048072
Belize,564.91449270624
Benin,4766.767160922629
Bermuda,1376.45619471442
Bhutan,140.49631891768
Bolivia,31788.04006964252
Bonaire,43.80196539931
Bosnia and Herzegovina,74410.4162843093
Botswana,20487.29587277578
Brazil,3792012.8582395273
British Virgin Islands,141901.07821429137
Brunei,1981.48750699458
Bulgaria,784666.5975231463
Bunkers,694569.219331088
Burkina Faso,76030.32516269262
Burundi,8162.90770127165
Cambodia,443837.9217278984
Cameroon,60993.279109837546
Canada,5392877.529870321
Cape Verde,2066.1290508507
Cayman Islands,35750.76586234366
Central African Republic,142.5125178344
Chad,46.13741993938
Chile,2837352.2262144154
China,42341279.19649552
Christmas Island,0.12314457209999999
Colombia,617247.0645228139
Comoros,122.29291504167
"Congo, Dem. Rep.",87981.46989720404
"Congo, Rep.",20348.16112868721
Cook Islands,61.13019974212
Costa Rica,239342.248607156
Cote d'Ivoire,46280.996660806
Croatia,362487.742361606
Cuba,38421.85992116145
Curaçao,6125.1716549315
Cyprus,839784.2978880581
Czech Republic,6536946.611187677
Denmark,12008458.673701992
Djibouti,12712.106042821411
Dominica,1496.3529653757
Dominican Republic,90313.46673708485
Ecuador,247437.16179585754
"Egypt, Arab Rep.",1978321.5237337505
El Salvador,45441.49433778253
Equatorial Guinea,91434.82555017438
Eritrea,1240.06578608299
Estonia,17145129.324490152
Ethiopia(excludes Eritrea),48009.833332242604
Faeroe Islands,85376.08717282383
Falkland Island,12.97929845016
Fiji,26601.50120084548
Fr. So. Ant. Tr,1664.03294826356
France,19952202.993225407
French Polynesia,2053.88183366864
Gabon,1264.34631643941
"Gambia, The",8014.46815016463
Georgia,73012.12172430739
Germany,98058220.83152322
Ghana,249642.7835968333
Gibraltar,255001.3449110891
Greece,1023071.7107962585
Greenland,25076.61883967738
Grenada,1970.8111539297101
Guam,1129.98572587389
Guatemala,113229.96527103863
Guinea,2960.97084507161
Guinea-Bissau,11.786829159569999
Guyana,33680.99407140298
Haiti,2119.15552428718
Holy See,457.74196645968
Honduras,103916.66227376182
"Hong Kong, China",1349195.7217121446
Hungary,3533271.1086115097
Iceland,286894.3310332279
India,4353050.304213027
Indonesia,1969541.1308033194
