Partner,Value
Afghanistan,15.637856838400001
American Samoa,57355.181931104
Anguila,9.8055990784
Antigua and Barbuda,8.7946744
Argentina,1089.0686005872
Armenia,85.88971594559999
Australia,2264853.002737901
Austria,666.1299314256
Azerbaijan,4.4649173296
Bahrain,884.3637592528
Bangladesh,16644.212452010397
Barbados,17.3458751824
Belarus,3892.455772188
Belgium,10409.9903955376
Belize,9.514449068000001
Bermuda,6.4802864
Bhutan,64.5862372832
Bolivia,28.4706754208
Bosnia and Herzegovina,6.135442588
Botswana,10.6387787584
Brazil,6331.1615864856
British Virgin Islands,2.073691648
Brunei,24.6287913408
Bulgaria,396.84718460479996
Bunkers,321620.9308284976
Cambodia,654.900057972
Cameroon,18.2901454864
Canada,154573.637356888
Cayman Islands,0.3203112992
Chile,4166.9380230896
China,1706804.6900418645
Christmas Island,3289.3605123304
Cocos (Keeling) Islands,150.5111319264
Colombia,1007.3878306584
"Congo, Rep.",472.8627955872
Cook Islands,70913.1047541904
Costa Rica,253.48103131199997
Cote d'Ivoire,202.8181522368
Croatia,88.49293956800001
Curaçao,66.2965700152
Cyprus,625.4013314016
Czech Republic,460.2072591256
Denmark,10490.502862404
Dominica,249.6354442112
Dominican Republic,5839.020401736
East Timor,1406.6674370512
"Egypt, Arab Rep.",1030.2664817936
El Salvador,26.7284041344
Estonia,52.33988462000001
Ethiopia(excludes Eritrea),8.4743631008
Finland,28459.9084249464
France,1953457.058922897
French Polynesia,22997.3755365792
Gabon,0.585540164
Georgia,129.369660424
Germany,51323.459104201596
Ghana,11.0243557992
Greece,378.3788312424
Grenada,15.071294656000001
Guam,439.69252389359997
Guatemala,634.9680856384
Haiti,84.838520916
Holy See,3.2794877959999997
Honduras,12.4037310472
"Hong Kong, China",218435.6646789248
Hungary,85.9665536272
Iceland,27.4620651304
India,312183.0907805632
Indonesia,128656.07350375681
"Iran, Islamic Rep.",83.9123028384
Iraq,693.9331373472
Ireland,243329.6515573376
Israel,7316.8441607248
Italy,72001.1272514016
Jamaica,15741.5747479872
Japan,587916.2498810593
Jordan,135.711083544
Kenya,453.94406232
Kiribati,80657.29478715362
"Korea, Dem. Rep.",34296.8773531592
"Korea, Rep.",439726.3986650008
Kuwait,360.35021159999997
Kyrgyz Republic,11.983901064
Latvia,55.000967942399996
Lebanon,803.7327957207999
Lithuania,184.2951793176
Luxembourg,216.0217357768
Macao,1079.9008468416
Madagascar,132.0645338112
Malawi,446.3473151488
Malaysia,221263.37930854879
Maldives,145.2616370648
Mali,511.67785961280003
Malta,159.8908836128
Marshall Islands,13855.308257636001
Mauritius,11.3923434912
Mexico,7762.693882453599
"Micronesia, Fed. Sts.",1928.4457487736
Mongolia,24.1399925952
Morocco,297.3858974272
Myanmar,78.5077439808
Namibia,724.9112207272
Nauru,14912.5655951632
Nepal,7.1958951696
Netherlands,76089.2464767632
New Caledonia,46043.274994844
New Zealand,1820959.467012445
Nicaragua,28.881247852
Niger,175.5759539664
Nigeria,5.5457365256
Niue,1707.2559845928
Norfolk Island,10854.689866430399
Norway,592.0310965848
Oman,100.22734960560001
"Other Asia, nes",198802.42243930238
Pakistan,9422.399376953601
Palau,246.01064972560002
Panama,499.215805988
Papua New Guinea,73546.80146050881
Peru,14.3621661728
Philippines,19536.5758073936
Pitcairn,37.030208
Poland,829.6127452144001
Portugal,255.177477716
Qatar,3509.8221700464
Romania,11.9413163248
Russian Federation,932.1109723256
Saint Helena,6.6867298096
Samoa,120162.7060373336
Saudi Arabia,3427.509109316
Senegal,180.890251692
Seychelles,1.208110536
Sierra Leone,412.1017787904
Singapore,2103704.478371515
Slovak Republic,35.4406863216
Slovenia,419.5494793744
Solomon Islands,55263.49267626081
South Africa,11422.097263328
Spain,54608.799524576
Sri Lanka,16669.7299683432
St. Vincent and the Grenadines,1.7793014944
Sudan,66.6691864832
Swaziland,4881.8409043496
Sweden,3462.0337608672
Switzerland,16883.9728655032
Tanzania,138.86328
Thailand,332506.2243103296
Togo,14.608417056
Tonga,203433.591979372
Trinidad and Tobago,9.2890276768
Tunisia,170.3185901856
Turkey,9892.814012914401
Turks and Caicos Isl.,2.3977059680000004
Tuvalu,61619.0164365896
Uganda,14.2649618768
Ukraine,2057.0613815872002
United Arab Emirates,44499.912396471205
United Kingdom,164967.9778607696
United States,1246488.8157616684
United States Minor Outlying I,247.4349241008
Unspecified,199774.4348493808
Uruguay,115.8082724992
Vanuatu,162073.47878814
Vietnam,215158.43850287842
Wallis and Futura Isl.,41308.0445528856
Zambia,604.534346316
Zimbabwe,46.28776
