Partner,Value
Afghanistan,143058.3197466192
Albania,674397.0609166194
Algeria,43793868.91581281
American Samoa,1643.82074811368
Andorra,1213016.0870083084
Angola,3279334.834391351
Anguila,11094.28319627592
Antarctica,12260.82952603504
Antigua and Barbuda,82080.77526175235
Argentina,5217683.28696535
Armenia,324524.4862273515
Aruba,40244.177627634155
Australia,18949940.599191803
Austria,51773219.37854267
Azerbaijan,3589856.1635549176
BLM,721812.6920930976
"Bahamas, The",309214.58238696516
Bahrain,3445870.5736024715
Bangladesh,17877231.575408652
Barbados,87816.7249363426
Belarus,1328784.554292718
Belgium,359043681.1893604
Belize,24984.29837944592
Benin,835481.0350679957
Bermuda,112169.98191405239
Bhutan,98870.7171949016
Bolivia,884873.7809831989
Bonaire,87448.59800205509
Bosnia and Herzegovina,1209286.4363093523
Botswana,725655.5721349933
Bouvet Island,2155.5206839232
Brazil,36320323.86427846
British Indian Ocean Ter.,335.46966876288
British Virgin Islands,608428.1790972586
Brunei,47069.73285540248
Bulgaria,10827151.225727368
Burkina Faso,1462550.0168064726
Burundi,54028.6590931664
Cambodia,6769620.569754046
Cameroon,3627002.157122373
Canada,34660917.49729429
Cape Verde,132263.71789133296
Cayman Islands,103509.08720309443
Central African Republic,194064.2248562726
Chad,768668.1902044704
Chile,13302565.482333612
China,389458865.6539769
Christmas Island,157.85052192192
Cocos (Keeling) Islands,128.89433431104
Colombia,5347542.74219037
Comoros,236504.08711612385
"Congo, Dem. Rep.",985573.1864975162
"Congo, Rep.",1569877.0300200314
Cook Islands,33289.03836529568
Costa Rica,1422080.6388685736
Cote d'Ivoire,9691395.825466093
Croatia,4584138.4352924535
Cuba,894690.3604909312
Curaçao,65842.87544695241
Cyprus,1505186.978121025
Czech Republic,67280537.73927435
Denmark,31704835.370062158
Djibouti,365689.92210476025
Dominica,32690.14379374824
Dominican Republic,1412756.339731831
East Timor,6617.36183345448
Ecuador,2557343.008022078
"Egypt, Arab Rep.",15630091.769404974
El Salvador,226487.30030086433
Equatorial Guinea,173994.28034416132
Eritrea,17176.43994718264
Estonia,3805253.8746281727
Ethiopia(excludes Eritrea),4049606.278553235
Faeroe Islands,159429.9070183379
Falkland Island,1805.2961001927201
Fiji,1409393.2240046628
Finland,23711075.348015442
Fr. So. Ant. Tr,60598.44493690168
French Polynesia,2917566.079862825
Gabon,2939336.956916834
"Gambia, The",85208.6670896807
Georgia,973626.695013994
Germany,803891527.7228583
Ghana,3102491.0552095203
Gibraltar,466303.3184091718
Greece,17513084.186125457
Greenland,20525.29711900296
Grenada,22215.03659070552
Guam,53559.36384580488
Guatemala,602844.0451199466
Guinea,971380.8820059565
Guinea-Bissau,27450.543578345438
Guyana,99212.65668955032
Haiti,281365.8301713722
Holy See,4009.21393396888
Honduras,643860.4211978241
"Hong Kong, China",32663058.705226023
Hungary,43051978.65087073
Iceland,1747715.98265129
India,60242830.000253394
Indonesia,17667606.299771115
"Iran, Islamic Rep.",2154841.9155454948
Iraq,6209898.273134343
Ireland,57187988.288135216
Israel,14891623.501988666
Italy,408487583.26888967
Jamaica,205403.9674567019
Japan,95510480.08051166
Jordan,1215262.8252205653
Kazakhstan,16383946.073695868
Kenya,1401581.94525501
Kiribati,139.91270988832
"Korea, Rep.",48987516.61442974
Kuwait,3717806.709990917
Kyrgyz Republic,153535.22146553386
Lao PDR,188024.51809363166
Latvia,2798552.6030367855
Lebanon,3154953.346960465
Lesotho,142157.72588730787
Liberia,395504.9017867611
Libya,7393981.835509378
Lithuania,6843132.802158941
Luxembourg,19969983.880599942
Macao,2289688.3874784242
"Macedonia, FYR",1018816.5836343495
Madagascar,4706245.635196501
Malawi,56158.58671372736
Malaysia,20694795.89289905
Maldives,327624.19484107476
Mali,1722480.1768930382
Malta,5772205.228728798
Marshall Islands,40215.3397898788
Mauritania,1399461.9559267955
Mauritius,4112238.806971453
Mexico,31900593.909947067
"Micronesia, Fed. Sts.",165.81019301511998
Moldova,598319.0488579907
Mongolia,135885.69093015778
Montenegro,206256.10504274478
Montserrat,5353.89609445544
Morocco,54035007.77439654
Mozambique,547807.1661801009
Myanmar,3001166.718280479
Namibia,282152.3812202979
Nauru,7968.69423804096
Nepal,170037.45277878788
Netherlands,214859044.5384314
New Caledonia,5023540.95529663
New Zealand,4424234.402699284
Nicaragua,309268.8221948336
Niger,894810.8715567042
Nigeria,20506948.598560832
Niue,564.54265132608
Norfolk Island,106.73064080768
Northern Mariana Islands,20952.669263640717
Norway,25085388.29943443
Occ.Pal.Terr,115552.0817080022
Oman,2752308.8261058265
"Other Asia, nes",26100170.607234336
Pakistan,7038359.6866419045
Palau,306.44582975968
Panama,3196841.276520253
Papua New Guinea,180348.81895739379
Paraguay,431171.8459630153
Peru,3727297.560298049
Philippines,11876629.77709938
Pitcairn,529.6249629228
Poland,112292181.16067383
Portugal,72639700.42069294
Qatar,23903129.81168345
Romania,44533261.86221491
Russian Federation,69290064.69908509
Rwanda,128917.74845918987
Saint Helena,11290.031759594081
Saint Maarten (Dutch part),279912.4036211617
