Partner,Value
Afghanistan,490875.8035104034
Albania,142725.33866870272
Algeria,12150203.380991166
American Samoa,1579.14333121636
Andorra,83167.09671799077
Angola,1461295.1366426784
Anguila,11182.103785195151
Antarctica,9791.964609721319
Antigua and Barbuda,93337.014100017
Argentina,5576465.199335547
Armenia,96778.88975505115
Aruba,63341.85691806019
Australia,60568116.423121646
Austria,34304656.212050304
Azerbaijan,8630988.004044026
"Bahamas, The",216266.08427031172
Bahrain,4323566.959910668
Bangladesh,21749404.904271074
Barbados,282592.9967546982
Belarus,1261912.1542827697
Belgium,223978259.11312854
Belize,435397.31490177
Benin,166954.39404345633
Bermuda,188592.31658829085
Bhutan,7118.81727659875
Bolivia,322868.85858510894
Bonaire,43468.170861664745
Bosnia and Herzegovina,254342.67982280633
Botswana,256243.63759072928
Bouvet Island,110.48561730240999
Brazil,23436452.10953492
British Indian Ocean Ter.,350.4423634324
British Virgin Islands,99177.35139793692
Brunei,336424.77128193656
Bulgaria,5472957.158775302
Bunkers,1155816.54361843
Burkina Faso,263817.87940578547
Burundi,33201.96593285622
Cambodia,6230956.598423228
Cameroon,494981.7671798961
Canada,85583786.36697452
Cape Verde,25498.8154929163
Cayman Islands,120915.38349060138
Central African Republic,14389.015028481179
Chad,185652.22811271413
Chile,7249690.536141987
China,424716317.6256684
Christmas Island,826.1655138323799
Cocos (Keeling) Islands,828.88063986901
Colombia,5292566.282548053
Comoros,9792.090156529119
"Congo, Dem. Rep.",184938.06469948962
"Congo, Rep.",274555.77799951687
Cook Islands,1115.59647840223
Costa Rica,1754397.1861886496
Cote d'Ivoire,1632786.4476020841
Croatia,2144684.5914398646
Cuba,114044.3715601882
Curaçao,59068.796375876875
Cyprus,3736840.5518472334
Czech Republic,49478120.3758589
Denmark,52271801.376411796
Djibouti,121847.44782528549
Dominica,70390.95138964566
Dominican Republic,1178307.2475712507
East Timor,5794.12968721973
Ecuador,1289063.670002596
"Egypt, Arab Rep.",11892684.927252442
El Salvador,314710.5231907814
Equatorial Guinea,408596.7327589338
Eritrea,11241.6741590286
Estonia,2760027.0685269134
Ethiopia(excludes Eritrea),3373453.456524313
Faeroe Islands,1407842.2093335395
Falkland Island,363650.33916716685
Fiji,175995.6716218955
Finland,21039366.549642786
Fr. So. Ant. Tr,1207.02460477821
France,319340033.5242427
French Polynesia,47414.89061388308
Gabon,233931.9263796516
"Gambia, The",213114.3717403162
Georgia,602564.9166556124
Germany,613161717.0993896
Ghana,3608918.494848459
Gibraltar,2552576.730320367
Greece,11163531.959714346
Greenland,30741.81977985749
Grenada,56279.404222736564
Guam,18673.88728385424
Guatemala,867735.3157974887
Guinea,139201.27334926563
Guinea-Bissau,4721.35626247064
Guyana,458223.33036869904
Haiti,111297.30861466649
Holy See,7831.874848607
Honduras,729833.5681562625
"Hong Kong, China",65898813.082984984
Hungary,26113166.76034373
Iceland,4029939.715163477
India,69534242.31624481
Indonesia,12184418.824101062
"Iran, Islamic Rep.",592031.010723191
Iraq,2397411.850094684
Ireland,201201956.4751823
Israel,14696462.729518512
Italy,177009254.40853828
Jamaica,513625.51684700965
Japan,98003383.74310686
Jordan,1845741.1865793322
Kazakhstan,3928884.2395665636
Kenya,3555261.2144700405
Kiribati,268.28225666438
"Korea, Dem. Rep.",801.98718186012
"Korea, Rep.",45513346.08715372
Kuwait,6396819.9578973595
Kyrgyz Republic,2416034.2538010413
Lao PDR,196840.46082057862
Latvia,6107785.73920236
Lebanon,1985879.2121486417
Lesotho,11329.14326436922
Liberia,49656.05318018642
Libya,1952450.1418406921
Lithuania,7657169.142989323
Luxembourg,4875012.527278611
Macao,528757.753164578
"Macedonia, FYR",6868104.123209079
Madagascar,309329.38266766944
Malawi,207035.89953595272
Malaysia,19062633.81272138
Maldives,198678.0524014249
Mali,233682.8461615247
Malta,8898540.502849314
Marshall Islands,18818.31907476059
Mauritania,144517.46222382592
Mauritius,1160536.158444678
Mexico,22218071.529515155
"Micronesia, Fed. Sts.",1043.88987235952
Moldova,354026.7546795291
Mongolia,163344.34080960538
Montenegro,291637.51550325647
Montserrat,5800.27860468818
Morocco,7436417.923891913
Mozambique,746437.7939373358
Myanmar,2515397.658321508
Namibia,459873.0872742537
Nauru,1783.93695898033
Nepal,205473.8379885201
Netherlands,381604965.52660716
New Caledonia,137951.210351975
New Zealand,9332068.461038414
Nicaragua,300294.93385329365
Niger,26503.29596865537
Nigeria,14435783.59500321
Niue,40041.761044514875
Norfolk Island,172.45553681214
Northern Mariana Islands,557.23751710056
Norway,101149938.90813047
Occ.Pal.Terr,39667.86224391623
Oman,3775522.057183402
"Other Asia, nes",30428624.471336782
Pakistan,12482265.296842616
Palau,150.89934837092
Panama,1079925.2448412993
Papua New Guinea,468002.8607960582
Paraguay,547442.1925653144
Peru,3388099.38721738
Philippines,7332107.42527114
Pitcairn,966.406525674
Poland,95190896.84647606
Portugal,27828006.413406562
Qatar,23095768.67859025
Romania,19687721.90693326
Russian Federation,67377037.47815117
Rwanda,153170.57650916363
Saint Helena,104470.17742344673
Saint Maarten (Dutch part),13534.22167426737
Saint Pierre and Miquelon,96.22085827058001
Samoa,4630.82844776483
San Marino,61462.27060138787
Sao Tome and Principe,906.37200092973
Saudi Arabia,29365232.864051744
Senegal,1171775.1688682958
"Serbia, FR(Serbia/Montenegro)",2514883.208506018
Seychelles,464196.88835541246
Sierra Leone,200949.9840814343
Singapore,41561945.652908556
Slovak Republic,22398202.24122417
Slovenia,4107863.2996716276
Solomon Islands,72813.58753465538
Somalia,75937.51565086893
South Africa,41788461.16450833
South Sudan,32811.02034221628
Spain,157214960.7379358
Sri Lanka,5747315.977499353
St. Kitts and Nevis,46390.64967080431
St. Lucia,138165.64394138387
St. Vincent and the Grenadines,85077.52594730945
Sudan,512818.46874049143
Suriname,71328.3995911328
Swaziland,61753.425157765836
Sweden,65318968.521126494
Switzerland,137706239.2281362
Syrian Arab Republic,86033.32025179465
Tajikistan,31578.48587680352
Tanzania,770335.6314836249
Thailand,24446787.47260344
Togo,135280.46506915495
Tonga,7762.03557610651
Trinidad and Tobago,1137152.0717399505
Tunisia,2073149.67119201
Turkey,82942127.62067953
Turkmenistan,96541.00438508968
Turks and Caicos Isl.,24438.27138895287
Tuvalu,589.63031559969
Uganda,298621.8417327181
Ukraine,6195824.950408214
United Arab Emirates,50322829.60042131
United States,624322789.2913451
United States Minor Outlying I,4968.78077031315
Unspecified,36286059.03279428
Uruguay,1068800.5388010887
Uzbekistan,7454380.33756588
Vanuatu,3173.0267351678103
Venezuela,293533.634127805
Vietnam,31268165.03756094
Wallis and Futura Isl.,192.93619464047998
Yemen,281316.889985975
Zambia,450840.89331731905
Zimbabwe,600027.166303527
