Partner,Value
Afghanistan,2413.4448500000003
Albania,1773.65466
Algeria,1466.23919
Angola,62.6
Argentina,17451.10559
Armenia,3143467.64023
Australia,310311.30722
Austria,406430.23445
Azerbaijan,4646028.69933
"Bahamas, The",1.9
Bahrain,721.2294599999999
Bangladesh,8885.15685
Belarus,412018.02322
Belgium,554336.6683600001
Belize,2709.74993
Bhutan,12.04
Bosnia and Herzegovina,1934.44675
Brazil,497800.72401
British Virgin Islands,3969.5249999999996
Bulgaria,1744790.2929800001
Burundi,5560.0
Cambodia,567.5669
Cameroon,582.16304
Canada,91461.26279
Chad,10633.84741
Chile,527619.33876
China,4780039.91216
Colombia,15667.5118
"Congo, Rep.",110.2
Costa Rica,2389.47236
Croatia,42024.48276
Cuba,5790.09454
Cyprus,39040.54123
Czech Republic,473488.03689999995
Denmark,79020.08866
Djibouti,406.39934000000005
Ecuador,78821.32843
"Egypt, Arab Rep.",118370.32849000001
El Salvador,44.841449999999995
Estonia,56045.28464
Ethiopia(excludes Eritrea),288.7616
Faeroe Islands,1314.44004
Finland,83405.9719
France,894255.45776
French Polynesia,536.8
Gabon,197.64432
Germany,2581175.9793700003
Ghana,498.5983
Greece,294314.85167
Guinea,46.35
"Hong Kong, China",391674.05207
Hungary,226012.36578000002
Iceland,19244.23454
India,223281.62957
Indonesia,45294.85565
"Iran, Islamic Rep.",1084116.93774
Iraq,98831.18396000001
Ireland,58274.20728
Israel,129532.43152
Italy,1211740.00247
Japan,1312626.39516
Jordan,3573.63782
Kazakhstan,419148.04397
Kenya,20513.26911
"Korea, Rep.",364662.98756
Kuwait,21200.87404
Kyrgyz Republic,388850.60784
Latvia,196092.55995
Lebanon,26036.71036
Lesotho,11.79696
Libya,1276.77385
Lithuania,364942.76353
Luxembourg,13714.95228
"Macedonia, FYR",8866.00692
Malawi,1.80184
Malaysia,48465.542830000006
Mali,4608.857300000001
Malta,16248.26067
Mexico,16905.058549999998
Moldova,89595.34131
Mongolia,5837.04637
Montenegro,1736.5184
Morocco,17219.65191
Myanmar,204.65875
Nepal,162.00339
Netherlands,945396.6435
New Zealand,12468.32782
Niger,231.92096
Nigeria,473.5502
Norway,37126.27814
Occ.Pal.Terr,262.8
Oman,823.09607
"Other Asia, nes",66981.08406
Pakistan,18206.159639999998
Panama,11779.82442
Paraguay,2289.25085
Peru,307861.40311
Philippines,112545.00693
Poland,889423.11939
Portugal,58566.24452
Qatar,18158.6103
Romania,1585251.8007999999
Russian Federation,6157045.71398
Rwanda,75.85445999999999
San Marino,896.53214
Saudi Arabia,48804.83903
Senegal,371.71005
"Serbia, FR(Serbia/Montenegro)",35841.50523
Seychelles,924.49718
Singapore,121677.96266
Slovak Republic,55261.73274
Slovenia,144021.09255
Somalia,238.91022
South Africa,69183.63875
Spain,671064.30213
Sri Lanka,11040.90278
Sudan,1466.7459800000001
Sweden,88014.99267
Switzerland,560917.3517799999
Syrian Arab Republic,1818.32192
Tajikistan,44286.013060000005
Tanzania,19969.01322
Thailand,98995.97163999999
Togo,25.0
Tunisia,7756.604949999999
Turkey,8195039.18064
Turkmenistan,721756.25767
Uganda,43.58416
Ukraine,2883694.7150499998
United Arab Emirates,1092484.97129
United Kingdom,609436.10594
United States,3848361.57802
Uruguay,5233.5657200000005
Uzbekistan,498881.2228900001
Venezuela,274.40736
Vietnam,62232.78579
Zambia,1.36
Zimbabwe,61.44
