Partner,Value
Afghanistan,457.4375958003154
Albania,631.0876533900741
Algeria,153949.03246631174
American Samoa,211.7211755012883
Angola,39526.905386651
Antarctica,25.688100420243998
Antigua and Barbuda,136.5525910276391
Argentina,130674.98513948417
Armenia,425.9143126438766
Aruba,207.9447769838059
Australia,398343.3337695797
Austria,58902.32867864323
Azerbaijan,1363.4734253002155
"Bahamas, The",2148.1487374823478
Bahrain,2362.899040528191
Bangladesh,10937.118641430188
Barbados,153.2768912176232
Belarus,10662.793334503316
Belgium,3265194.321712204
Belize,1393.7024317667137
Benin,176728.1053801353
Bermuda,3.5242757993619
Bhutan,1.591363017913
Bolivia,322.9002942996875
Bosnia and Herzegovina,20.7863067090409
Botswana,371.8515885729936
Brazil,693008.7205093831
British Indian Ocean Ter.,3049.3273012130094
British Virgin Islands,19025.84160118852
Brunei,1778.4715748174985
Bulgaria,48895.96931324774
Burkina Faso,1623569.6287239287
Burundi,519.8697431288388
Cambodia,6295.609800612461
Cameroon,13274.35994557284
Canada,2251130.500035507
Cape Verde,1564.4233871695642
Central African Republic,1245.4075872423625
Chad,396.8271449443236
Chile,24743.74358148154
China,19926310.896163434
Christmas Island,3.92043289726
Colombia,19334.51882784067
"Congo, Rep.",8833.635592795414
Costa Rica,423.98762432079366
Cote d'Ivoire,619943.4219995633
Croatia,10571.623059782562
Cuba,404.96541818510923
Curaçao,2784.787237023648
Cyprus,2801.9996192379417
Czech Republic,27418.8019028476
Denmark,541106.1523803477
Djibouti,1087.5571126684094
Dominica,184.62240467108
Dominican Republic,1775.6732371765481
East Timor,2.1738694496465
Ecuador,761.7902481322726
"Egypt, Arab Rep.",303235.39338619896
Equatorial Guinea,8821.244998847349
Estonia,417623.2359266542
Ethiopia(excludes Eritrea),15303.936199605876
Faeroe Islands,4218.065215071683
Finland,196767.27082182944
Fr. So. Ant. Tr,92.0386975968124
France,2229570.02539965
French Polynesia,357.032757429987
Gabon,24977.980101127767
"Gambia, The",6514.996465498609
Georgia,923.8260520014534
Germany,2033734.543264203
Gibraltar,284.2842796286775
Greece,228154.25333205546
Greenland,125.3507394574065
Guatemala,64799.70557317124
Guinea,41348.57984934608
Guinea-Bissau,29511.771704759616
Guyana,785.6565595625565
Haiti,104.8736209746978
Honduras,2907.851343201657
"Hong Kong, China",1208840.5695915003
Hungary,14541.77756623757
Iceland,596.3012328455875
India,10629318.76938803
Indonesia,550672.1555914177
"Iran, Islamic Rep.",1089.458249815723
Iraq,2861.4678984999737
Ireland,212089.23368201332
Israel,93825.29641131568
Italy,2255430.6586055225
Jamaica,80335.15031755541
Japan,2101488.177427329
Jordan,12946.140179070931
Kazakhstan,154.933813308095
Kenya,29882.173746152734
Kiribati,2.428508494431
"Korea, Dem. Rep.",36234.97416925991
"Korea, Rep.",1337438.8712064668
Kuwait,46784.367060651115
Kyrgyz Republic,70.7737405203905
Lao PDR,10.221758176699
Latvia,84468.55943637644
Lebanon,97842.65359142583
Lesotho,63.578959926145004
Liberia,67712.7193348992
Libya,1119.1643884417817
Lithuania,28307.48047846442
Luxembourg,7224.588004944978
Macao,119.3363389077032
Madagascar,26814.173188124252
Malawi,51.2677066538064
Malaysia,1625467.4636623412
Maldives,9.2277543001872
Mali,229548.50010523782
Malta,103011.76841919181
Marshall Islands,1614.6739567348186
Mauritania,340432.4761701084
Mauritius,38211.20781532216
Mexico,101544.1472474723
Moldova,79.5164382376116
Morocco,286235.0785183969
Mozambique,10183.83764633648
Myanmar,402.6979091643488
Namibia,8626.31812903683
Netherlands,4949177.7155134315
New Zealand,111873.65445166752
Nicaragua,62479.90704956403
Niger,222403.92911424724
Nigeria,1141803.4373735555
Norfolk Island,92.6507593097284
Norway,237237.78753353265
Oman,25521.249429287225
"Other Asia, nes",101551.26932322283
Pakistan,173369.8434800125
Panama,35833.24140653492
Paraguay,784.5282154977839
Peru,4736.722507410885
Philippines,25792.6168831968
Poland,341544.8337327576
Portugal,355409.51269021153
Qatar,58536.6739597114
Romania,10956.343565834251
Russian Federation,637623.8473046352
Rwanda,3979.837853892153
San Marino,319.0605930098974
Sao Tome and Principe,0.35307758275800005
Saudi Arabia,451029.7766809153
Senegal,363846.3996920582
"Serbia, FR(Serbia/Montenegro)",1664.4221570672314
Seychelles,1811.6022613942368
Sierra Leone,280894.41082051734
Singapore,347666.19008234626
Slovak Republic,2877.724677144494
Slovenia,51191.074893511424
Somalia,15.4047422265932
South Africa,8500843.32180801
South Georgia and the South Sa,171.9897499076361
Spain,1299744.5757644572
Sri Lanka,20762.168863422958
St. Lucia,333.5653092487528
St. Vincent and the Grenadines,3170.6211905961554
Sudan,212.9947062900284
Suriname,8844.725526125583
Swaziland,1103.044458847575
Sweden,340660.1304233975
Switzerland,7797473.64534419
Syrian Arab Republic,724.6826582212974
Tanzania,23630.99941137741
Thailand,910052.4368918928
Togo,945402.59546758
Tokelau,65.2862508611079
Trinidad and Tobago,571.5872987151615
Tunisia,121224.15427653264
Turkey,2350895.7048176113
Turkmenistan,27.6582378390984
Turks and Caicos Isl.,331.61733982533644
Uganda,810.2096381748208
Ukraine,701089.2644969317
United Arab Emirates,4116440.6864196975
United Kingdom,4644588.036423059
United States,7451656.893739486
Unspecified,102722.45389585094
Uzbekistan,3517.015067469735
Vietnam,1702985.0729481864
Yemen,680.1960728136796
Zambia,4737.630807928441
Zimbabwe,113.7588087789592
