Partner,Value
Afghanistan,6791.475322975
Albania,3320533.9371253
Algeria,2550411.262544775
Andorra,1277.6209943
Angola,10081.87318565
Anguila,0.89558
Antarctica,72818.48472762501
Antigua and Barbuda,46937.327649449995
Argentina,749037.70663435
Armenia,65887.9146359
Aruba,764.748076225
Australia,1005068.39180755
Austria,4185430.9901817
Azerbaijan,1410833.011483
BLM,837.8643469
"Bahamas, The",245284.98234362502
Bahrain,57367.81206695
Bangladesh,594834.520076475
Barbados,47261.692172275
Belarus,81216.0081425
Belgium,10802144.511169204
Belize,10705.558456075
Benin,10213.730548525
Bermuda,30874.991760375
Bhutan,7.724377499999999
Bolivia,8431.347232525
Bonaire,3.0225825
Bosnia and Herzegovina,353429.536210625
Botswana,13370.7496818
Brazil,1221817.354123625
British Indian Ocean Ter.,61.9875697
British Virgin Islands,33680.492385225
Brunei,1785.5323991750001
Bulgaria,16350903.562102553
Bunkers,5680.343770150001
Burkina Faso,13744.7886688
Burundi,1168.8304137999999
Cambodia,110430.428900575
Cameroon,39583.8837128
Canada,1122079.46978225
Cape Verde,1804.626164775
Cayman Islands,85706.37685505
Central African Republic,806.674653925
Chad,735.9025639
Chile,304779.955876025
China,25232770.891894307
Colombia,143328.99150727497
Comoros,18716.3144532
"Congo, Dem. Rep.",12859.946673
"Congo, Rep.",724693.570819575
Cook Islands,11467.428362075
Costa Rica,79391.4161411
Cote d'Ivoire,125834.94784595
Croatia,1208401.908282975
Cuba,68783.247532125
Curaçao,6565.893274149999
Cyprus,11255759.758663876
Czech Republic,3644334.5837512254
Denmark,3548665.725719275
Djibouti,10786.702481975
Dominica,2443.671751675
Dominican Republic,54973.2438472
Ecuador,622922.324703525
"Egypt, Arab Rep.",8267404.755640445
El Salvador,24758.118789250002
Equatorial Guinea,1033.2933366000002
Eritrea,2863.430097675
Estonia,238099.26486832503
Ethiopia(excludes Eritrea),63829.888588025
Faeroe Islands,2484.5639344749998
Falkland Island,22.333526250000002
Fiji,315.8352428
Finland,1350314.1560403248
France,17665215.003609776
French Polynesia,2922.623457775
Gabon,230180.38642340002
"Gambia, The",2073.714370525
Georgia,408232.68926527497
Germany,41848585.01973399
Ghana,134653.2651212
Gibraltar,2181358.0253785253
Greenland,6.7504342500000005
Grenada,502.92414375
Guam,37.637868974999996
Guatemala,54783.4928347
Guinea,12185.51895925
Guinea-Bissau,471.1019474
Guyana,21649.557250825
Haiti,3678.2657243500003
Heard Island and McDonald Isla,38.4382936
Holy See,17.35857935
Honduras,12945.95593725
"Hong Kong, China",642888.6303885499
Hungary,3573538.6455503
Iceland,27007.275042825
India,2444897.5096315
Indonesia,1363622.8834487
"Iran, Islamic Rep.",210797.107796275
Iraq,20750868.61875964
Ireland,5485030.880082775
Israel,3541781.3205376
Italy,39614891.660128206
Jamaica,8979.639220125002
Japan,1796855.2215928999
Jordan,257441.558396225
Kazakhstan,7242837.52739889
Kenya,66524.599250025
"Korea, Dem. Rep.",432.3502008
"Korea, Rep.",4154042.58367735
Kuwait,142992.226559875
Kyrgyz Republic,4342.29351535
Lao PDR,1507.1223251
Latvia,201795.5738841
Lebanon,5484436.808284541
Lesotho,0.5060027
Liberia,827719.269275325
Libya,4500868.07378635
Lithuania,408191.92806105
Luxembourg,321373.622586975
Macao,4551.83236795
"Macedonia, FYR",4811759.058974
Madagascar,13302.6945576
Malawi,13473.29583075
Malaysia,543574.8748235749
Maldives,3432.9182249250002
Mali,5221.5135076999995
Malta,1611555.692841325
Marshall Islands,556262.0036629251
Mauritania,141889.890722125
Mauritius,120756.49652639999
Mexico,857053.5320711001
Moldova,261376.9708865
Mongolia,4589.797123625
Montenegro,692064.0079801001
Montserrat,875.9891875
Morocco,592026.0606792
Mozambique,344845.5373671
Myanmar,58655.53520365
Namibia,26479.823201825
Nepal,1829.0721403500002
Netherlands,16877752.972184476
New Caledonia,2718.3674077
New Zealand,286628.524029925
Nicaragua,6569.781210825001
Niger,1469.974786175
Nigeria,677148.988434275
Northern Mariana Islands,0.08396062500000001
Norway,1556719.71789915
Occ.Pal.Terr,5285.8833202000005
Oman,76855.1962717
"Other Asia, nes",682497.18733035
Pakistan,545820.15769365
Palau,2966.8841408499998
Panama,899810.2900415999
Papua New Guinea,4400.975275375
Paraguay,112073.55512395
Peru,120510.233296425
Philippines,75811.56570295
Pitcairn,2169.99257895
Poland,6287012.085813375
Portugal,1838108.5358331501
Qatar,588589.7258165749
Romania,8761111.153435195
Russian Federation,19353576.83173092
Rwanda,2701.99844425
Saint Helena,69.2238561
Saint Maarten (Dutch part),900.9657942250001
Samoa,346.4775125
San Marino,26063.800543900004
Saudi Arabia,7489670.216394801
Senegal,66151.9181862
"Serbia, FR(Serbia/Montenegro)",2508453.73024155
Seychelles,4447.06741955
Sierra Leone,19723.986365474997
Singapore,821727.0285754249
Slovak Republic,1617997.37476685
Slovenia,3332770.350776475
Solomon Islands,711.82265665
