Partner,Value
Afghanistan,1.1288889792
Andorra,217.4489062848
Anguila,1094.3597171784
Antigua and Barbuda,5391.5359868784
Argentina,2465.9720491296002
Aruba,47.6007445488
Australia,1515.8804916408
Austria,219.4526101488
Azerbaijan,0.9096297024
"Bahamas, The",399.2566986072
Bahrain,1.359259368
Bangladesh,130.3492696872
Barbados,101453.85700519681
Belgium,3805.6710451944
Belize,714.9282053424
Bermuda,168.19742086320002
Brazil,22348.505861954403
British Virgin Islands,192.9337191384
Cambodia,451.51966575119997
Cameroon,2.7444446639999995
Canada,34078.27791144719
Cayman Islands,138338.7736596936
Chad,0.548148192
Chile,2057.1886830936
China,65526.678575467195
Colombia,5377.8482080056
"Congo, Dem. Rep.",104.7585268992
Costa Rica,9252.322221667198
Curaçao,7653.415427088
Cyprus,227.2514996616
Czech Republic,236.1133522224
Denmark,3905.2732753848
Dominica,1789.7845876272
Dominican Republic,13237.4721701088
Ecuador,222.53112891359999
"Egypt, Arab Rep.",124.1570469696
El Salvador,103.735193484
Estonia,3.7733336352
Finland,9458.955941901599
France,10867.4882768064
Germany,18689.531124792
Gibraltar,221.5348325376
Greece,671.077831464
Guatemala,3157.155808128
Guyana,21277.0613317944
Haiti,5.3214819072
Honduras,2221.2357332544
"Hong Kong, China",7348.552439736
Hungary,948.9341499888001
Iceland,179.3433476808
India,14030.4203816928
Indonesia,3305.3384125752
"Iran, Islamic Rep.",8.1392599104
Ireland,6363.8427313296
Israel,7.8862969272
Italy,6943.034999887201
Jamaica,27343.026631886394
Japan,52457.5512336408
Kenya,6.124074564
"Korea, Dem. Rep.",3322.7143398912
"Korea, Rep.",8661.7095818256
Kuwait,0.4118518848
Latvia,20.4911127504
Lebanon,0.607407456
Liberia,884.587107804
Lithuania,867.9578472144
Luxembourg,356.70373224
Malaysia,1567.2960513096
Malta,51.851856
Mauritius,35.035558358399996
Mexico,16469.9342805576
Montserrat,1.1414815727999998
Morocco,622.222272
Netherlands,31432.897329446398
New Zealand,12817.7532476424
Nicaragua,373.6226224824
Niger,43.8325960992
Nigeria,4.3496299776
Norway,1205.1034297416002
"Other Asia, nes",1389.5849259816
Pakistan,848.7508086408
Panama,27921.106307762402
Paraguay,21182.562805716003
Peru,922.1045182128
Poland,71.5118575728
Portugal,13.3603714392
Qatar,3.503703984
Romania,33.7048175112
Russian Federation,577.2489350688
Sao Tome and Principe,3.955555872
Saudi Arabia,32.5637063088
Singapore,792.5415448848
Slovenia,0.6955556112
South Africa,5405.7752472768
Spain,13770.324805329601
Sri Lanka,0.62962968
St. Kitts and Nevis,668.9796831479999
St. Lucia,14393.4574477728
St. Vincent and the Grenadines,21860.143971033598
Suriname,1937.9508957767998
Swaziland,363.1970660928
Sweden,476.58855664559997
Switzerland,1810.3942189056
Thailand,19111.8963437664
Tokelau,161.36112401999998
Trinidad and Tobago,390918.9205327706
Turkey,11354.4460935408
Turks and Caicos Isl.,468.977815296
Uganda,66.5933386608
Ukraine,272.6174292168
United Arab Emirates,2948.690976636
United Kingdom,92298.0040505064
United States,824207.5540847466
Unspecified,67868.9002443264
Uruguay,1.2151852824
Venezuela,920.4393328944
Vietnam,615.9341233488
Zambia,286.50372662399997
