Partner,Value
Afghanistan,6744.948
Albania,79.508
Algeria,495.48499999999996
Andorra,735.359
Angola,801.9770000000001
Antigua and Barbuda,1694.144
Argentina,706009.9010000001
Aruba,3736.14
Australia,69299.462
Austria,43528.565
"Bahamas, The",28712.433
Bahrain,11249.809000000001
Bangladesh,210919.10199999998
Barbados,46694.844
Belarus,117.068
Belgium,1345845.367
Belize,456993.86799999996
Benin,5000.937
Bermuda,1113.648
Bolivia,25460.673000000003
Bosnia and Herzegovina,37.555
Brazil,1561554.4740000002
British Virgin Islands,4605.3
Bulgaria,33718.155
Burkina Faso,1.21
Cambodia,2638.093
Cameroon,6043.009
Canada,1308155.37
Cayman Islands,248.291
Central African Republic,1.7000000000000002
Chile,956613.744
China,11030593.966
Colombia,2732586.4919999996
Comoros,9.0
"Congo, Rep.",80544.58899999999
Costa Rica,4863637.393999999
Cote d'Ivoire,62238.22
Croatia,20523.827
Cuba,110965.217
Curaçao,8756.533
Cyprus,2924.242
Czech Republic,13912.242
Denmark,40058.416
Djibouti,1189.664
Dominica,2122.759
Dominican Republic,865462.1799999999
Ecuador,605939.2730000002
"Egypt, Arab Rep.",127591.695
El Salvador,10395791.269000001
Equatorial Guinea,79.184
Eritrea,4.98
Estonia,162179.591
Ethiopia(excludes Eritrea),356.2
Finland,194154.119
France,485390.846
Gabon,94.44
"Gambia, The",9068.508
Georgia,965.969
Germany,1761720.948
Ghana,72380.37
Gibraltar,6.528
Greece,66190.716
Grenada,2514.945
Guinea,35110.16
Guinea-Bissau,0.976
Guyana,28417.401
Haiti,167212.301
Heard Island and McDonald Isla,119.17999999999999
Honduras,6474470.865
"Hong Kong, China",1356272.489
Hungary,9199.226
Iceland,605.309
India,1537639.597
Indonesia,218598.116
"Iran, Islamic Rep.",191.54
Iraq,32287.283
Ireland,157295.24
Israel,169704.311
Italy,1356341.98
Jamaica,147653.628
Japan,1891746.517
Jordan,84134.184
Kenya,10890.937
"Korea, Dem. Rep.",1479.57
"Korea, Rep.",1461786.3399999999
Kuwait,73188.025
Latvia,57017.152
Lebanon,14268.994
Lesotho,38.872
Liberia,7.14
Libya,6367.914
Lithuania,129463.571
Luxembourg,61827.481
Macao,1376.652
Madagascar,782.772
Malaysia,346201.765
Mali,46.778
Malta,105.953
Marshall Islands,170.924
Mauritania,223248.665
Mauritius,455.61199999999997
Mexico,12117139.304
"Micronesia, Fed. Sts.",61.83
Mongolia,40.704
Montserrat,113.004
Morocco,28321.151
Mozambique,312.19
Myanmar,3036.0229999999997
Namibia,70.39
Nauru,1.1
Nepal,6932.28
Netherlands,1680494.247
New Zealand,232079.79200000002
Nicaragua,3090339.0100000002
Niger,151.4
Nigeria,51729.534
Norway,137407.427
Oman,24056.902
"Other Asia, nes",831223.051
Pakistan,180690.85199999998
Panama,4169696.693999999
Paraguay,71343.481
Peru,616846.464
Philippines,28001.122
Poland,96306.509
Portugal,92110.498
Qatar,47045.887
Romania,17699.876
Russian Federation,514914.755
Rwanda,1256.04
Saint Pierre and Miquelon,178.6
Sao Tome and Principe,342.18
Saudi Arabia,978617.1120000001
Senegal,82047.063
"Serbia, FR(Serbia/Montenegro)",312.12
Seychelles,11027.664
Singapore,137499.943
Slovak Republic,1254.328
Slovenia,2610.134
Somalia,213.392
South Africa,45943.157
Spain,1858045.1819999998
Sri Lanka,49186.916
St. Kitts and Nevis,2456.99
St. Lucia,5389.263999999999
St. Vincent and the Grenadines,3728.215
Sudan,4068.42
Suriname,24094.428
Swaziland,22655.692
Sweden,198072.58899999998
Switzerland,123742.88799999999
Syrian Arab Republic,54276.712
Tanzania,12363.387999999999
Thailand,542810.94
Togo,40905.084
Trinidad and Tobago,125010.01199999999
Tunisia,1565.8100000000002
Turkey,294163.56700000004
Tuvalu,3.84
Uganda,1061.901
Ukraine,84143.22
United Arab Emirates,637005.9309999999
United Kingdom,821130.9309999999
United States,49022060.529
Unspecified,2321.541
Uruguay,474766.286
Vanuatu,68.744
Venezuela,186270.83000000002
Vietnam,598577.359
Wallis and Futura Isl.,2142.172
Yemen,660.0
