Partner,Value
Andorra,467.61885822973437
Angola,210.33134740224
Anguila,362.32047737134076
Antigua and Barbuda,13874.816000735575
Argentina,7917.340284937348
Armenia,29.399981184
Aruba,1741.8044583859198
Australia,20666.72461482255
Austria,3565.9436754924277
"Bahamas, The",705.5524778466047
Bahrain,1083.18982953984
Bangladesh,1701.0939190689794
Barbados,169712.87921726095
Belarus,456.8397076224
Belgium,260597.64864905283
Belize,8621.961626497372
Bermuda,697.8395533824
Bolivia,0.65929933824
Bosnia and Herzegovina,41.197187782464
Bouvet Island,0.40287744
Brazil,155525.5228027385
British Indian Ocean Ter.,600.20535207936
British Virgin Islands,35333.65916011273
Bulgaria,996.107640860008
Cambodia,899.999424
Canada,1950880.1288606666
Cape Verde,57.3505442068992
Cayman Islands,4122.294795398709
Central African Republic,4.79869237248
Chile,22490.240756836225
China,1063997.03789134
Colombia,79399.42105172406
"Congo, Rep.",25.668712588800002
Costa Rica,56750.72309275144
Cote d'Ivoire,604.31616
Croatia,2317.31517878784
Cuba,62715.87606876802
Curaçao,17231.008403994096
Cyprus,2951.10755493504
Czech Republic,2372.4669490062724
Denmark,11814.545837966409
Dominica,12312.62623358323
Dominican Republic,108488.58705714003
Ecuador,1682.75219881728
"Egypt, Arab Rep.",8247.667635638012
El Salvador,10668.171129680257
Estonia,313.9145233152
Ethiopia(excludes Eritrea),57.599963136
Finland,16073.834952547208
Fr. So. Ant. Tr,6.249995999999999
France,98568.02277220452
French Polynesia,1493.007767927656
Gabon,288.23777715840004
"Gambia, The",991.06937051136
Georgia,4.49613141504
Germany,102465.37142547767
Ghana,3501.6514807641597
Greece,5091.556823895558
Grenada,12814.718549749938
Guam,1214.5945703808
Guatemala,22278.88443809956
Haiti,3356.06151638784
Holy See,2.190267423168
Honduras,8178.065629296037
"Hong Kong, China",84064.4501196288
Hungary,1642.52872815744
Iceland,2188.454990371125
India,114105.6548245165
Indonesia,17442.165636239453
"Iran, Islamic Rep.",705.57850286592
Iraq,419.9997312
Ireland,7999.5773532648145
Israel,30106.411691308644
Italy,109062.50901342678
Jamaica,204284.53377834233
Japan,331660.8624843463
Jordan,1723.524512291328
Kenya,241.280456611584
"Korea, Rep.",86923.57882000114
Kuwait,356.291162381184
Latvia,131.702073984
Lebanon,215.99986176
Liberia,219.72421429248
Lithuania,2969.4771403008
Luxembourg,6895.277121792
"Macedonia, FYR",1.9473368831999998
Madagascar,2.4653461439999997
Malaysia,16922.118672379092
Malta,167.038307483904
Marshall Islands,172.88528503679998
Mauritania,61.5637016064
Mauritius,1468.37773649664
Mexico,221230.74996551484
"Micronesia, Fed. Sts.",25.815594988799997
Montserrat,215.76596488331518
Morocco,278.436853934592
Namibia,574.97161283328
Netherlands,265647.2243291688
New Caledonia,58.53997212672
New Zealand,39941.90954238935
Nicaragua,480.36829688064
Niger,210.29232584448
Nigeria,237.85081180416003
Norway,20879.121865267127
Oman,41.23977216768
"Other Asia, nes",14563.417921516877
Pakistan,2582.9394271095553
Panama,196356.59541395295
Peru,48446.896851951795
Philippines,1595.6833926708482
Pitcairn,56.55668322816
Poland,32944.59695880176
Portugal,106101.23922772938
Qatar,11.149992864
Romania,1459.32898113677
Russian Federation,6387.9080939904
Saint Pierre and Miquelon,32.4880367616
Saudi Arabia,920.078709566516
"Serbia, FR(Serbia/Montenegro)",491.30547453312
Sierra Leone,8.3665893696
Singapore,4924626.072454177
Slovak Republic,2412.083980725695
Slovenia,17305.36742019325
Somalia,0.6893052183168
South Africa,15228.861345992522
Spain,49049.19108782615
Sri Lanka,979.58104213248
St. Kitts and Nevis,4325.397484981248
St. Lucia,79122.57056957998
St. Vincent and the Grenadines,15771.229223481165
Sudan,0.197002272
Suriname,454394.5760275731
Swaziland,5994.41582304384
Sweden,18164.815793455313
Switzerland,146044.09282630106
Syrian Arab Republic,464.3927003904
Tanzania,367.799764608
Thailand,33355.95439999327
Togo,187.4295802848
Tokelau,238.40909442048002
Tonga,0.067199956992
Trinidad and Tobago,4634343.617320681
Tunisia,132.86994374016
Turkey,179583.6939361466
Turks and Caicos Isl.,1271.622647360026
Uganda,37.538714584320005
Ukraine,216184.9094418573
United Arab Emirates,659663.1050622489
United Kingdom,527051.2949098807
United States,5021952.359392171
United States Minor Outlying I,467.6216808658178
Uruguay,26822.778444585856
Venezuela,394275.58221320214
Vietnam,14925.583727620298
Wallis and Futura Isl.,0.02064267264
Zimbabwe,103.11743999999999
