Partner,Value
Afghanistan,7465.247278375001
Albania,24640.1509352425
Algeria,882540.8558558009
American Samoa,2019.8492633575001
Andorra,3199.5816767275
Angola,254528.2439479825
Argentina,2650431.6938039563
Armenia,205533.7082881975
Aruba,16360.660872152499
Australia,35796115.085258454
Austria,5555172.39298603
Azerbaijan,282461.18914765754
"Bahamas, The",10942.9475594975
Bahrain,742034.2210025049
Bangladesh,7366034.77675102
Barbados,49565.2935705775
Belarus,417743.34936203505
Belgium,21849172.05318942
Belize,3468.343748875
Benin,22805.4638168975
Bhutan,18527.6238886025
Bolivia,134248.1562661375
Bosnia and Herzegovina,73469.7057538475
Botswana,1369208.0315415266
Brazil,18213951.268464867
Brunei,188036.20252257749
Bulgaria,889686.8751045065
Burkina Faso,231426.76751131
Burundi,9917.192551222499
Cambodia,5683280.98286486
Cameroon,352301.47425839247
Canada,22231033.140433244
Cape Verde,5491.3007535925
Central African Republic,9311.657212652499
Chad,105423.58524112501
Chile,9441132.15486443
China,2680546905.400211
Colombia,3721912.372648881
Comoros,4048.3988497775
"Congo, Dem. Rep.",245623.88104940002
"Congo, Rep.",113283.2784312875
Costa Rica,1379947.0178773217
Cote d'Ivoire,115033.8580877
Croatia,368390.56228296
Cuba,228946.0592958425
Cyprus,198670.99197720748
Czech Republic,10237006.35147075
Denmark,3528440.3417647583
Djibouti,16556.4878840225
Dominican Republic,959557.795434203
East Timor,7024.10242243
Ecuador,624813.3653546474
"Egypt, Arab Rep.",5853270.862349718
El Salvador,846349.4058871199
Equatorial Guinea,7000.835837917501
Estonia,502795.7585189575
Ethiopia(excludes Eritrea),1188169.0349046993
Fiji,84659.4677278425
Finland,1870431.2012112876
France,50804847.995024264
Gabon,65282.9261036
"Gambia, The",9881.19943914
Georgia,152540.62959689
Germany,74140717.01803961
Ghana,846387.4983070774
Gibraltar,5278.1231216575
Greece,961194.1422416349
Greenland,67.1440333625
Grenada,4634.4577159675
Guam,452145.7418494975
Guatemala,1056380.694975955
Guinea,98929.99769942
Guinea-Bissau,4420.884342165
Guyana,79506.3057479225
Haiti,110632.93784438251
Holy See,47.94487381
Honduras,434339.70929205255
Hungary,9558908.038928105
Iceland,46055.062567765
India,112088179.18738747
Indonesia,27917776.681762844
"Iran, Islamic Rep.",622842.10058401
Iraq,243500.80671214
Ireland,4647519.069871342
Israel,16015697.288777875
Italy,43441493.30981743
Jamaica,63118.3772273975
Japan,230800411.49948964
Jordan,1345691.5662212395
Kazakhstan,937356.9708257924
Kenya,980208.896293278
Kiribati,4404.2844958525
"Korea, Dem. Rep.",5479.80050258
"Korea, Rep.",172824374.52793306
Kuwait,1117783.9764651975
Kyrgyz Republic,173877.9890956025
Lao PDR,134976.1086915825
Latvia,570999.3295390975
Lebanon,636225.4017912125
Lesotho,47718.3105061075
Liberia,12347.4268968825
Libya,107515.7073575525
Lithuania,1369196.01443964
Luxembourg,1854741.016777784
Macao,34757226.77029118
"Macedonia, FYR",83178.920831025
Madagascar,158515.20148794248
Malawi,171554.721058475
Malaysia,123119430.04824875
Maldives,86631.84481261
Mali,54421.161012935
Malta,1057844.0717038545
Marshall Islands,1800.74979657
Mauritania,31940.207186415
Mauritius,265276.69784325
Mexico,28137524.488202207
"Micronesia, Fed. Sts.",10741.7470851725
Moldova,117412.3924146125
Mongolia,207346.4467279525
Montenegro,24623.8973152075
Morocco,1474912.2652763666
Mozambique,273978.5828163325
Myanmar,1653586.9734001926
Namibia,209870.4556887875
Nauru,843.2955466775
Nepal,891806.091692359
Netherlands,53603467.25678617
New Zealand,6491454.496484848
Nicaragua,221414.8654191075
Niger,15908.91546857
Nigeria,3744818.4564836533
Northern Mariana Islands,199633.644087875
Norway,1519078.18672139
Oman,1042361.0682835749
"Other Asia, nes",263407130.90884155
Pakistan,4174682.7757440526
Panama,1123190.80221846
Papua New Guinea,272528.32210461504
Paraguay,1251106.3731808881
Peru,2660127.5133826258
Philippines,69408115.17829765
Pitcairn,5.44467302
Poland,9115607.083278721
Portugal,2090950.4274899191
Qatar,4152787.876444734
Romania,2169797.834131179
Russian Federation,21032861.040948223
Rwanda,327159.475927155
Samoa,11748.3926489975
San Marino,2780.6034700625
Sao Tome and Principe,2673.22725412
Saudi Arabia,9507279.527711533
Senegal,1015334.05368243
"Serbia, FR(Serbia/Montenegro)",641395.7317705565
Seychelles,17944.0224249925
Sierra Leone,21599.7668574475
Singapore,230858669.4840859
Slovak Republic,1233529.0884837036
Slovenia,1564148.27228351
Solomon Islands,27216.3920798
Somalia,38466.043415135
South Africa,12716660.398531701
South Sudan,10966.137318275
Spain,14298697.429375157
Sri Lanka,2926207.163179896
Sudan,24788.901893242502
Suriname,87177.750874305
Swaziland,4625.2414353525
Sweden,4488173.139459565
Switzerland,64503548.80682124
Syrian Arab Republic,4206.0386218875
Tajikistan,2731.1659819725
Tanzania,755033.4328408975
Thailand,96450636.4917697
Togo,2133128.0944465306
Tokelau,105.21884210500001
Tonga,3449.1805774575
Trinidad and Tobago,93157.40334565
Tunisia,1000883.742302492
Turkey,8828717.159526007
Turkmenistan,14145.429982
Tuvalu,610.0352592375
Uganda,314796.9975670875
Ukraine,1442538.1925362065
United Arab Emirates,53580050.69618769
United Kingdom,78806423.23711514
United States,307247465.83789766
United States Minor Outlying I,1.198328325
Unspecified,653253.134011877
Uruguay,780285.62709674
Uzbekistan,174976.8643371475
Vanuatu,19551.4329852375
Venezuela,102550.8092659825
Vietnam,97413080.39818682
Yemen,56115.769675727504
Zambia,424827.73203820747
Zimbabwe,170784.0166429125
