Partner,Value
Afghanistan,21.99326
Albania,757.59666
Algeria,521.77656
American Samoa,1.70414
Andorra,2774.3923999999997
Angola,3171.5087700000004
Anguila,6.58811
Antarctica,4.1008
Antigua and Barbuda,3056.69852
Argentina,405018.48193
Armenia,26.660849999999996
Aruba,3383.97531
Australia,133753.57364
Austria,55726.86922
"Bahamas, The",2458.3982300000002
Bahrain,6410.39219
Bangladesh,46586.34352
Barbados,1712.96354
Belarus,25912.60547
Belgium,560861.17448
Belize,38840.53854
Bermuda,36.13396
Bhutan,1.7241
Bolivia,2661.7436900000002
Bosnia and Herzegovina,320.50066
Br. Antr. Terr,3.8604399999999996
Brazil,673373.8419000001
British Virgin Islands,203.80971
Bulgaria,13096.86388
Cambodia,20183.87761
Cameroon,3.5333900000000003
Canada,332679.21889
Cape Verde,5.4739
Cayman Islands,2078.40092
Central African Republic,16.63075
Chad,0.05208
Chile,202229.69973999998
China,6793365.640909999
Cocos (Keeling) Islands,94.32871
Colombia,612856.1176199999
Comoros,0.1311
"Congo, Dem. Rep.",47.00485
"Congo, Rep.",0.0959
Costa Rica,1735992.3229999999
Cote d'Ivoire,2486.36128
Croatia,72.72956
Cuba,81563.81664
Curaçao,8122.80048
Cyprus,1460.87037
Czech Republic,34576.32483
Denmark,70596.50647000001
Dominica,34.15621
Dominican Republic,162741.06385
Ecuador,551493.04646
"Egypt, Arab Rep.",7639.42796
El Salvador,2606718.32756
Estonia,8517.12267
Ethiopia(excludes Eritrea),144.5282
Fiji,67.43636
Finland,68139.06979
France,402354.06085999985
Gabon,0.4091
"Gambia, The",1842.424
Georgia,788.23498
Germany,1647249.8125400003
Ghana,32609.97727
Gibraltar,29.164
Greece,27061.085720000003
Greenland,7.68868
Grenada,3464.0828
Guam,0.9224
Guatemala,2568225.82371
Guinea,3.38968
Guyana,5641.979359999999
Haiti,55086.267459999995
Heard Island and McDonald Isla,0.24025000000000002
"Hong Kong, China",22436.64926
Hungary,26626.09517
Iceland,264.38897000000003
India,681367.03022
Indonesia,120545.12462
"Iran, Islamic Rep.",507.27129
Iraq,0.23476
Ireland,83539.7
Israel,81027.22083
Italy,493554.62077000004
Jamaica,23008.834
Japan,845343.65894
Jordan,7120.976909999999
Kazakhstan,218.97758000000002
Kenya,2159.0922800000003
"Korea, Dem. Rep.",37899.678830000004
"Korea, Rep.",513880.54747
Kuwait,134.85398
Kyrgyz Republic,0.475
Lao PDR,285.89539
Latvia,6245.61147
Lebanon,750.1798600000001
Lesotho,45.7953
Liberia,2.76565
Libya,0.32588
Lithuania,15098.963189999999
Luxembourg,5649.82232
Macao,44.82115
"Macedonia, FYR",39.3368
Madagascar,427.31871
Malawi,14.6995
Malaysia,126204.06933000001
Maldives,1.9388
Mali,4.63037
Malta,275.9928
Mauritania,1.7421
Mauritius,840.6211599999999
Mexico,3566941.18867
Moldova,55.8357
Mongolia,1.8042
Montserrat,0.22444999999999998
Morocco,17276.62247
Mozambique,2.43245
Myanmar,2485.46922
Namibia,6.148160000000001
Nauru,19.272199999999998
Nepal,15.64296
Netherlands,502716.80844
New Caledonia,5.04682
New Zealand,14917.7023
Nicaragua,863513.2350400002
Niger,1.6183
Nigeria,2906.30684
Niue,6.8309
Norway,18710.65284
Occ.Pal.Terr,9.51988
Oman,1938.55275
"Other Asia, nes",478029.12223000004
Pakistan,20087.1357
Panama,225701.19042
Paraguay,42694.21449
Peru,305254.18574
Philippines,35511.59474
Pitcairn,0.6832
Poland,32071.03263
Portugal,62923.151480000015
Qatar,36.4
Romania,30795.117469999997
Russian Federation,533588.14116
Rwanda,327.1528
Samoa,2.38676
San Marino,696.1143
Sao Tome and Principe,0.7818
Saudi Arabia,8907.39968
Senegal,23.67608
"Serbia, FR(Serbia/Montenegro)",1314.05735
Seychelles,4.8257
Sierra Leone,55.097449999999995
Singapore,31406.498480000002
Slovak Republic,7702.65655
Slovenia,9463.46156
Somalia,3.4356
South Africa,31128.45866
Spain,593105.87921
Sri Lanka,14774.925710000001
St. Kitts and Nevis,792.61083
St. Lucia,6765.935420000001
St. Vincent and the Grenadines,182.5248
Sudan,99.14049999999999
Suriname,1606.0819900000001
Swaziland,27.80783
Sweden,229446.23203
Switzerland,142932.23192
Syrian Arab Republic,446.43870000000004
Tajikistan,0.033999999999999996
Tanzania,1572.4003699999998
Thailand,392067.88719000004
Togo,12.30648
Tokelau,120.18749
Trinidad and Tobago,42515.20978999999
Tunisia,1937.03888
Turkey,113224.40941
Uganda,130.47174
Ukraine,8762.85722
United Arab Emirates,9855.89736
United Kingdom,254342.22303
United States,18233790.58321
United States Minor Outlying I,1.5888499999999999
Unspecified,2384982.23599
Uruguay,280445.24607000005
Venezuela,2481.59399
Vietnam,329586.50577
Western Sahara,2.4
Zambia,104.404
Zimbabwe,121.12552
