Partner,Value
Afghanistan,1875.95
Albania,416734.382
Algeria,57482.59
American Samoa,78.52000000000001
Andorra,352.22499999999997
Angola,232.82799999999997
Anguila,0.164
Antigua and Barbuda,114.17999999999999
Argentina,49687.941
Armenia,4261.606
Aruba,16.548
Australia,117643.686
Austria,12636326.751999997
Azerbaijan,1789058.078
BLM,4.936
"Bahamas, The",906.8059999999999
Bahrain,32649.25
Bangladesh,97477.178
Barbados,81.751
Belarus,155519.756
Belgium,3717345.209
Benin,701.576
Bermuda,4714.962
Bhutan,2.576
Bolivia,641.2529999999999
Bosnia and Herzegovina,10519870.906
Botswana,22.445
Brazil,262361.986
British Virgin Islands,9101.956
Brunei,7.430999999999999
Bulgaria,1299390.15
Bunkers,61928.248
Burkina Faso,2120.875
Burundi,1.568
Cambodia,16758.376
Cameroon,13304.443000000001
Canada,295169.61
Cape Verde,135.38400000000001
Cayman Islands,7836.035
Central African Republic,10.57
Chad,343.624
Chile,48006.535
China,4251510.3379999995
Christmas Island,0.10500000000000001
Cocos (Keeling) Islands,2.561
Colombia,26930.599000000002
Comoros,1615.3310000000001
"Congo, Dem. Rep.",1278.534
"Congo, Rep.",706.539
Costa Rica,4258.347000000001
Cote d'Ivoire,9094.342
Cuba,15777.228
Curaçao,0.14
Cyprus,105191.02799999999
Czech Republic,4493064.2009999985
Denmark,1041202.605
Djibouti,7092.982
Dominica,8.81
Dominican Republic,5194.541
Ecuador,61583.794
"Egypt, Arab Rep.",496431.946
El Salvador,6072.393
Equatorial Guinea,508.29200000000003
Eritrea,4009.7219999999998
Estonia,81449.747
Ethiopia(excludes Eritrea),54132.509000000005
Faeroe Islands,289.635
Falkland Island,156.084
Finland,360743.723
France,5870416.259
French Polynesia,746.5269999999999
Gabon,801.0799999999999
Georgia,47689.13999999999
Germany,30159349.783
Ghana,12300.739000000001
Gibraltar,121745.32
Greece,1221085.6009999998
Greenland,12.876
Guam,69.96
Guatemala,11516.525
Guinea,755.2310000000001
Guinea-Bissau,46.501
Guyana,5969.12
Haiti,459.515
Honduras,284.664
"Hong Kong, China",175182.737
Hungary,13493192.489
Iceland,20253.413
India,798402.8289999999
Indonesia,156591.75
"Iran, Islamic Rep.",59241.391
Iraq,566781.537
Ireland,725982.6240000001
Israel,475761.384
Italy,27539615.019
Jamaica,85.111
Japan,388544.092
Jordan,60131.653999999995
Kazakhstan,80606.832
Kenya,8724.136999999999
"Korea, Dem. Rep.",0.484
"Korea, Rep.",1111027.7480000001
Kuwait,32037.722
Kyrgyz Republic,2061.69
Lao PDR,31479.444
Latvia,110748.717
Lebanon,91988.50899999999
Liberia,389897.526
Libya,653744.892
Lithuania,411219.934
Luxembourg,135967.507
Macao,3213.2189999999996
"Macedonia, FYR",950855.6669999999
Madagascar,167.118
Malawi,1418.64
Malaysia,104987.549
Maldives,3240.275
Mali,1421.0169999999998
Malta,973955.051
Marshall Islands,760523.555
Mauritania,433.919
Mauritius,1936.784
Mexico,86560.45
Moldova,19963.042999999998
Mongolia,7969.652
Montenegro,1006936.86
Morocco,94738.031
Mozambique,92431.319
Myanmar,36160.86
Nauru,0.325
Nepal,903.6080000000001
Netherlands,6014922.057
New Caledonia,217.812
New Zealand,17617.266
Nicaragua,290.26
Niger,352.419
Nigeria,111647.308
Niue,194.228
Norway,408949.723
Occ.Pal.Terr,295.57
Oman,19650.729000000003
"Other Asia, nes",239637.99
Pakistan,81554.655
Panama,4012.969
Papua New Guinea,2481.713
Paraguay,12046.018999999998
Peru,2234.616
Philippines,70724.658
Poland,5877255.137000001
Portugal,575350.2860000001
Qatar,140522.488
Romania,2535682.2860000003
Russian Federation,2182465.863
Rwanda,22.517999999999997
Saint Helena,37.32
Saint Maarten (Dutch part),8.444
San Marino,4282.567
Saudi Arabia,671355.123
Senegal,7786.286
"Serbia, FR(Serbia/Montenegro)",6793709.632999999
Seychelles,1406.74
Sierra Leone,359.75
Singapore,81865.19099999999
Slovak Republic,3383392.919
Slovenia,22446806.033999998
Somalia,1889.066
South Africa,79398.062
South Sudan,230.955
Spain,4260431.857000001
Special Categories,961.847
Sri Lanka,10585.354
St. Kitts and Nevis,0.125
St. Vincent and the Grenadines,853.691
Sudan,2953.6040000000003
Suriname,208.44
Swaziland,0.672
Sweden,1336466.081
Switzerland,1843701.494
Syrian Arab Republic,193.93200000000002
Tajikistan,17968.179
Tanzania,25932.683
Thailand,144408.204
Togo,894.799
Trinidad and Tobago,19.238
Tunisia,108503.052
Turkey,2662060.525
Turkmenistan,163379.719
Uganda,5926.668
Ukraine,402367.43700000003
United Arab Emirates,341163.266
United Kingdom,2623864.2460000003
United States,2999723.572
United States Minor Outlying I,89.948
Unspecified,441693.892
Uruguay,1489.722
Uzbekistan,25496.977
Venezuela,1636.322
Vietnam,286775.979
Yemen,1845.8400000000001
Zambia,915.317
Zimbabwe,5192.205
