Partner,Value
Afghanistan,22894.458
Albania,557897.087
Algeria,179923.93000000002
American Samoa,24.969
Andorra,955.331
Angola,11615.416000000001
Anguila,130.005
Antigua and Barbuda,1917.614
Argentina,293247.188
Armenia,114785.755
Aruba,2569.266
Australia,2967722.842
Austria,55920906.411
Azerbaijan,231017.704
BLM,2426.653
"Bahamas, The",488.71
Bahrain,52328.781
Bangladesh,104772.15599999999
Barbados,24019.217
Belarus,893362.72
Belgium,27360474.856
Belize,5559.618
Benin,13541.479
Bermuda,4717.159
Bhutan,172.738
Bolivia,131411.87
Bonaire,616.195
Bosnia and Herzegovina,2562723.041
Botswana,10653.089
Brazil,1791109.688
British Virgin Islands,1919.9969999999998
Brunei,44469.306
Bulgaria,8349678.595999999
Burkina Faso,7767.553
Burundi,521.732
Cambodia,18362.193
Cameroon,40774.623
Canada,1503265.937
Cape Verde,376.02200000000005
Cayman Islands,1765.3249999999998
Central African Republic,435.13700000000006
Chad,3756.888
Chile,419177.845
China,42273541.729
Colombia,512993.727
Comoros,1.52
"Congo, Dem. Rep.",4341.349999999999
"Congo, Rep.",9547.03
Cook Islands,346.848
Costa Rica,166918.397
Cote d'Ivoire,86529.22399999999
Croatia,12717926.453000002
Cuba,8197.030999999999
Curaçao,8895.026
Cyprus,515277.586
Czech Republic,50957177.679
Denmark,7249582.793
Djibouti,4769.656
Dominica,590.245
Dominican Republic,62900.116
Ecuador,80615.799
"Egypt, Arab Rep.",1732519.801
El Salvador,9222.483
Equatorial Guinea,5364.035999999999
Eritrea,0.5
Estonia,683593.221
Ethiopia(excludes Eritrea),76993.41200000001
Faeroe Islands,1254.183
Fiji,919.016
Finland,3411205.572
Fr. So. Ant. Tr,416.78
France,44317760.997
French Polynesia,10843.359
Gabon,8819.419999999998
"Gambia, The",3380.558
Georgia,225675.008
Germany,296884532.21000004
Ghana,52206.111
Gibraltar,5340.706
Greece,3188925.478
Greenland,174.277
Grenada,1152.52
Guam,146.673
Guatemala,18601.048
Guinea,11694.213
Guinea-Bissau,203.865
Guyana,5436.035
Haiti,3969.027
Holy See,1.606
Honduras,13807.312
"Hong Kong, China",6325493.852999999
Iceland,216641.50799999997
India,3604622.27
Indonesia,832875.8250000001
"Iran, Islamic Rep.",189038.098
Iraq,1238688.12
Ireland,4339664.367000001
Israel,2778576.726
Italy,50985934.529
Jamaica,53849.591
Japan,11377926.281
Jordan,147283.91199999998
Kazakhstan,1814099.168
Kenya,55285.603
"Korea, Rep.",16739597.648
Kuwait,213464.362
Kyrgyz Republic,46504.03
Lao PDR,2395.705
Latvia,1220558.212
Lebanon,183796.78499999997
Lesotho,116.4
Liberia,3677.6519999999996
Libya,38281.876000000004
Lithuania,1901620.3329999999
Luxembourg,1084879.662
Macao,47215.344
"Macedonia, FYR",2622139.3049999997
Madagascar,4543.302
Malawi,6190.825
Malaysia,3405532.168
Maldives,839.843
Mali,11224.013
Malta,237868.98100000003
Marshall Islands,1256.28
Mauritania,5173.177000000001
Mauritius,24306.514
Mexico,5431055.390000001
Moldova,532276.2019999999
Mongolia,50922.155
Montenegro,585042.479
Montserrat,127.175
Morocco,1058283.1409999998
Mozambique,63962.560000000005
Myanmar,36853.614
Namibia,1845.133
Nepal,4519.237
Netherlands,47828892.432
New Caledonia,13938.286
New Zealand,386476.804
Nicaragua,7021.445
Niger,11113.189
Nigeria,132313.51200000002
Norway,1147092.467
Occ.Pal.Terr,10997.654
Oman,76347.159
"Other Asia, nes",4238752.4120000005
Pakistan,211821.815
Palau,339.35
Panama,266220.267
Papua New Guinea,148.067
Paraguay,13940.96
Peru,98504.43400000001
Philippines,1027651.266
Poland,53677623.864
Portugal,3871967.408
Qatar,275056.675
Romania,41273150.614999995
Russian Federation,27628784.740000002
Rwanda,6956.117
Saint Helena,87.13499999999999
Saint Maarten (Dutch part),628.106
Saint Pierre and Miquelon,6.271
Samoa,904.704
San Marino,7187.478
Saudi Arabia,688635.702
Senegal,38596.960999999996
"Serbia, FR(Serbia/Montenegro)",13278173.761000002
Seychelles,7480.699999999999
Sierra Leone,3079.004
Singapore,3115598.1470000003
Slovak Republic,53862388.502000004
Slovenia,13810370.804
Somalia,1901.9950000000001
South Africa,1406202.141
South Georgia and the South Sa,9.235
Spain,26089265.195
Sri Lanka,186527.993
St. Kitts and Nevis,1443.122
St. Lucia,6446.371
St. Vincent and the Grenadines,932.248
Sudan,8117.289
Suriname,1957.4569999999999
Swaziland,91.863
Sweden,12018364.451
Switzerland,9113155.18
Syrian Arab Republic,65002.032
Tajikistan,9932.015
Tanzania,12123.453
Thailand,3175417.295
Togo,6109.746999999999
Tokelau,6.46
Trinidad and Tobago,34312.049
Tunisia,901079.2930000001
Turkey,15068525.639999999
Turkmenistan,71980.879
Turks and Caicos Isl.,43.876000000000005
Tuvalu,0.934
Uganda,38286.441999999995
Ukraine,19082837.164
United Arab Emirates,1568984.657
United Kingdom,27777428.587
United States,27623692.281999998
United States Minor Outlying I,12.34
Unspecified,12578.044
Uruguay,40516.682
Uzbekistan,415667.36699999997
Vanuatu,406.504
Venezuela,7663.963000000001
Vietnam,3060044.2959999996
Yemen,28376.072
Zambia,8109.8
Zimbabwe,13321.179
