Partner,Value
Afghanistan,72931.41789900001
Albania,43413.450875
Algeria,1684428.338397
American Samoa,8727.530218
Andorra,398.98791
Angola,797885.84187
Anguila,1122.820928
Antarctica,117.51400000000001
Antigua and Barbuda,5496.471482999999
Argentina,8225990.471739
Armenia,10409.37806
Aruba,12518.729237999998
Australia,32678670.092704996
Austria,1324118.412817
Azerbaijan,11179.047152
BLM,1635.71
"Bahamas, The",14173.568817
Bahrain,925756.7266940001
Bangladesh,8511702.859839998
Barbados,19633.527359
Belarus,1041599.62491
Belgium,7459277.548396
Belize,5603.96514
Benin,626502.7100239999
Bermuda,5972.564984
Bhutan,7055.863526000001
Bolivia,185025.116736
Bosnia and Herzegovina,13729.712597000002
Botswana,4501.318012000001
Brazil,12584562.425946001
British Indian Ocean Ter.,200.564
British Virgin Islands,54208.854206
Brunei,595607.817238
Bulgaria,652753.4569699999
Burkina Faso,102944.099224
Burundi,3580.2375159999997
Cambodia,2777285.434971
Cameroon,406788.061166
Canada,11677794.853803
Cape Verde,3739.668961
Cayman Islands,7210.861244
Central African Republic,6829.279500000001
Chad,3422.6774499999997
Chile,1174943.600383
China,325533999.76588607
Christmas Island,17718.644
Cocos (Keeling) Islands,110.51299999999999
Colombia,705988.204072
Comoros,10229.772332
"Congo, Dem. Rep.",78422.756775
"Congo, Rep.",258866.11001
Cook Islands,5131.109004
Costa Rica,129988.081727
Cote d'Ivoire,924633.8746709999
Croatia,193581.441435
Cuba,30115.747709
Curaçao,33817.590539
Cyprus,323278.225991
Czech Republic,1260612.968804
Denmark,1786187.240286
Djibouti,694189.7320739999
Dominica,48790.291935
Dominican Republic,417899.752676
East Timor,938117.8755859999
Ecuador,969722.0929970001
"Egypt, Arab Rep.",4838460.065419
El Salvador,102827.53982800001
Equatorial Guinea,152261.98583
Eritrea,516.980672
Estonia,795076.9992160001
Ethiopia(excludes Eritrea),317941.300083
Faeroe Islands,63.544200000000004
Falkland Island,9.07
Fiji,120312.855528
Finland,2693331.397688
Fr. So. Ant. Tr,1.784
France,11309987.820041
French Polynesia,46509.495286
Gabon,89252.573876
"Gambia, The",178313.500517
Georgia,203581.385328
Germany,27381841.828159
Ghana,994672.6274229999
Gibraltar,45.635214
Greece,1363497.413765
Greenland,1423.179
Grenada,3350.440567
Guam,7299.827644
Guatemala,191260.328174
Guinea,223012.79518299998
Guinea-Bissau,3233.26814
Guyana,20531.110932000003
Haiti,410571.28938900004
Holy See,175.325456
Honduras,124365.218186
"Hong Kong, China",23880035.850950003
Hungary,887679.723748
Iceland,34308.706877
India,68476347.478499
"Iran, Islamic Rep.",586584.495064
Iraq,707508.7771930001
Ireland,1012138.978458
Israel,635261.514978
Italy,15797825.777934
Jamaica,95583.48977599999
Japan,140667308.954314
Jordan,1213670.629674
Kazakhstan,1588285.991033
Kenya,1204584.943791
Kiribati,14357.459551
"Korea, Dem. Rep.",13694.200439999999
"Korea, Rep.",68601109.87089302
Kuwait,2180781.1788689997
Kyrgyz Republic,5486.102504
Lao PDR,188993.35581
Latvia,507179.406941
Lebanon,355804.310176
Lesotho,2354.326
Liberia,181514.895958
Libya,124647.843953
Lithuania,305358.277013
Luxembourg,182093.42201
Macao,38398.874385999996
"Macedonia, FYR",19792.277783999998
Madagascar,378104.269499
Malawi,60524.472132999996
Malaysia,71506492.72250198
Maldives,186524.92235200002
Mali,92029.433127
Malta,73841.158894
Marshall Islands,612760.07961
Mauritania,254473.013675
Mauritius,367058.5574759999
Mexico,5544479.480862
"Micronesia, Fed. Sts.",23382.24001
Moldova,133833.68301399998
Mongolia,59576.746071999994
Montenegro,26794.516245
Montserrat,147.31316
Morocco,751070.531159
Mozambique,641999.5571290001
Myanmar,4479673.073365
Namibia,42416.503791999996
Nauru,2072.477906
Nepal,248140.875565
Netherlands,17287903.201092
New Caledonia,48915.648354000004
New Zealand,4997420.224788001
Nicaragua,59185.128054
Niger,17078.742506
Nigeria,9501175.685573
Niue,293747.284
Norfolk Island,370.46656
Northern Mariana Islands,2819.98574
Norway,1273516.499164
Occ.Pal.Terr,17151.920024
Oman,3213308.519689
"Other Asia, nes",34294684.979232006
Pakistan,9686283.468381
Palau,850.0051950000001
Panama,521919.7049999999
Papua New Guinea,903279.4694980001
Paraguay,257753.806411
Peru,1211498.399433
Philippines,34250646.704097
Pitcairn,16.41
Poland,3205653.044318
Portugal,822748.5103
Qatar,4647002.151299
Romania,649515.979708
Russian Federation,8790881.297315001
Rwanda,12856.079230000001
Saint Helena,39.070818
Samoa,39989.650664
San Marino,1426.226012
Sao Tome and Principe,3278.8278
Saudi Arabia,21602036.675653
Senegal,223967.447551
"Serbia, FR(Serbia/Montenegro)",101056.490819
Seychelles,88231.34768800001
Sierra Leone,81821.915045
Singapore,129294765.27488
Slovak Republic,214921.059284
Slovenia,553726.040802
Solomon Islands,59118.615336999996
Somalia,286082.253351
South Africa,5863936.112043
South Georgia and the South Sa,15.72
South Sudan,5.226999999999999
Spain,9674312.462973
Sri Lanka,1570704.528998
St. Kitts and Nevis,4910.93157
St. Lucia,8874.356559
St. Vincent and the Grenadines,4369.734595
Sudan,867431.837711
Suriname,39860.176967
Swaziland,36928.76985
Sweden,3282917.0283040004
Switzerland,5757130.491699
Syrian Arab Republic,190588.093323
Tajikistan,6957.928586999999
Tanzania,1168853.895732
Thailand,71716747.110167
Togo,605275.3864000001
Tokelau,3200.4932
Tonga,15967.365655
Trinidad and Tobago,95093.925053
Tunisia,351460.439556
Turkey,6773937.867942999
Turkmenistan,10341.63754
Turks and Caicos Isl.,1799.9115299999999
Tuvalu,38097.011462
Uganda,46691.159368
Ukraine,5081646.543791
United Arab Emirates,15388585.32787
United Kingdom,10685977.507798001
United States,119725030.41958399
United States Minor Outlying I,192.234
Uruguay,265451.710705
Uzbekistan,144602.870971
Vanuatu,21053.039247
Venezuela,77773.15102
Vietnam,40483504.074909
Wallis and Futura Isl.,842.3829
Yemen,651362.509241
Zambia,37463.373074
Zimbabwe,278042.384745
