Partner,Value
Afghanistan,6087645.966565888
Albania,414668.0253617802
Algeria,11483606.301393216
American Samoa,10565.581726615519
Andorra,640.29349824735
Angola,16523368.6905204
Anguila,340.18337097336996
Antarctica,396.91278063828
Antigua and Barbuda,11734.57821631558
Argentina,11538460.51323384
Armenia,165328.13825779472
Aruba,45688.5737802762
Australia,55734505.32505597
Austria,5169453.712950887
Azerbaijan,1609821.2165075024
"Bahamas, The",228461.02191811224
Bahrain,4299732.072343739
Bangladesh,43910097.94447765
Barbados,71119.41665949221
Belarus,1282033.0757638994
Belgium,66514696.90188079
Belize,75297.34921614327
Benin,3150962.8363470426
Bermuda,42506.44030806624
Bhutan,4015753.26899167
Bolivia,2982875.551146593
Bosnia and Herzegovina,82433.27022412667
Botswana,3963506.9234188413
Brazil,31775662.975464895
British Virgin Islands,43582.956975019464
Brunei,2592132.9622896216
Bulgaria,1419159.8795998364
Burkina Faso,2911891.990997234
Burundi,275616.2333830803
Cambodia,1201466.6819314717
Cameroon,2738478.0829971936
Canada,29530427.82648655
Cape Verde,19315.847786641913
Cayman Islands,29448.64245960788
Central African Republic,237283.78061514167
Chad,1271473.8675871687
Chile,8722642.91209564
China,404404093.5419461
Christmas Island,91.77612884157
Colombia,7573900.121643985
Comoros,163700.50785726897
"Congo, Dem. Rep.",1811216.7904591248
"Congo, Rep.",3093019.397884392
Cook Islands,1594.3582642374001
Costa Rica,845236.3680701266
Cote d'Ivoire,3978949.6928231795
Croatia,955481.0744604802
Cuba,258545.8671267741
Curaçao,269350.7766770898
Cyprus,4131532.019760679
Czech Republic,3450097.9010052155
Denmark,6416636.423680938
Djibouti,1568408.2528923606
Dominica,11997.60824510712
Dominican Republic,2449581.727991758
East Timor,28872.560818014328
Ecuador,2467821.900665856
"Egypt, Arab Rep.",20502508.91973103
El Salvador,391590.91239415127
Equatorial Guinea,3894684.771413179
Eritrea,27835.038125670202
Estonia,694094.9751144056
Ethiopia(excludes Eritrea),4213183.1527394
Faeroe Islands,9344.94958251531
Falkland Island,557.29692521475
Fiji,270292.3918487257
Finland,4392687.907438011
France,42732462.68920934
French Polynesia,25807.73286182399
Gabon,826944.7861251223
"Gambia, The",843727.7172314031
Georgia,448539.4378653757
Germany,97517530.92257622
Ghana,10918108.044597438
Gibraltar,4076798.4509642674
Greece,2566180.734375456
Greenland,122.87396632089
Grenada,18284.54535336544
Guam,4376.832338903279
Guatemala,1495240.128814912
Guinea,2942671.318674312
Guinea-Bissau,550409.3287176563
Guyana,141283.39853478762
Haiti,387484.43322060443
Holy See,234.49191731017
Honduras,990748.5213492315
"Hong Kong, China",126778828.8724994
Hungary,3040564.301988106
Iceland,120962.67633512159
Indonesia,85940506.70310828
"Iran, Islamic Rep.",30549542.29868498
Iraq,96743786.27722633
Ireland,5154454.31903657
Israel,22672126.59944345
Italy,45046181.49674629
Jamaica,285469.007321653
Japan,80023778.35426754
Jordan,9652140.248071078
Kazakhstan,7329538.542591956
Kenya,9100816.770944282
Kiribati,1943.27489922063
"Korea, Dem. Rep.",61588.13156497466
"Korea, Rep.",94346725.08235623
Kuwait,45441917.39185602
Kyrgyz Republic,149196.94006291335
Lao PDR,151914.6106450928
Latvia,1434451.2114967129
Lebanon,1161516.2683352225
Lesotho,205773.76304066856
Liberia,1032625.0931319748
Libya,1198473.6892192285
Lithuania,1930047.8177162968
Luxembourg,469244.66566820967
Macao,25024.746875075518
"Macedonia, FYR",197594.97724245887
Madagascar,2403342.635136241
Malawi,1077610.7613937806
Malaysia,71510877.27408177
Maldives,1010711.9319377533
Mali,841281.403234966
Malta,1302036.169251904
Marshall Islands,148260.65813345675
Mauritania,453809.44517586386
Mauritius,3488739.2440864765
Mexico,38321422.70006445
"Micronesia, Fed. Sts.",2304.26158651401
Moldova,46950.445144200756
Mongolia,78335.90194768878
Montenegro,101619.30378366068
Montserrat,501.44390465513
Morocco,9387482.628235132
Mozambique,12315910.05572471
Myanmar,6415711.491651676
Namibia,599215.536614557
Nauru,1389.14652969081
Nepal,33716375.359681845
Netherlands,55375619.26601894
New Caledonia,68989.53671290768
New Zealand,4046591.105592912
Nicaragua,318388.88144513697
Niger,385737.73969821626
Nigeria,59950694.43971847
