Partner,Value
Afghanistan,44053.96294903734
Albania,62685.64872651474
Algeria,497457.0911050077
American Samoa,137.61061353416
Andorra,4029.42397362888
Angola,57698.19846595244
Anguila,16.30568365876
Antigua and Barbuda,1652.8313249405799
Argentina,1699869.7138564922
Armenia,10423.37754937396
Aruba,1942.2868820754
Australia,4637099.193018424
Austria,3803306.766054997
Azerbaijan,40817.30792225246
BLM,264.32904453064
"Bahamas, The",354455.4314675509
Bahrain,479992.5060804822
Bangladesh,1362691.288889134
Barbados,48588.399470784614
Belarus,128702.9329657389
Belgium,94379927.91900364
Belize,85537.38113556143
Benin,51000.313516871865
Bermuda,2184925.6069585662
Bhutan,3552.3065439578995
Bolivia,10663.62209887544
Bonaire,163.85070147508
Bosnia and Herzegovina,97859.88957675462
Botswana,3391.08579803822
Bouvet Island,31.257130429120004
Brazil,2809170.0688807378
British Indian Ocean Ter.,338.6879305646
British Virgin Islands,2142.6866376899
Brunei,6702.81357818728
Bulgaria,1059869.18786864
Bunkers,603266.6250331142
Burkina Faso,42733.588617973
Burundi,209.46896927554
Cambodia,473800.14889099996
Cameroon,159948.1929415426
Canada,11143495.409968782
Cape Verde,4436.34933601584
Cayman Islands,5314.77948492616
Central African Republic,4070.0517091792794
Chad,19366.30687756062
Chile,756822.6043968322
China,71502553.45076333
Christmas Island,1465.3682535518
Cocos (Keeling) Islands,3289.57682561244
Colombia,1019058.4679320566
Comoros,64.33751706672001
"Congo, Dem. Rep.",81693.21715316449
"Congo, Rep.",49714.85252974224
Cook Islands,18.51611163776
Costa Rica,658215.0285230046
Cote d'Ivoire,201418.58520281204
Croatia,405720.2386843286
Cuba,8958.30965571742
Curaçao,1911.29255048442
Cyprus,233806.54103355538
Czech Republic,6657682.436703216
Denmark,6048536.737577759
Djibouti,1598.93608988386
Dominica,1828.1821375997201
Dominican Republic,179530.09442107938
East Timor,57.135366242
Ecuador,71956.37452898562
"Egypt, Arab Rep.",1512925.0153077454
El Salvador,55405.611391453676
Equatorial Guinea,5867.90058130422
Eritrea,160.53310374539998
Estonia,202995.80571206618
Ethiopia(excludes Eritrea),209628.85670410065
Faeroe Islands,14350.263506199739
Falkland Island,1988.59133243108
Fiji,363.89023801144
Finland,2259874.323758379
Fr. So. Ant. Tr,1733.9962953285599
France,96391318.1060351
French Polynesia,878.79321424752
Gabon,47945.46076267514
"Gambia, The",42092.909581473476
Georgia,52259.89422610322
Germany,113398606.20894943
Ghana,273641.88688720856
Gibraltar,10206.21584804384
Greece,4998765.413048083
Greenland,35.00983735168
Grenada,17805.19466590166
Guam,3498.2573470055
Guatemala,206031.69098566825
Guinea,613033.0292193899
Guinea-Bissau,147.69306492959998
Guyana,14707.906531197199
Haiti,9439.25292015874
Holy See,2041.5434151373602
Honduras,42605.30437002714
"Hong Kong, China",4205705.7997569945
Hungary,2893051.1398775694
Iceland,508231.2846532648
India,5865854.0187103655
Indonesia,1109959.140594173
"Iran, Islamic Rep.",218903.57805832822
Iraq,629447.9648059397
Israel,2195066.600550741
Italy,28153558.26996996
Jamaica,23496.41269676116
Japan,21031396.66391939
Jordan,513989.3884976331
Kazakhstan,157452.45263114723
Kenya,242208.79451279985
Kiribati,57.1185781814
"Korea, Rep.",8082686.124737561
Kuwait,609861.7259244855
Kyrgyz Republic,2625.60567735892
