Partner,Value
Afghanistan,43.5077736559
Albania,1152.6705842677
Algeria,232.61320831026
Andorra,559.2724567341199
Angola,1.2523509252
Antigua and Barbuda,15605.6693896548
Argentina,19999.733752766402
Armenia,2750.9081094533
Australia,874617.728077916
Austria,154054.96887971179
Azerbaijan,6105.0128356898995
"Bahamas, The",44174.4798688781
Bahrain,1282.65499553049
Bangladesh,63563.99419407392
Barbados,1893.44074906276
Belarus,121246.72824263465
Belgium,705926.4737734667
Benin,926.8494146298
Bermuda,3570.4852379259596
Bolivia,347.91817709135
Bosnia and Herzegovina,24092.4179756246
Botswana,94.2220829272
Brazil,587312.1642283069
British Virgin Islands,1363.00211984746
Brunei,10.2503459432
Bulgaria,41355.96215666383
Burkina Faso,282.69115680128
Cambodia,25533.27881082919
Cameroon,9.21339171412
Canada,1305587.4640866055
Cape Verde,115.79057294985
Cayman Islands,4.5029113311
Chile,104845.86932214229
China,2782820.01488949
Colombia,22234.29198955733
"Congo, Rep.",34.86773912516
Costa Rica,8570.37434322735
Cote d'Ivoire,10481.0374216408
Croatia,13418.67891566781
Cuba,424.10396077336
Cyprus,27497.56065205246
Czech Republic,258566.1954483917
Denmark,2407916.2713541947
Djibouti,2781.86155319655
Dominican Republic,2061.69786898542
East Timor,1114.51706728404
Ecuador,25429.24051126719
"Egypt, Arab Rep.",96351.0384183307
El Salvador,764.95480559246
Estonia,177612.0430048187
Ethiopia(excludes Eritrea),744.96100941695
Faeroe Islands,255918.6831800165
Falkland Island,23.77250460225
Fiji,52.33171674556
Finland,345990.6698351672
France,2206310.361173042
Gabon,1425.266027757
"Gambia, The",66.8358130954
Georgia,19837.980762130952
Germany,3747390.77963252
Ghana,5076.650541447951
Gibraltar,10163.03672896347
Greece,46816.96391774831
Greenland,426095.4121935885
Grenada,12.2128360371
Guam,13.192517909249998
Guatemala,1827.12855864128
Guinea,2200.73279315625
Haiti,521.50567141045
Honduras,2079.5829916383
"Hong Kong, China",134246.3184263185
Hungary,247768.53466489786
India,294376.7067954122
Indonesia,56190.698202272906
"Iran, Islamic Rep.",3276.50189505872
Iraq,164.93371673715
Ireland,482922.70074926707
Israel,30698.07484508945
Italy,944385.7822543847
Jamaica,520614.9413914439
Japan,781260.7065824458
Jordan,2932.25548573455
Kazakhstan,16293.07531938124
Kenya,5225.63907745935
"Korea, Rep.",301828.5419603273
Kuwait,1910.44681919915
Lao PDR,973.96310095912
Latvia,270445.5808662755
Lebanon,274.95438065651996
Liberia,1061.4181792086
Libya,11.18088890347
Lithuania,494087.4939859087
Luxembourg,34519.489192613546
Macao,4.167324792
"Macedonia, FYR",1793.69099791979
Madagascar,1165.78014271282
Malawi,35.33880715704
Malaysia,54745.32611888934
Maldives,125.74171473684
Mali,113.54548985968
Malta,19681.45819596746
Marshall Islands,1512.5382009774
Mauritania,270.68118561035
Mauritius,2174.9835918394397
Mexico,86518.99099148044
Moldova,1838.4411379563899
Mongolia,94.9753549098
Montenegro,625.1207364768
Morocco,17781.28536334856
Mozambique,25.807838192000002
Myanmar,9625.25222584538
Namibia,2702.2460530774497
Nepal,443.73642765291
Netherlands,7641109.225189036
New Caledonia,260.710508007
New Zealand,86200.4641376186
Nicaragua,2639.48800811134
Nigeria,284560.4754259159
Norway,4085460.265968236
Oman,381.27196569304994
"Other Asia, nes",317525.9167276709
Pakistan,23313.07278899063
Panama,2567.55981112229
Papua New Guinea,60.2961538446
Paraguay,289.91630981225
Peru,70400.25221436073
Philippines,14894.66258753516
Poland,1335280.95669094
Portugal,465385.88849755644
Qatar,342.08004592493
Romania,68913.38707687386
Russian Federation,603725.5198450614
San Marino,47.47283533977
Sao Tome and Principe,33.79572436585
Saudi Arabia,1995.6946788597802
Senegal,437.02048444719
"Serbia, FR(Serbia/Montenegro)",12614.1134660715
Seychelles,3739.59973971249
Singapore,273480.2221839594
Slovak Republic,146272.0361148391
Slovenia,39891.362993787
South Africa,57596.65401700852
Spain,2561629.021179814
Sri Lanka,19375.767068182293
St. Vincent and the Grenadines,1646.11441170135
Sudan,464.40412594988
Suriname,1.75761289132
Sweden,1402937.6463734675
Switzerland,360459.87358055776
Syrian Arab Republic,920.88288518292
Tanzania,207.29502950907
Thailand,126937.47766554839
Tokelau,37.8782025849
Trinidad and Tobago,54.34760363152
Tunisia,35589.73287203197
Turkey,294219.9211195704
Uganda,101.56049478024
Ukraine,147726.1400172331
United Arab Emirates,11048.95873675884
United Kingdom,4083791.5569703737
United States,4019456.857904521
Unspecified,294.099354387
Uruguay,601.82493355965
Uzbekistan,87.94434910848
Venezuela,159.02477015824002
Vietnam,221637.91994454592
Wallis and Futura Isl.,3302.7897060504
Zambia,6.32083382136
Zimbabwe,759.75683768708
