Partner,Value
Afghanistan,1056.0
Albania,15784.0
Algeria,22060.0
American Samoa,5.0
Andorra,6075.0
Angola,2078.0
Antigua and Barbuda,8.0
Argentina,1762630.0
Armenia,54952.0
Australia,3078571.0
Austria,2014565.0
Azerbaijan,570913.0
"Bahamas, The",3102.0
Bangladesh,728363.0
Barbados,3448.0
Belarus,513304.0
Belgium,16449737.0
Belize,971.0
Benin,60.0
Bermuda,643.0
Bhutan,5.0
Bolivia,31835.0
Bosnia and Herzegovina,33146.0
Botswana,73965.0
Brazil,7348911.0
Brunei,5.0
Bulgaria,736513.0
Bunkers,48427446.0
Burkina Faso,8396.0
Burundi,1112.0
Cambodia,275786.0
Cameroon,24268.0
Canada,4385056.0
Cape Verde,5.0
Cayman Islands,1120.0
Central African Republic,90.0
Chad,1300.0
Chile,1246427.0
China,68714416.0
Colombia,502096.0
"Congo, Dem. Rep.",2270.0
"Congo, Rep.",20813.0
Cook Islands,235.0
Costa Rica,213862.0
Cote d'Ivoire,88854.0
Croatia,484261.0
Cuba,11949.0
Curaçao,139.0
Cyprus,3322239.0
Czech Republic,5071913.0
Denmark,1568419.0
Djibouti,729.0
Dominica,8875.0
Dominican Republic,171998.0
Ecuador,150800.0
"Egypt, Arab Rep.",963167.0
El Salvador,33078.0
Equatorial Guinea,57.0
Eritrea,156.0
Estonia,187524.0
Ethiopia(excludes Eritrea),498353.0
Falkland Island,4.0
Fiji,7577.0
Finland,1385158.0
France,15021512.0
French Polynesia,155.0
Gabon,2524.0
"Gambia, The",2520.0
Georgia,184281.0
Germany,30632850.0
Ghana,130209.0
Gibraltar,51649.0
Greece,3338818.0
Guam,5.0
Guatemala,140491.0
Guinea,20.0
Guyana,98.0
Haiti,2451.0
Holy See,37.0
Honduras,64297.0
"Hong Kong, China",17257472.0
Hungary,2786590.0
Iceland,19298.0
India,17512912.0
Indonesia,926908.0
Ireland,3361846.0
Italy,17813500.0
Jamaica,24488.0
Japan,14388380.0
Jordan,905717.0
Kazakhstan,278013.0
Kenya,271165.0
"Korea, Rep.",11653972.0
Kyrgyz Republic,1764.0
Lao PDR,1770.0
Latvia,305540.0
Lesotho,1430.0
Liberia,187.0
Lithuania,569825.0
Luxembourg,162033.0
Macao,7412.0
"Macedonia, FYR",46571.0
Madagascar,6708.0
Malawi,1934.0
Malaysia,1421522.0
Maldives,102.0
Mali,1101.0
Malta,1363234.0
Marshall Islands,2956.0
Mauritania,25.0
Mauritius,32377.0
Mexico,3696164.0
Moldova,39992.0
Mongolia,591.0
Montenegro,654.0
Morocco,343234.0
Mozambique,1044.0
Myanmar,91543.0
Namibia,13872.0
Nauru,60.0
Nepal,18423.0
Netherlands,16731345.0
New Caledonia,929.0
New Zealand,492799.0
Nicaragua,16569.0
Niger,251.0
Nigeria,718203.0
Norfolk Island,148.0
Norway,1222665.0
"Other Asia, nes",7729895.0
Pakistan,142731.0
Panama,48950.0
Papua New Guinea,10111.0
Paraguay,722809.0
Peru,368682.0
Philippines,1638606.0
Poland,5821544.0
Portugal,1737280.0
Romania,2376099.0
Russian Federation,12173074.0
Rwanda,22058.0
Saint Maarten (Dutch part),40.0
Samoa,1081.0
San Marino,2217.0
Sao Tome and Principe,18.0
Saudi Arabia,44.0
Senegal,91548.0
"Serbia, FR(Serbia/Montenegro)",178100.0
Seychelles,1030.0
Sierra Leone,2401.0
Singapore,4831628.0
Slovak Republic,1462242.0
Slovenia,2564143.0
Solomon Islands,16.0
Somalia,1339.0
South Africa,1343193.0
South Sudan,124.0
Spain,11103135.0
Sri Lanka,816341.0
St. Kitts and Nevis,60.0
Suriname,104.0
Swaziland,1895.0
Sweden,2527005.0
Switzerland,11060948.0
Tanzania,68541.0
Thailand,5269202.0
Togo,317.0
Tonga,82.0
Trinidad and Tobago,845185.0
Tunisia,90467.0
Turkey,25384931.0
Turkmenistan,10740.0
Turks and Caicos Isl.,39.0
Uganda,133372.0
Ukraine,3556194.0
United Arab Emirates,946.0
United Kingdom,33446205.0
United States,129825203.0
Uruguay,251411.0
Uzbekistan,101454.0
Venezuela,22556.0
Vietnam,5138321.0
Zambia,40662.0
Zimbabwe,12900.0
