Partner,Value
Afghanistan,81790.20115289219
Albania,12186016.463278098
Algeria,34220411.11382818
American Samoa,950.98156727178
Andorra,124360.67744848052
Angola,3185819.149788339
Anguila,4289.259576149991
Antigua and Barbuda,45210.615172115155
Argentina,9139311.564951234
Armenia,1018074.2398219429
Aruba,135354.55623490905
Australia,23141296.128990117
Austria,101994773.99036324
Azerbaijan,23537494.69856457
BLM,58901.91727110961
"Bahamas, The",467828.2190582325
Bahrain,1848679.868697099
Bangladesh,11139568.36062902
Barbados,42790.65579660722
Belarus,2598680.290869931
Belgium,178214948.31328115
Belize,130379.21262403553
Benin,185042.10533384522
Bermuda,35287.085250005875
Bhutan,25454.75080327259
Bolivia,713772.7721000912
Bonaire,4756.89884842232
Bosnia and Herzegovina,6576347.964354184
Botswana,117388.24216190501
Brazil,35129551.291131854
British Indian Ocean Ter.,124.714649426
British Virgin Islands,764919.0186022915
Brunei,348568.5045703769
Bulgaria,24852264.94900951
Bunkers,7680435.03418656
Burkina Faso,537541.247058158
Burundi,34073.90684914632
Cambodia,2798670.6037086803
Cameroon,2713999.9169153585
Canada,31067571.80259888
Cape Verde,99240.12241626912
Cayman Islands,1659708.7235688395
Central African Republic,50117.11473538902
Chad,36712.188238378214
Chile,8736048.154442482
China,232963930.50324708
Christmas Island,13.994013625
Cocos (Keeling) Islands,193.64622681308
Colombia,7015907.537854234
Comoros,11000.653807853261
"Congo, Dem. Rep.",1486004.35190761
"Congo, Rep.",2526203.9222042025
Cook Islands,123220.08436214441
Costa Rica,1653544.3528971851
Cote d'Ivoire,1878969.625876145
Croatia,27618370.787378408
Cuba,1612738.9091526282
Curaçao,66763.18161311034
Cyprus,6399718.438708768
Czech Republic,69593723.3331599
Denmark,27963890.874704756
Djibouti,126153.0517667459
Dominica,134909.63406972162
Dominican Republic,1921863.7998273792
East Timor,1064.87881132517
Ecuador,3102093.999160568
"Egypt, Arab Rep.",21714954.482545912
El Salvador,532914.2807078555
Equatorial Guinea,486169.145025293
Eritrea,127502.96697585659
Estonia,3100131.4251109967
Ethiopia(excludes Eritrea),1428209.273315491
Faeroe Islands,23764.18029177347
Falkland Island,1349.91520433375
Fiji,29565.95759665658
Finland,21943908.53181256
Fr. So. Ant. Tr,308.6295740912
France,430489476.6600075
French Polynesia,164348.53190829259
Gabon,1015913.429689092
"Gambia, The",41395.425795410614
Georgia,1323921.7987102412
Germany,653525971.9623022
Ghana,2413832.9379682615
Gibraltar,3966833.440061962
Greece,37850986.95046488
Greenland,1513.23093658419
Grenada,7670.64828884166
Guam,38200.57307979376
Guatemala,1571544.2935879054
Guinea,299075.208333045
Guinea-Bissau,9842.661712869829
Guyana,116734.6448771107
Haiti,164238.1773675412
Holy See,45769.999981251705
Honduras,653426.5357065859
"Hong Kong, China",30545465.463813953
Hungary,51735223.18253303
Iceland,572715.5820172211
India,46629843.68421556
Indonesia,15817354.706560425
"Iran, Islamic Rep.",5151847.5070539145
Iraq,24145184.184862707
Ireland,33556224.24838973
Israel,16925938.88041638
Jamaica,268209.4898411691
Japan,61478172.27888305
Jordan,2825632.5528555405
Kazakhstan,15234472.417356174
Kenya,1233419.6745972238
Kiribati,100.6785316237
"Korea, Dem. Rep.",627.51309317914
"Korea, Rep.",44400781.326806545
Kuwait,5456500.688497257
Kyrgyz Republic,130862.63594952438
Lao PDR,213671.14395457742
Latvia,3869719.79223748
Lebanon,5759571.152671365
Lesotho,5173.17149483811
Liberia,85878.94931418868
Libya,27091077.399806157
Lithuania,8448064.636234334
Luxembourg,6728112.269630769
Macao,1422512.2407915045
"Macedonia, FYR",2249443.383137013
Madagascar,312799.23321210436
Malawi,94626.36567823272
Malaysia,12469967.85347832
Maldives,246387.76721180097
Mali,347165.0176140116
Malta,10248976.544693518
Marshall Islands,334847.96229060035
Mauritania,667009.8041249461
Mauritius,960025.784007078
Mexico,25657982.02565802
"Micronesia, Fed. Sts.",64.61875731479999
Moldova,2720128.1150815287
Mongolia,506475.464839885
Montenegro,933624.9329101177
Montserrat,971.9176428271999
Morocco,16224629.927569939
Mozambique,1941338.0964288344
Myanmar,1967443.896876833
Namibia,904141.9275756855
Nauru,8.1501135352
Nepal,206203.1577804407
Netherlands,175263055.89360583
New Caledonia,270108.2594570207
New Zealand,3900866.2665300653
Nicaragua,222760.82195986732
Niger,122650.98983008269
Nigeria,10774708.762995422
Niue,165.40252392096
Norfolk Island,148.33878346718
Northern Mariana Islands,7160.66872799429
Norway,14751047.628435798
Occ.Pal.Terr,160889.48919725296
Oman,3033942.9358903402
"Other Asia, nes",17703176.499824785
Pakistan,7454697.313347183
Palau,806.71010463765
Panama,1679792.7410769365
Papua New Guinea,555857.4778112182
Paraguay,883083.2820466341
Peru,5463456.516422823
Philippines,5625682.170412747
Pitcairn,603.31551300645
Poland,123051762.58917001
Portugal,33293108.72138253
Qatar,12833931.143299777
Romania,75857396.6973064
Russian Federation,105583561.56644708
Rwanda,77125.47955197774
Saint Helena,647.97488571478
Saint Maarten (Dutch part),74589.67114598693
Saint Pierre and Miquelon,3430.1496453116297
Samoa,1663.43165530129
San Marino,157775.64767472
Sao Tome and Principe,6414.30785447225
Saudi Arabia,34369319.36067577
Senegal,1867886.8517229236
"Serbia, FR(Serbia/Montenegro)",17780768.748805404
Seychelles,260551.37011578577
Sierra Leone,26579.74508742948
Singapore,12758824.39679734
Slovak Republic,33539818.919760168
Slovenia,39117272.441741034
Solomon Islands,238335.63094530048
Somalia,161847.3383383581
South Africa,15447829.712753378
South Georgia and the South Sa,33.34381614456
South Sudan,14438.856449632589
Spain,239891615.14331186
Special Categories,26554.88576088958
Sri Lanka,3663810.584868783
St. Kitts and Nevis,18695.47707248751
St. Lucia,12354.41919488541
St. Vincent and the Grenadines,96463.69381617542
Sudan,596847.2819380462
Suriname,71072.8704420931
Swaziland,152357.72096611097
Sweden,48153207.11406207
Switzerland,179552977.3271946
Syrian Arab Republic,638020.5656434499
Tajikistan,248868.7758762308
Tanzania,814998.4264528181
Thailand,15682904.17266697
Togo,429341.2629329574
Tokelau,868.2271838057
Tonga,1873.80136073266
Trinidad and Tobago,1623085.7382484297
Tunisia,27978621.165286697
Turkey,91411065.20743397
Turkmenistan,680793.656124664
Turks and Caicos Isl.,50059.987726082385
Tuvalu,306.29994729441
Uganda,850682.374786578
Ukraine,20299860.546941113
United Arab Emirates,27070504.90364531
United Kingdom,181358650.7206569
United States,320747051.7948594
United States Minor Outlying I,590.93387093916
Unspecified,13857652.505867217
Uruguay,2698585.674143618
Uzbekistan,1793595.0500222347
Vanuatu,2644.59358699098
Venezuela,1566351.16468355
Vietnam,22973292.54290126
Wallis and Futura Isl.,380.45916674669
Yemen,398673.6603314347
Zambia,857292.0556230365
Zimbabwe,320636.0915376744
