Partner,Value
Afghanistan,1417.0703282402405
Anguila,1630.691293613315
Antigua and Barbuda,35503.05290187893
Argentina,66527.21448104159
Aruba,6256.036641676546
Australia,83489.93560061368
Austria,24522.653579125486
"Bahamas, The",26191.661252645732
Bahrain,193.721406678648
Bangladesh,5323.751848083024
Barbados,182007.50995297142
Belgium,111614.14205410707
Belize,81357.46351499262
Bermuda,33864.39290517826
Bolivia,92.78524146108292
Bonaire,1781.9045201679326
Bosnia and Herzegovina,5.23492945403768
Botswana,2.983066488129
Brazil,803730.5812828512
British Virgin Islands,6160.185783320155
Bulgaria,4777.411440902163
Cambodia,530.6900784380933
Canada,1018610.0605645304
Cayman Islands,66396.79295153415
Chile,70084.58508664333
China,2376713.5831852416
Colombia,1319409.8972164607
"Congo, Rep.",1.003864004487
Costa Rica,329081.9405445082
Cote d'Ivoire,340.1994067181918
Croatia,51.08777881461549
Cuba,41157.25000325877
Curaçao,24575.064280311046
Cyprus,4943.730207610238
Czech Republic,2138.653680938669
Denmark,25972.86545276604
Dominica,19129.77230116092
Dominican Republic,305872.5837215008
Ecuador,454332.9153401421
"Egypt, Arab Rep.",7165.223282916151
El Salvador,41721.49779213055
Equatorial Guinea,26.3501531527042
Estonia,306.72062612956506
Ethiopia(excludes Eritrea),657.282395567232
Faeroe Islands,442.639724180784
Finland,10375.11054615717
France,355893.2446724605
Georgia,125197.0206625964
Germany,496995.4142206009
Ghana,111968.17024802467
Greece,11272.111336090753
Grenada,13448.445618776932
Guam,159.4028591869764
Guatemala,134441.33685914846
Guyana,173659.05686851265
Haiti,29784.24538283525
Honduras,33492.57050711085
"Hong Kong, China",174110.83759229505
Hungary,67782.75483634844
Iceland,461026.13358532
India,288087.59379738756
Indonesia,93644.62012301665
Ireland,36724.361771494776
Israel,46956.98693686149
Italy,144654.8582692113
Japan,1518731.3435346228
Jordan,280.481802553632
Kenya,22.83778131423273
"Korea, Rep.",172527.97199240775
Kuwait,193.30666647045587
Lao PDR,19.55660748946
Latvia,39449.465188838825
Lebanon,762.9959060621367
Lesotho,949.8528985660292
Lithuania,3900.192057244086
Luxembourg,196.70867348734942
Macao,303.28832251247616
Madagascar,19.02214287933243
Malaysia,57328.38626835893
Malta,7834.989535269146
Mauritius,84.2797371661985
Mexico,551390.4401473046
Montserrat,938.7505606026442
Morocco,1660.537297813876
Mozambique,63.8460541835206
Nepal,0.931962171072616
Netherlands,1123485.9325422943
New Zealand,128195.33402335987
Nicaragua,881.6090913181371
Nigeria,355600.2962164716
Norway,336048.17846466904
Oman,1997.641408587774
"Other Asia, nes",77587.48365141122
Pakistan,6540.622970203604
Panama,368064.2431938221
Paraguay,2161.336597040964
Peru,69899.75193976777
Philippines,3469.352590393003
Poland,17115.41971766875
Portugal,14845.455570175945
Qatar,33.33271546555716
Romania,653.245852852695
Russian Federation,261297.9415424035
Rwanda,45.93561423954184
Saint Maarten (Dutch part),12496.748754905688
Samoa,0.387217812812928
Saudi Arabia,1116.679955967037
"Serbia, FR(Serbia/Montenegro)",16.68524993800378
Sierra Leone,1.132503412035
Singapore,80660.64805938864
Slovak Republic,360.975343104264
Slovenia,4929.832053009674
South Africa,24333.052935274245
Spain,416421.5563376018
Sri Lanka,6600.878212140547
St. Kitts and Nevis,9675.725254131108
St. Lucia,44796.439916346964
St. Vincent and the Grenadines,14134.53066019241
Suriname,220717.87870404153
Sweden,230949.34201612425
Switzerland,109235.16864387685
Thailand,381395.2053207243
Trinidad and Tobago,833950.3766007626
Tunisia,8.887500259632883
Turkey,428699.82119388436
Turks and Caicos Isl.,8258.091235255442
Uganda,160.65307243505575
Ukraine,224.7416269956539
United Arab Emirates,24564.551365839783
United Kingdom,685410.2920322416
United States,15131177.133443974
Unspecified,9550.237733796945
Uruguay,141341.6957161241
Venezuela,2535.6270435681236
Vietnam,110626.41057969295
Zambia,1.7789822204
